1545.5175.7 <|> 17578.8
138.3 <|> 14154.1
96.6 <|> 9886.39
-59.5 <|> -6089.44
-101.8 <|> -10418.6
-19.3 <|> -1975.23
41.7 <|> 4267.73
44.6 <|> 4564.52
18.4 <|> 1883.12
-24 <|> -2456.25
-39.2 <|> -4011.87
-3.9 <|> -399.14
28.8 <|> 2947.5
16.7 <|> 1709.14
-15.5 <|> -1586.33
-19.9 <|> -2036.64
7.5 <|> 767.577
19.4 <|> 1985.47
-2.9 <|> -296.796
-15.3 <|> -1565.86
0.2 <|> 20.4687
9.5 <|> 972.264
-1.8 <|> -184.218
-2.6 <|> -266.093
11.4 <|> 1166.72
-4.4 <|> -450.312
-32 <|> -3275
0.9 <|> 92.1092
54 <|> 5526.55
27.1 <|> 2773.51
-51.9 <|> -5311.63
-65.7 <|> -6723.98
10.9 <|> 1115.55
75.6 <|> 7737.18
41.2 <|> 4216.56
-41.6 <|> -4257.49
-61.9 <|> -6335.07
-5.3 <|> -542.421
47.1 <|> 4820.38
26.7 <|> 2732.57
-34.4 <|> -3520.62
-32.4 <|> -3315.93
43.7 <|> 4472.42
55.8 <|> 5710.77
-42.2 <|> -4318.9
-97.1 <|> -9937.56
-12.4 <|> -1269.06
107.3 <|> 10981.5
102.6 <|> 10500.5
-48.9 <|> -5004.6
-149.2 <|> -15269.7
-47.3 <|> -4840.85
101.9 <|> 10428.8
98.1 <|> 10039.9
-9.7 <|> -992.733
-63 <|> -6447.65
-33.7 <|> -3448.98
-7.6 <|> -777.811
5 <|> 511.718
46.7 <|> 4779.45
45.4 <|> 4646.4
-47.4 <|> -4851.09
-90.3 <|> -9241.63
21.4 <|> 2190.15
137.2 <|> 14041.5
49.4 <|> 5055.77
-149.3 <|> -15279.9
-150.4 <|> -15392.5
68.5 <|> 7010.54
187.5 <|> 19189.4
58.4 <|> 5976.87
-103.6 <|> -10602.8
-98.8 <|> -10111.5
-10 <|> -1023.44
20 <|> 2046.87
24.1 <|> 2466.48
50 <|> 5117.18
45.4 <|> 4646.4
-4.6 <|> -470.781
-70.4 <|> -7204.99
-100.3 <|> -10265.1
-7.2 <|> -736.874
128.7 <|> 13171.6
110.1 <|> 11268
-42.2 <|> -4318.9
-133.2 <|> -13632.2
-74.7 <|> -7645.07
55.6 <|> 5690.3
118 <|> 12076.5
50.5 <|> 5168.35
-62.3 <|> -6376.01
-95.4 <|> -9763.58
-27.5 <|> -2814.45
52.2 <|> 5342.34
63.5 <|> 6498.82
19.9 <|> 2036.64
-21.1 <|> -2159.45
-42.7 <|> -4370.07
-41.3 <|> -4226.79
4 <|> 409.374
49.4 <|> 5055.77
37.2 <|> 3807.18
-6 <|> -614.062
-29 <|> -2967.96
-26.2 <|> -2681.4
-11.5 <|> -1176.95
10.3 <|> 1054.14
30.1 <|> 3080.54
25.6 <|> 2620
-7.6 <|> -777.811
-35.4 <|> -3622.96
-25.1 <|> -2568.82
8.4 <|> 859.686
29.8 <|> 3049.84
24.9 <|> 2548.36
-5.7 <|> -583.359
-28.9 <|> -2957.73
-17 <|> -1739.84
0.5 <|> 51.1718
11.2 <|> 1146.25
23.3 <|> 2384.61
15 <|> 1535.15
-8.8 <|> -900.624
-24.9 <|> -2548.36
-23.5 <|> -2405.07
3.9 <|> 399.14
20.8 <|> 2128.75
8.2 <|> 839.218
12.7 <|> 1299.76
26.2 <|> 2681.4
-7.4 <|> -757.343
-67.4 <|> -6897.96
-62 <|> -6345.3
40.5 <|> 4144.92
114.3 <|> 11697.9
42.9 <|> 4390.54
-73.9 <|> -7563.19
-87.2 <|> -8924.36
-13.3 <|> -1361.17
48.1 <|> 4922.73
46.1 <|> 4718.04
8.3 <|> 849.452
-13.4 <|> -1371.4
-12.7 <|> -1299.76
-6.5 <|> -665.233
-12 <|> -1228.12
-27.2 <|> -2783.75
-0.5 <|> -51.1718
65 <|> 6652.33
55.1 <|> 5639.13
-48.8 <|> -4994.37
-97.1 <|> -9937.56
-13.7 <|> -1402.11
86.1 <|> 8811.78
70.7 <|> 7235.69
-32 <|> -3275
-83.6 <|> -8555.93
-27.9 <|> -2855.39
48.1 <|> 4922.73
60.8 <|> 6222.49
9.5 <|> 972.264
-55.2 <|> -5649.37
-50.6 <|> -5178.59
20.5 <|> 2098.04
52.8 <|> 5403.74
16 <|> 1637.5
-26.3 <|> -2691.64
-28.6 <|> -2927.03
-2.4 <|> -245.625
15.9 <|> 1627.26
13.5 <|> 1381.64
2.3 <|> 235.39
-5.9 <|> -603.827
-9.6 <|> -982.499
-7.7 <|> -788.046
7.2 <|> 736.874
11.1 <|> 1136.01
-6.8 <|> -695.937
-7.3 <|> -747.108
10.8 <|> 1105.31
11.5 <|> 1176.95
-9.9 <|> -1013.2
-27.7 <|> -2834.92
-5.1 <|> -521.952
40.2 <|> 4114.21
27 <|> 2763.28
-33.6 <|> -3438.75
-42 <|> -4298.43
13.5 <|> 1381.64
45.5 <|> 4656.63
8 <|> 818.749
-42.6 <|> -4359.84
-28.4 <|> -2906.56
29.8 <|> 3049.84
41.5 <|> 4247.26
2.1 <|> 214.922
-31.7 <|> -3244.29
-40.1 <|> -4103.98
-9.5 <|> -972.264
44.9 <|> 4595.23
55 <|> 5628.9
2.6 <|> 266.093
-59.6 <|> -6099.68
-63.5 <|> -6498.82
7.9 <|> 808.515
76.7 <|> 7849.75
56.1 <|> 5741.48
-31.4 <|> -3213.59
-77.1 <|> -7890.69
-24.8 <|> -2538.12
49.7 <|> 5086.48
49.6 <|> 5076.24
-10 <|> -1023.44
-41.1 <|> -4206.32
-13.7 <|> -1402.11
15.7 <|> 1606.79
9.8 <|> 1002.97
6.1 <|> 624.296
17.5 <|> 1791.01
0.3 <|> 30.7031
-41.4 <|> -4237.03
-39.6 <|> -4052.81
23.4 <|> 2394.84
73.8 <|> 7552.96
33.8 <|> 3459.21
-56.4 <|> -5772.18
-76.3 <|> -7808.82
-7.7 <|> -788.046
60.2 <|> 6161.09
58.2 <|> 5956.4
-5.3 <|> -542.421
-51.1 <|> -5229.76
-34.4 <|> -3520.62
7.6 <|> 777.811
31.7 <|> 3244.29
18.2 <|> 1862.65
-5.2 <|> -532.187
-7.2 <|> -736.874
-12.3 <|> -1258.83
-14.8 <|> -1514.69
6.4 <|> 654.999
20.3 <|> 2077.58
10.1 <|> 1033.67
-7.2 <|> -736.874
-15.8 <|> -1617.03
-8.8 <|> -900.624
4.8 <|> 491.249
10.8 <|> 1105.31
8.2 <|> 839.218
2.8 <|> 286.562
-5.7 <|> -583.359
-18.7 <|> -1913.83
-11.8 <|> -1207.65
17.9 <|> 1831.95
28 <|> 2865.62
-1.7 <|> -173.984
-28 <|> -2865.62
-16.8 <|> -1719.37
10.4 <|> 1064.37
22.9 <|> 2343.67
11.7 <|> 1197.42
-14.2 <|> -1453.28
-24.2 <|> -2476.72
-0.4 <|> -40.9374
22.3 <|> 2282.26
10.2 <|> 1043.9
-11.8 <|> -1207.65
-11.7 <|> -1197.42
1 <|> 102.344
10.6 <|> 1084.84
6.7 <|> 685.702
-10.4 <|> -1064.37
-12.3 <|> -1258.83
5.7 <|> 583.359
13 <|> 1330.47
6.3 <|> 644.765
-6.4 <|> -654.999
-14.7 <|> -1504.45
-5.9 <|> -603.827
8.8 <|> 900.624
14.9 <|> 1524.92
4.5 <|> 460.546
-15 <|> -1535.15
-10.5 <|> -1074.61
8.2 <|> 839.218
8.2 <|> 839.218
-1.6 <|> -163.75
-8.3 <|> -849.452
-1.2 <|> -122.812
12.6 <|> 1289.53
2.9 <|> 296.796
-12.5 <|> -1279.3
-6.7 <|> -685.702
4.6 <|> 470.781
9.7 <|> 992.733
1.8 <|> 184.218
-7.4 <|> -757.343
0 <|> 0
3 <|> 307.031
-5.9 <|> -603.827
-7.5 <|> -767.577
3.3 <|> 337.734
18 <|> 1842.18
13.7 <|> 1402.11
-14.8 <|> -1514.69
-33.1 <|> -3387.57
-13 <|> -1330.47
32.9 <|> 3367.1
48.1 <|> 4922.73
-6.8 <|> -695.937
-61.5 <|> -6294.13
-31.4 <|> -3213.59
41 <|> 4196.09
58.1 <|> 5946.16
2.3 <|> 235.39
-55.1 <|> -5639.13
-43.2 <|> -4421.24
18.6 <|> 1903.59
54.7 <|> 5598.2
26.1 <|> 2671.17
-27.2 <|> -2783.75
-44.6 <|> -4564.52
-15.6 <|> -1596.56
25.3 <|> 2589.29
38 <|> 3889.06
9.9 <|> 1013.2
-24.8 <|> -2538.12
-31.5 <|> -3223.82
-7.4 <|> -757.343
26.6 <|> 2722.34
30.4 <|> 3111.25
-0.5 <|> -51.1718
-25.9 <|> -2650.7
-23.6 <|> -2415.31
-2.8 <|> -286.562
21.2 <|> 2169.68
32.5 <|> 3326.17
7.7 <|> 788.046
-35 <|> -3582.03
-33.4 <|> -3418.28
5.9 <|> 603.827
31.2 <|> 3193.12
25.3 <|> 2589.29
-4.7 <|> -481.015
-27.2 <|> -2783.75
-19.6 <|> -2005.93
0.3 <|> 30.7031
21.7 <|> 2220.86
22.8 <|> 2333.43
-4.9 <|> -501.484
-22.1 <|> -2261.79
-9.8 <|> -1002.97
6.2 <|> 634.53
13.9 <|> 1422.58
374.5 <|> 38327.7
189.6 <|> 19404.3
-275.9 <|> -28236.6
-321.8 <|> -32934.2
129.8 <|> 13284.2
356.2 <|> 36454.8
47.1 <|> 4820.38
-256.6 <|> -26261.4
-197.9 <|> -20253.8
26.1 <|> 2671.17
214 <|> 21901.5
217.9 <|> 22300.7
-59 <|> -6038.27
-307 <|> -31504.1
-148.5 <|> -15238.9
187.6 <|> 19251.4
231.6 <|> 23766.6
12.4 <|> 1272.48
-146.1 <|> -14992.7
-122.7 <|> -12591.4
19.6 <|> 2011.34
110.5 <|> 11339.4
15.5 <|> 1590.6
-78.5 <|> -8055.6
23.7 <|> 2432.07
89.3 <|> 9163.89
-45.2 <|> -4638.39
-100.6 <|> -10323.5
37.1 <|> 3807.17
86.4 <|> 8866.3
-46.6 <|> -4782.05
-100.5 <|> -10313.2
53.6 <|> 5500.39
158.3 <|> 16244.6
-2.3 <|> -236.024
-182.3 <|> -18707.5
-65.8 <|> -6752.34
133.7 <|> 13720.2
51.1 <|> 5243.84
-115.1 <|> -11811.5
31.8 <|> 3263.29
227.2 <|> 23315.1
-45.2 <|> -4638.39
-401.8 <|> -41232.4
-81.9 <|> -8404.51
470.5 <|> 48282.3
256.1 <|> 26280.8
-375.3 <|> -38513
-344.4 <|> -35342
204.1 <|> 20944.6
311.2 <|> 31935.1
-58.6 <|> -6013.48
-208 <|> -21344.8
-25.6 <|> -2627.05
91.5 <|> 9389.65
40 <|> 4104.77
-9.7 <|> -995.406
7.6 <|> 779.906
5.1 <|> 523.358
-56.1 <|> -5756.93
-72 <|> -7388.58
27 <|> 2770.72
119.8 <|> 12293.8
65.3 <|> 6701.03
-72.3 <|> -7419.37
-106.9 <|> -10970
-21.4 <|> -2196.05
33.4 <|> 3427.48
32.3 <|> 3314.6
59.4 <|> 6095.58
66.3 <|> 6803.65
-19.5 <|> -2001.07
-137.4 <|> -14099.9
-159.4 <|> -16357.5
33.3 <|> 3417.22
300 <|> 30785.7
211.6 <|> 21714.2
-236 <|> -24218.1
-402.9 <|> -41345.3
2.2 <|> 225.762
397.3 <|> 40770.6
208.8 <|> 21426.9
-254.4 <|> -26106.3
-268.7 <|> -27573.8
145.3 <|> 14910.6
225.8 <|> 23171.4
-145.8 <|> -14961.9
-203.1 <|> -20842
166.8 <|> 17116.9
232 <|> 23807.6
-95.3 <|> -9779.61
-240.5 <|> -24679.9
-62.4 <|> -6403.44
165.6 <|> 16993.7
195.1 <|> 20021
-34.3 <|> -3519.84
-214.2 <|> -21981
-75 <|> -7696.44
120.6 <|> 12375.9
102.5 <|> 10518.5
24.1 <|> 2473.12
-30.9 <|> -3170.93
-138.2 <|> -14182
-126.6 <|> -12991.6
129.2 <|> 13258.4
297.7 <|> 30549.7
59.1 <|> 6064.79
-340 <|> -34890.5
-337.2 <|> -34603.2
147.8 <|> 15167.1
466.7 <|> 47892.4
177.2 <|> 18184.1
-283.5 <|> -29092.5
-353.1 <|> -36234.8
-79.4 <|> -8147.96
201.1 <|> 20636.7
284.6 <|> 29205.4
126.7 <|> 13001.8
-143.9 <|> -14766.9
-288.7 <|> -29626.2
-177.9 <|> -18255.9
121.9 <|> 12509.3
339.2 <|> 34808.4
178.1 <|> 18276.5
-192.7 <|> -19774.7
-278 <|> -28528.1
-45.1 <|> -4628.12
107.5 <|> 11031.6
51.2 <|> 5254.1
24.6 <|> 2524.43
171.2 <|> 17568.4
178.1 <|> 18276.5
-256 <|> -26270.5
-557.9 <|> -57251.2
-39.1 <|> -4012.41
647.1 <|> 66404.9
458.6 <|> 47061.1
-259.3 <|> -26609.1
-536.8 <|> -55086
-275.1 <|> -28230.5
137.1 <|> 14069.1
489.7 <|> 50252.6
419.2 <|> 43018
-249.2 <|> -25572.7
-701.8 <|> -72018.1
-177.7 <|> -18235.4
546.8 <|> 56112.2
391.2 <|> 40144.6
-183.8 <|> -18861.4
-231.8 <|> -23787.1
10.1 <|> 1036.45
-54.1 <|> -5551.7
-169.1 <|> -17352.9
76.2 <|> 7819.58
379.2 <|> 38913.2
230.4 <|> 23643.5
-273.2 <|> -28035.6
-510.1 <|> -52346
-144.8 <|> -14859.3
417.4 <|> 42833.2
492.4 <|> 50529.7
-31.6 <|> -3242.77
-459.1 <|> -47112.5
-266.9 <|> -27389.1
130.6 <|> 13402.1
233.7 <|> 23982.1
151 <|> 15495.5
30.4 <|> 3119.62
-143.4 <|> -14715.6
-234.3 <|> -24043.7
-116.2 <|> -11924.3
153.9 <|> 15793.1
362.1 <|> 37158.4
182.4 <|> 18717.7
-320.2 <|> -32858.7
-482.1 <|> -49472.7
-8.5 <|> -872.263
455.5 <|> 46743
302.4 <|> 31032
-154.6 <|> -15864.9
-280.8 <|> -28815.5
-77.8 <|> -7983.77
46.2 <|> 4741.01
34 <|> 3489.05
74.8 <|> 7675.91
131 <|> 13443.1
31.7 <|> 3253.03
-160.8 <|> -16501.2
-181.5 <|> -18625.4
29.9 <|> 3068.31
194.7 <|> 19980
94.5 <|> 9697.51
-106.1 <|> -10887.9
-106.5 <|> -10928.9
46.1 <|> 4730.74
58.7 <|> 6023.74
-57.5 <|> -5900.6
-41.1 <|> -4217.65
82 <|> 8414.77
60.9 <|> 6249.51
-72 <|> -7388.58
-65 <|> -6670.25
48.6 <|> 4987.29
31.4 <|> 3222.24
-61.7 <|> -6331.6
-5.1 <|> -523.358
110.7 <|> 11359.9
36.5 <|> 3745.6
-128.4 <|> -13176.3
-99.2 <|> -10179.8
56.2 <|> 5767.2
89.5 <|> 9184.41
56.7 <|> 5818.51
46.4 <|> 4761.53
-75.9 <|> -7788.79
-206.9 <|> -21231.9
-51.6 <|> -5295.15
224.9 <|> 23079
199.7 <|> 20493
-76.5 <|> -7850.37
-204.3 <|> -20965.1
-84.3 <|> -8650.8
65.2 <|> 6690.77
114.6 <|> 11760.2
66.3 <|> 6803.65
-39.7 <|> -4073.98
-83.7 <|> -8589.22
-15.6 <|> -1600.86
26 <|> 2668.1
-14.5 <|> -1487.98
5.7 <|> 584.929
84.1 <|> 8630.27
30.3 <|> 3109.36
-112.4 <|> -11534.4
-89.7 <|> -9204.94
72.4 <|> 7429.63
112.6 <|> 11554.9
-8.2 <|> -841.477
-92.8 <|> -9523.06
-28.3 <|> -2904.12
73 <|> 7491.2
38 <|> 3899.53
-80.3 <|> -8240.32
-58.8 <|> -6034.01
83.7 <|> 8589.22
94.9 <|> 9738.56
-40.3 <|> -4135.55
-94.8 <|> -9728.3
-36.4 <|> -3735.34
12.4 <|> 1272.48
68.6 <|> 7039.67
110.6 <|> 11349.7
7.5 <|> 769.644
-154.3 <|> -15834.1
-146.6 <|> -15044
31.4 <|> 3222.24
197.8 <|> 20298.1
176.5 <|> 18112.3
-61.2 <|> -6280.29
-264.2 <|> -27112
-158.4 <|> -16254.9
129.8 <|> 13320
233.6 <|> 23971.8
80.7 <|> 8281.37
-88.1 <|> -9040.75
-138.9 <|> -14253.8
-104.8 <|> -10754.5
9.5 <|> 974.882
142.8 <|> 14654
131.7 <|> 13514.9
-28.7 <|> -2945.17
-138.7 <|> -14233.3
-81.9 <|> -8404.51
49.5 <|> 5079.65
92.3 <|> 9471.75
15.1 <|> 1549.55
-39.3 <|> -4032.93
-6.9 <|> -708.072
0.9 <|> 92.3572
-41.7 <|> -4279.22
-16.5 <|> -1693.22
88.8 <|> 9112.58
97 <|> 9954.06
-76.2 <|> -7819.58
-212.2 <|> -21775.8
-71.3 <|> -7316.75
231.8 <|> 23787.1
314 <|> 32222.4
-21.9 <|> -2247.36
-420.1 <|> -43110.3
-323.5 <|> -33197.3
216.3 <|> 22196.5
492.2 <|> 50509.2
127.1 <|> 13042.9
-331.9 <|> -34059.3
-267.1 <|> -27409.6
73 <|> 7491.2
135.4 <|> 13894.6
-16.8 <|> -1724
-6.4 <|> -656.763
131.7 <|> 13514.9
88.7 <|> 9102.32
-154.2 <|> -15823.9
-262.6 <|> -26947.8
-17.6 <|> -1806.1
302.1 <|> 31001.2
223.4 <|> 22925.1
-175.1 <|> -17968.6
-292.2 <|> -29985.3
17.2 <|> 1765.05
222.6 <|> 22843
70.7 <|> 7255.17
-111.5 <|> -11442
-88.7 <|> -9102.32
29.1 <|> 2986.22
72 <|> 7388.58
7.2 <|> 738.858
-55.7 <|> -5715.89
-24.1 <|> -2473.12
57.2 <|> 5869.82
63.4 <|> 6506.05
-52.2 <|> -5356.72
-131.6 <|> -13504.7
-6.5 <|> -667.025
169.3 <|> 17373.4
113.6 <|> 11657.5
-119.6 <|> -12273.3
-196.4 <|> -20154.4
1.9 <|> 194.976
188.6 <|> 19354
100.5 <|> 10313.2
-101.9 <|> -10456.9
-122.2 <|> -12540.1
1.9 <|> 194.976
64.3 <|> 6598.41
50.4 <|> 5172.01
16.3 <|> 1672.69
-43.1 <|> -4422.89
-60 <|> -6157.15
17.6 <|> 1806.1
59.9 <|> 6146.89
-22.1 <|> -2267.88
-70.3 <|> -7214.13
31.6 <|> 3242.77
122 <|> 12519.5
27.3 <|> 2801.5
-148 <|> -15187.6
-156.4 <|> -16049.6
56.5 <|> 5797.98
234.5 <|> 24064.2
124.2 <|> 12745.3
-153.3 <|> -15731.5
-236.8 <|> -24300.2
-32.5 <|> -3335.12
172.5 <|> 17701.8
157.1 <|> 16121.5
0.1 <|> 10.2619
-123 <|> -12622.2
-120 <|> -12314.3
-13.3 <|> -1364.83
103.6 <|> 10631.3
125.9 <|> 12919.8
-2.1 <|> -215.5
-140.6 <|> -14428.3
-82.1 <|> -8425.03
79 <|> 8106.91
97.3 <|> 9984.84
-14.1 <|> -1446.93
-67.9 <|> -6967.84
-12 <|> -1231.43
42.8 <|> 4392.1
20.9 <|> 2144.74
-31.9 <|> -3273.55
-43.5 <|> -4463.93
5.7 <|> 584.929
58.4 <|> 5992.96
42.7 <|> 4381.84
-21.8 <|> -2237.1
-71.7 <|> -7357.79
-63.8 <|> -6547.1
37.7 <|> 3868.74
138 <|> 14161.4
47.4 <|> 4864.15
-144.4 <|> -14818.2
-131.3 <|> -13473.9
79.8 <|> 8189.01
162.9 <|> 16716.7
8.2 <|> 841.477
-129.1 <|> -13248.1
-64.3 <|> -6598.41
57.3 <|> 5880.08
65.3 <|> 6701.03
3.9 <|> 400.215
-29.6 <|> -3037.53
-22.7 <|> -2329.45
-3.5 <|> -359.167
1.3 <|> 133.405
3.1 <|> 318.119
28.8 <|> 2955.43
35.6 <|> 3653.24
-32.4 <|> -3324.86
-89.5 <|> -9184.41
-11.8 <|> -1210.91
111.5 <|> 11442
83.5 <|> 8568.7
-62.4 <|> -6403.44
-107.5 <|> -11031.6
-27.5 <|> -2822.03
18.6 <|> 1908.72
43.3 <|> 4443.41
117.4 <|> 12047.5
87.1 <|> 8938.13
-129.4 <|> -13278.9
-247 <|> -25346.9
-39.7 <|> -4073.98
234.9 <|> 24105.2
207.8 <|> 21324.3
-46.4 <|> -4761.53
-176.8 <|> -18143.1
-89.4 <|> -9174.15
18.3 <|> 1877.93
27.9 <|> 2863.07
18.8 <|> 1929.24
84.9 <|> 8712.37
130.7 <|> 13412.3
-21.2 <|> -2175.53
-251.4 <|> -25798.5
-199.2 <|> -20441.7
146.5 <|> 15033.7
334.9 <|> 34367.2
95 <|> 9748.82
-236.9 <|> -24310.5
-225 <|> -23089.3
21.9 <|> 2247.36
141.5 <|> 14520.6
90 <|> 9235.72
21.3 <|> 2185.79
-30.3 <|> -3109.36
-88.4 <|> -9071.53
-84 <|> -8620.01
30.5 <|> 3129.88
121.4 <|> 12458
47.6 <|> 4884.67
-75.9 <|> -7788.79
-63.9 <|> -6557.36
24.4 <|> 2503.91
32.6 <|> 3345.38
-15.4 <|> -1580.34
-8.8 <|> -903.049
30.3 <|> 3109.36
11.7 <|> 1200.64
-31.7 <|> -3253.03
-22.5 <|> -2308.93
11.3 <|> 1159.6
23.4 <|> 2401.29
14.8 <|> 1518.76
-10.5 <|> -1077.5
-30.1 <|> -3088.84
-16.2 <|> -1662.43
24.4 <|> 2503.91
44.8 <|> 4597.34
6.3 <|> 646.501
-49.9 <|> -5120.7
-46.6 <|> -4782.05
19.8 <|> 2031.86
60 <|> 6157.15
13.7 <|> 1405.88
-36.1 <|> -3704.55
-10.4 <|> -1067.24
15.4 <|> 1580.34
-17.5 <|> -1795.84
-34.8 <|> -3571.15
16.5 <|> 1693.22
60.7 <|> 6228.98
30.5 <|> 3129.88
-33.2 <|> -3406.96
-70.4 <|> -7224.39
-45 <|> -4617.86
48.3 <|> 4956.51
104.2 <|> 10692.9
20.8 <|> 2134.48
-99 <|> -10159.3
-76.9 <|> -7891.41
55.8 <|> 5726.15
93.2 <|> 9564.11
-19.9 <|> -2042.12
-92.6 <|> -9502.53
-9.4 <|> -964.62
89.1 <|> 9143.37
49.9 <|> 5120.7
-65.4 <|> -6711.29
-80.5 <|> -8260.84
17.3 <|> 1775.31
65 <|> 6670.25
11 <|> 1128.81
-24.3 <|> -2493.65
6.4 <|> 656.763
20.1 <|> 2062.65
-28.8 <|> -2955.43
-51.1 <|> -5243.84
14 <|> 1436.67
44.4 <|> 4556.29
-10.1 <|> -1036.45
6.5 <|> 667.025
82.7 <|> 8486.6
1.4 <|> 143.667
-172.8 <|> -17732.6
-115.2 <|> -11821.7
142.6 <|> 14633.5
207.1 <|> 21252.4
2.2 <|> 225.762
-139.7 <|> -14335.9
-84.5 <|> -8671.32
-15.6 <|> -1600.86
-1.8 <|> -184.714
59.1 <|> 6064.79
124.9 <|> 12817.1
55.1 <|> 5654.32
-94 <|> -9646.2
-161.4 <|> -16562.7
-77.2 <|> -7922.2
108.8 <|> 11165
194.1 <|> 19918.4
49.2 <|> 5048.86
-136.6 <|> -14017.8
-144.9 <|> -14869.5
-12.2 <|> -1251.95
99.2 <|> 10179.8
95.7 <|> 9820.65
11.1 <|> 1139.07
-63.8 <|> -6547.1
-67.7 <|> -6947.32
-6.6 <|> -677.286
42.1 <|> 4320.27
26.4 <|> 2709.15
0.2 <|> 20.5238
8.3 <|> 851.739
3.1 <|> 318.119
-32.9 <|> -3376.17
-42.5 <|> -4361.31
5.4 <|> 554.143
63.2 <|> 6485.53
44.3 <|> 4546.03
-35 <|> -3591.67
-62.5 <|> -6413.7
-17.7 <|> -1816.36
38.8 <|> 3981.62
52.3 <|> 5366.98
-5.8 <|> -595.191
-55.3 <|> -5674.84
-13.2 <|> -1354.57
42.9 <|> 4402.36
22.4 <|> 2298.67
-34.1 <|> -3499.31
-32.6 <|> -3345.38
30 <|> 3078.57
43.6 <|> 4474.2
-23.3 <|> -2391.03
-52.3 <|> -5366.98
4.6 <|> 472.048
52.3 <|> 5366.98
22.9 <|> 2349.98
-35.9 <|> -3684.03
-37.9 <|> -3889.27
10.5 <|> 1077.5
27.4 <|> 2811.76
-3.9 <|> -400.215
-17.9 <|> -1836.88
15.9 <|> 1631.64
41.5 <|> 4258.7
-3.9 <|> -400.215
-72.9 <|> -7480.94
-51.4 <|> -5274.62
50.9 <|> 5223.32
93 <|> 9543.58
20.3 <|> 2083.17
-62.7 <|> -6434.22
-62.3 <|> -6393.17
-6.2 <|> -636.239
35.3 <|> 3622.46
32.1 <|> 3294.08
6.2 <|> 636.239
-4.1 <|> -420.739
-3.1 <|> -318.119
-14.5 <|> -1487.98
-23.6 <|> -2421.81
-9.6 <|> -985.144
20.8 <|> 2134.48
37.8 <|> 3879
10.1 <|> 1036.45
-33.5 <|> -3437.74
-31.5 <|> -3232.5
12 <|> 1231.43
32.1 <|> 3294.08
3.4 <|> 348.905
-27 <|> -2770.72
-16.4 <|> -1682.95
17 <|> 1744.53
26.6 <|> 2729.67
6 <|> 615.715
-16.5 <|> -1693.22
-21.9 <|> -2247.36
-14 <|> -1436.67
3.7 <|> 379.691
26.3 <|> 2698.88
31.3 <|> 3211.98
1.8 <|> 184.714
-33.6 <|> -3448
-38.7 <|> -3971.36
-7.4 <|> -759.382
37.2 <|> 3817.43
46.2 <|> 4741.01
0.4 <|> 41.0477
-42.3 <|> -4340.79
-27.6 <|> -2832.29
11.5 <|> 1180.12
15 <|> 1539.29
-0.5 <|> -51.3096
9.1 <|> 933.834
25.3 <|> 2596.26
-3.2 <|> -328.381
-51.4 <|> -5274.62
-35.8 <|> -3673.77
34.8 <|> 3571.15
65.4 <|> 6711.29
14.4 <|> 1477.72
-51.8 <|> -5315.67
-44.6 <|> -4576.81
11.2 <|> 1149.33
30.8 <|> 3160.67
10 <|> 1026.19
-8.3 <|> -851.739
-0.6 <|> -61.5715
11.9 <|> 1221.17
-8.9 <|> -913.311
-26.6 <|> -2729.67
-1.7 <|> -174.453
21.1 <|> 2165.26
11 <|> 1128.81
-3.7 <|> -379.691
2 <|> 205.238
4 <|> 410.477
-22.4 <|> -2298.67
-25.2 <|> -2586
20.2 <|> 2072.91
39 <|> 4002.15
5.9 <|> 605.453
-29.7 <|> -3047.79
-28.7 <|> -2945.17
7.4 <|> 759.382
31.5 <|> 3232.5
11 <|> 1128.81
-17.7 <|> -1816.36
-21.8 <|> -2237.1
-2.7 <|> -277.072
18.7 <|> 1918.98
15.8 <|> 1621.38
1.2 <|> 123.143
-7.6 <|> -779.906
-19.1 <|> -1960.03
-21.5 <|> -2206.31
2.8 <|> 287.334
40.1 <|> 4115.03
39.2 <|> 4022.67
-16.3 <|> -1672.69
-55.6 <|> -5705.63
-31.4 <|> -3222.24
17.1 <|> 1754.79
49.6 <|> 5089.91
39.1 <|> 4012.41
-13.4 <|> -1375.1
-52.2 <|> -5356.72
-40.4 <|> -4145.81
9.2 <|> 944.096
52.9 <|> 5428.55
40 <|> 4104.77
-10.8 <|> -1108.29
-43.8 <|> -4494.72
-39.1 <|> -4012.41
3.4 <|> 348.905
42.5 <|> 4361.31
33.2 <|> 3406.96
-2.6 <|> -266.81
-29.3 <|> -3006.74
-30.6 <|> -3140.15
-3 <|> -307.857
24.7 <|> 2534.69
25.5 <|> 2616.79
4.3 <|> 441.262
-16.9 <|> -1734.26
-20.9 <|> -2144.74
-6.2 <|> -636.239
13.1 <|> 1344.31
14.4 <|> 1477.72
4.9 <|> 502.834
-2.8 <|> -287.334
-13.3 <|> -1364.83
-12 <|> -1231.43
5.1 <|> 523.358
17.1 <|> 1754.79
9.1 <|> 933.834
-12.9 <|> -1323.79
-16.7 <|> -1713.74
4.8 <|> 492.572
17.9 <|> 1836.88
3.7 <|> 379.691
-16.7 <|> -1713.74
-15.1 <|> -1549.55
8.1 <|> 831.215
24.6 <|> 2524.43
13.8 <|> 1416.14
-18.9 <|> -1939.5
-37.3 <|> -3827.69
-7.7 <|> -790.168
38.3 <|> 3930.31
37.7 <|> 3868.74
