1545.5175.7 <|> 17578.8
-43.5 <|> -4352.18
-98.7 <|> -9874.93
-35 <|> -3501.75
120.2 <|> 12026
151.8 <|> 15187.6
-20.5 <|> -2051.03
-188.4 <|> -18849.4
-113.8 <|> -11385.7
117.9 <|> 11795.9
180.1 <|> 18019
1.6 <|> 160.08
-140.4 <|> -14047
-99.2 <|> -9924.96
25.8 <|> 2581.29
125.4 <|> 12546.3
101.6 <|> 10165.1
-57.3 <|> -5732.86
-171 <|> -17108.5
-79.6 <|> -7963.98
123 <|> 12306.1
194.1 <|> 19419.7
31.7 <|> 3171.59
-185.2 <|> -18529.3
-187.5 <|> -18759.4
46.8 <|> 4682.34
224.9 <|> 22501.2
110.1 <|> 11015.5
-133.3 <|> -13336.7
-174.7 <|> -17478.7
10.4 <|> 1040.52
135.5 <|> 13556.8
48.4 <|> 4842.42
-60 <|> -6003
-33.7 <|> -3371.69
7.8 <|> 780.39
-3.1 <|> -310.155
5.1 <|> 510.255
27.3 <|> 2731.36
11 <|> 1100.55
-41.7 <|> -4172.09
-44.7 <|> -4472.24
48.6 <|> 4862.43
86.8 <|> 8684.34
-30.8 <|> -3081.54
-113.3 <|> -11335.7
-18.2 <|> -1820.91
98.6 <|> 9864.93
66.3 <|> 6633.31
-51.9 <|> -5192.59
-86 <|> -8604.3
5.1 <|> 510.255
80.9 <|> 8094.05
33.2 <|> 3321.66
-45.5 <|> -4552.27
-50.5 <|> -5052.52
-35.3 <|> -3531.76
-20 <|> -2001
87.6 <|> 8764.38
191.7 <|> 19179.6
27.7 <|> 2771.38
-295.3 <|> -29544.8
-287.4 <|> -28754.4
140.1 <|> 14017
424.3 <|> 42451.2
172.9 <|> 17298.6
-251.5 <|> -25162.6
-322.1 <|> -32226.1
-57.5 <|> -5752.88
178.6 <|> 17868.9
188.3 <|> 18839.4
41.5 <|> 4152.07
-87 <|> -8704.35
-94 <|> -9404.7
-33.1 <|> -3311.66
-4.8 <|> -480.24
9.9 <|> 990.495
68.2 <|> 6823.41
101.6 <|> 10165.1
10.3 <|> 1030.52
-141.9 <|> -14197.1
-164.3 <|> -16438.2
28.7 <|> 2871.43
235.1 <|> 23521.8
159.1 <|> 15918
-125.2 <|> -12526.3
-244.7 <|> -24482.2
-83.9 <|> -8394.19
125.3 <|> 12536.3
187.8 <|> 18789.4
91.6 <|> 9164.58
-74.1 <|> -7413.7
-189.9 <|> -18999.5
-137.1 <|> -13716.9
80.9 <|> 8094.05
227.6 <|> 22771.4
106.5 <|> 10655.3
-127.1 <|> -12716.4
-192.2 <|> -19229.6
-43.7 <|> -4372.19
128.8 <|> 12886.4
139.3 <|> 13937
-5.8 <|> -580.29
-125.7 <|> -12576.3
-79.5 <|> -7953.97
54.3 <|> 5432.71
89.8 <|> 8984.49
14.7 <|> 1470.73
-46.8 <|> -4682.34
-42.1 <|> -4212.11
-3.9 <|> -390.195
20.9 <|> 2091.04
21.9 <|> 2191.09
14.7 <|> 1470.73
-4.6 <|> -460.23
-20.6 <|> -2061.03
-16.6 <|> -1660.83
-14.3 <|> -1430.71
12.7 <|> 1270.63
57.4 <|> 5742.87
15.6 <|> 1560.78
-69.8 <|> -6983.49
-46.1 <|> -4612.31
40.8 <|> 4082.04
53.6 <|> 5362.68
3.2 <|> 320.16
-23.5 <|> -2351.17
-24.5 <|> -2451.22
-33 <|> -3301.65
3.5 <|> 350.175
77.2 <|> 7723.86
47.2 <|> 4722.36
-72.4 <|> -7243.62
-94.2 <|> -9424.71
12.8 <|> 1280.64
103.1 <|> 10315.2
68.1 <|> 6813.4
-60.7 <|> -6073.03
-124.5 <|> -12456.2
-21.9 <|> -2191.09
115.7 <|> 11575.8
105.5 <|> 10555.3
-28.4 <|> -2841.42
-128.5 <|> -12856.4
-94.6 <|> -9464.73
48.2 <|> 4822.41
159.4 <|> 15948
93.2 <|> 9324.66
-101.4 <|> -10145.1
-181.3 <|> -18139.1
-35 <|> -3501.75
138.6 <|> 13866.9
122.8 <|> 12286.1
-14.1 <|> -1410.7
-85.9 <|> -8594.3
-64.6 <|> -6463.23
-18.7 <|> -1870.93
32.5 <|> 3251.62
70.4 <|> 7043.52
48.2 <|> 4822.41
-27.1 <|> -2711.36
-77.5 <|> -7753.88
-42.8 <|> -4282.14
38.3 <|> 3831.91
63 <|> 6303.15
6.8 <|> 680.34
-33.4 <|> -3341.67
-11.7 <|> -1170.58
2.1 <|> 210.105
-9.6 <|> -960.48
2.5 <|> 250.125
26.2 <|> 2621.31
6.9 <|> 690.345
-36.9 <|> -3691.84
-22.3 <|> -2231.11
52.1 <|> 5212.6
62.4 <|> 6243.12
-46.4 <|> -4642.32
-126.7 <|> -12676.3
-33.1 <|> -3311.66
142.3 <|> 14237.1
167.5 <|> 16758.4
-30.6 <|> -3061.53
-219.2 <|> -21931
-144.9 <|> -14497.2
85.5 <|> 8554.27
193.8 <|> 19389.7
111.7 <|> 11175.6
-41.4 <|> -4142.07
-141.7 <|> -14177.1
-131.8 <|> -13186.6
-26.1 <|> -2611.31
109.1 <|> 10915.5
164.2 <|> 16428.2
69.8 <|> 6983.49
-92.8 <|> -9284.64
-170.5 <|> -17058.5
-92.6 <|> -9264.63
81.3 <|> 8134.06
175.7 <|> 17578.8
76 <|> 7603.8
-94.1 <|> -9414.7
-142.3 <|> -14237.1
-29.7 <|> -2971.48
100.7 <|> 10075
79.7 <|> 7973.98
-38.4 <|> -3841.92
-65.1 <|> -6513.25
8.4 <|> 840.42
47.7 <|> 4772.39
2.4 <|> 240.12
-42.1 <|> -4212.11
-18.7 <|> -1870.93
26.7 <|> 2671.34
33.1 <|> 3311.66
1.9 <|> 190.095
-28.5 <|> -2851.42
-24 <|> -2401.2
10.1 <|> 1010.5
29.6 <|> 2961.48
5.1 <|> 510.255
-27.6 <|> -2761.38
-8.4 <|> -840.42
26.6 <|> 2661.33
7.1 <|> 710.355
-24.4 <|> -2441.22
-7.5 <|> -750.375
15.3 <|> 1530.77
7.8 <|> 780.39
-6.9 <|> -690.345
-10.8 <|> -1080.54
3.4 <|> 340.17
26.4 <|> 2641.32
20.7 <|> 2071.03
-38.7 <|> -3871.94
-77.3 <|> -7733.86
0.6 <|> 60.03
112.9 <|> 11295.6
93 <|> 9304.65
-53.9 <|> -5392.69
-156.2 <|> -15627.8
-74.7 <|> -7473.73
101.7 <|> 10175.1
145.9 <|> 14597.3
25.9 <|> 2591.29
-91.3 <|> -9134.56
-90.7 <|> -9074.53
-8.2 <|> -820.41
44 <|> 4402.2
30 <|> 3001.5
16.8 <|> 1680.84
24.6 <|> 2461.23
4.4 <|> 440.22
-47.9 <|> -4792.39
-69.7 <|> -6973.48
-21.7 <|> -2171.09
67 <|> 6703.35
111 <|> 11105.5
32.9 <|> 3291.64
-104.9 <|> -10495.2
-133.1 <|> -13316.7
-8.6 <|> -860.43
124.6 <|> 12466.2
117.6 <|> 11765.9
-19 <|> -1900.95
-124.3 <|> -12436.2
-74.6 <|> -7463.73
57.7 <|> 5772.89
95.7 <|> 9574.78
-7.9 <|> -790.395
-96.1 <|> -9614.8
-26.6 <|> -2661.33
111.5 <|> 11155.6
109.1 <|> 10915.5
-70.6 <|> -7063.53
-199.7 <|> -19980
-68.8 <|> -6883.44
164.3 <|> 16438.2
183.6 <|> 18369.2
1.7 <|> 170.085
-129.8 <|> -12986.5
-112.4 <|> -11245.6
-31.4 <|> -3141.57
43.4 <|> 4342.17
100.1 <|> 10015
85.1 <|> 8514.25
-13.2 <|> -1320.66
-82.2 <|> -8224.11
-85.2 <|> -8524.26
-57.1 <|> -5712.85
48.4 <|> 4842.42
164.1 <|> 16418.2
91.2 <|> 9124.56
-120.6 <|> -12066
-187.6 <|> -18769.4
-19.8 <|> -1980.99
150.9 <|> 15097.5
119.2 <|> 11926
-32.1 <|> -3211.61
-107.1 <|> -10715.4
-52.6 <|> -5262.63
33.1 <|> 3311.66
44.6 <|> 4462.23
7.5 <|> 750.375
8 <|> 800.4
21.2 <|> 2121.06
-22.2 <|> -2221.11
-67.7 <|> -6773.39
-21.5 <|> -2151.07
59.6 <|> 5962.98
65.4 <|> 6543.27
2.7 <|> 270.135
-52.2 <|> -5222.61
-51.2 <|> -5122.56
-8.1 <|> -810.405
34.4 <|> 3441.72
54.4 <|> 5442.72
23.5 <|> 2351.17
-46.6 <|> -4662.33
-63 <|> -6303.15
1 <|> 100.05
53.9 <|> 5392.69
32.6 <|> 3261.63
-19.6 <|> -1960.98
-27.2 <|> -2721.36
2.4 <|> 240.12
0.6 <|> 60.03
-19.1 <|> -1910.96
5.6 <|> 560.28
44.8 <|> 4482.24
19.8 <|> 1980.99
-41.6 <|> -4162.08
-43.4 <|> -4342.17
9.3 <|> 930.465
27.8 <|> 2781.39
7.3 <|> 730.365
6.5 <|> 650.325
21 <|> 2101.05
-1.2 <|> -120.06
-51.4 <|> -5142.57
-52.4 <|> -5242.62
20 <|> 2001
82.3 <|> 8234.11
56.3 <|> 5632.81
-32.8 <|> -3281.64
-88.7 <|> -8874.43
-52.6 <|> -5262.63
39.9 <|> 3991.99
83.3 <|> 8334.16
22.8 <|> 2281.14
-45.8 <|> -4582.29
-30.6 <|> -3061.53
7.1 <|> 710.355
1.9 <|> 190.095
