,municipio,PIB,codigo
50254,Bonfim,27231.41,1400159
50255,Cantá,15982.59,1400175
50256,Caracaraí,17238.65,1400209
50257,Caroebe,19607.6,1400233
50258,Iracema,13579.84,1400282
50259,Mucajaí,17885.01,1400308
50260,Normandia,15837.16,1400407
50261,Pacaraima,14885.59,1400456
50262,Rorainópolis,20258.48,1400472
50263,São João da Baliza,25512.88,1400506
50264,São Luiz,18485.82,1400605
50265,Uiramutã,11522.07,1400704
50266,Abaetetuba,9480.05,1500107
50267,Abel Figueiredo,11456.64,1500131
50268,Acará,13625.95,1500206
50269,Afuá,9446.15,1500305
50270,Água Azul do Norte,15843.51,1500347
50271,Alenquer,10064.02,1500404
50272,Almeirim,15974.52,1500503
50273,Altamira,24250.13,1500602
50274,Anajás,7326.86,1500701
50275,Ananindeua,15389.79,1500800
50276,Anapu,14926.79,1500859
50277,Augusto Corrêa,7097.33,1500909
50278,Aurora do Pará,7071.37,1500958
50279,Aveiro,7543.26,1501006
50280,Bagre,6647.26,1501105
50281,Baião,10006.49,1501204
50282,Bannach,24708.36,1501253
50283,Barcarena,43064.73,1501303
50284,Belém,21708.55,1501402
50285,Belterra,9265.43,1501451
50286,Benevides,24874.67,1501501
50287,Bom Jesus do Tocantins,10283.07,1501576
50288,Bonito,9839.24,1501600
50289,Bragança,9122.72,1501709
50290,Brasil Novo,18362.96,1501725
50291,Brejo Grande do Araguaia,11088.75,1501758
50292,Breu Branco,9114.67,1501782
50293,Breves,7880.38,1501808
50294,Bujaru,14228.93,1501907
50295,Cachoeira do Piriá,5412.08,1501956
50296,Cachoeira do Arari,8157.47,1502004
50297,Cametá,8346.73,1502103
50298,Canaã dos Carajás,288812.06,1502152
50299,Capanema,16043.6,1502202
50300,Capitão Poço,12508.81,1502301
50301,Castanhal,20123.38,1502400
50302,Chaves,8236.88,1502509
50303,Colares,7054.21,1502608
50304,Conceição do Araguaia,11471.63,1502707
50305,Concórdia do Pará,8807.42,1502756
50306,Cumaru do Norte,21315.6,1502764
50307,Curionópolis,52681.68,1502772
50308,Curralinho,7391.8,1502806
50309,Curuá,9038.65,1502855
50310,Curuçá,7261.11,1502905
50311,Dom Eliseu,10538.09,1502939
50312,Eldorado do Carajás,12301.0,1502954
50313,Faro,8110.59,1503002
50314,Floresta do Araguaia,13459.86,1503044
50315,Garrafão do Norte,8638.54,1503077
50316,Goianésia do Pará,8601.0,1503093
50317,Gurupá,8148.07,1503101
50318,Igarapé-Açu,8944.66,1503200
50319,Igarapé-Miri,8321.28,1503309
50320,Inhangapi,10258.61,1503408
50321,Ipixuna do Pará,9024.66,1503457
50322,Irituia,6794.53,1503507
50323,Itaituba,20214.09,1503606
50324,Itupiranga,10921.94,1503705
50325,Jacareacanga,63853.08,1503754
50326,Jacundá,8275.15,1503804
50327,Juruti,20834.45,1503903
50328,Limoeiro do Ajuru,14676.38,1504000
50329,Mãe do Rio,9729.3,1504059
50330,Magalhães Barata,8692.56,1504109
50331,Marabá,40872.35,1504208
50332,Maracanã,7774.15,1504307
50333,Marapanim,7532.32,1504406
50334,Marituba,14695.07,1504422
50335,Medicilândia,20744.58,1504455
50336,Melgaço,6548.45,1504505
50337,Mocajuba,12215.58,1504604
50338,Moju,9974.64,1504703
50339,Mojuí dos Campos,10662.05,1504752
50340,Monte Alegre,10765.7,1504802
50341,Muaná,6425.83,1504901
50342,Nova Esperança do Piriá,9787.17,1504950
50343,Nova Ipixuna,9522.49,1504976
50344,Nova Timboteua,7564.44,1505007
50345,Novo Progresso,27175.33,1505031
50346,Novo Repartimento,10977.74,1505064
50347,Óbidos,18778.79,1505106
50348,Oeiras do Pará,11188.83,1505205
50349,Oriximiná,28564.09,1505304
50350,Ourém,10416.82,1505403
50351,Ourilândia do Norte,19359.29,1505437
50352,Pacajá,14223.2,1505486
50353,Palestina do Pará,9551.41,1505494
50354,Paragominas,27716.65,1505502
50355,Parauapebas,110604.1,1505536
50356,Pau D'Arco,16275.22,1505551
50357,Peixe-Boi,6676.47,1505601
50358,Piçarra,16358.07,1505635
50359,Placas,8367.13,1505650
50360,Ponta de Pedras,7150.48,1505700
50361,Portel,12703.78,1505809
50362,Porto de Moz,7842.34,1505908
50363,Prainha,9834.46,1506005
50364,Primavera,21933.59,1506104
50365,Quatipuru,7366.12,1506112
50366,Redenção,22028.88,1506138
50367,Rio Maria,27248.99,1506161
50368,Rondon do Pará,10212.79,1506187
50369,Rurópolis,7450.48,1506195
50370,Salinópolis,13083.92,1506203
50371,Salvaterra,7605.36,1506302
50372,Santa Bárbara do Pará,8605.28,1506351
50373,Santa Cruz do Arari,7094.0,1506401
50374,Santa Izabel do Pará,11252.79,1506500
50375,Santa Luzia do Pará,8113.58,1506559
50376,Santa Maria das Barreiras,23286.22,1506583
50377,Santa Maria do Pará,11731.98,1506609
50378,Santana do Araguaia,14228.2,1506708
50379,Santarém,16829.8,1506807
50380,Santarém Novo,6758.47,1506906
50381,Santo Antônio do Tauá,12258.39,1507003
50382,São Caetano de Odivelas,8075.4,1507102
50383,São Domingos do Araguaia,11161.66,1507151
50384,São Domingos do Capim,10841.76,1507201
50385,São Félix do Xingu,11288.26,1507300
50386,São Francisco do Pará,15166.4,1507409
50387,São Geraldo do Araguaia,20998.28,1507458
50388,São João da Ponta,7595.37,1507466
50389,São João de Pirabas,7357.27,1507474
50390,São João do Araguaia,9575.25,1507508
50391,São Miguel do Guamá,10710.55,1507607
50392,São Sebastião da Boa Vista,7698.46,1507706
50393,Sapucaia,17928.79,1507755
50394,Senador José Porfírio,14017.34,1507805
50395,Soure,7798.94,1507904
50396,Tailândia,8945.48,1507953
50397,Terra Alta,6109.71,1507961
50398,Terra Santa,24756.49,1507979
50399,Tomé-Açu,11241.11,1508001
50400,Tracuateua,7509.75,1508035
50401,Trairão,15103.0,1508050
50402,Tucumã,20904.79,1508084
50403,Tucuruí,46791.4,1508100
50404,Ulianópolis,26868.93,1508126
50405,Uruará,13431.86,1508159
50406,Vigia,7235.93,1508209
50407,Viseu,7998.89,1508308
50408,Vitória do Xingu,267676.58,1508357
50409,Xinguara,28917.29,1508407
50410,Serra do Navio,13501.73,1600055
50411,Amapá,17181.22,1600105
50412,Pedra Branca do Amapari,20194.3,1600154
50413,Calçoene,14703.92,1600204
50414,Cutias,13711.69,1600212
50415,Ferreira Gomes,63545.77,1600238
50416,Itaubal,13616.72,1600253
50417,Laranjal do Jari,19249.72,1600279
50418,Macapá,22718.28,1600303
50419,Mazagão,13412.35,1600402
50420,Oiapoque,16891.97,1600501
50421,Porto Grande,15395.73,1600535
50422,Pracuúba,13995.83,1600550
50423,Santana,17515.37,1600600
50424,Tartarugalzinho,13380.58,1600709
50425,Vitória do Jari,12303.06,1600808
50426,Abreulândia,20911.8,1700251
50427,Aguiarnópolis,24191.06,1700301
50428,Aliança do Tocantins,20285.98,1700350
50429,Almas,24366.85,1700400
50430,Alvorada,39825.35,1700707
50431,Ananás,15545.97,1701002
50432,Angico,11328.47,1701051
50433,Aparecida do Rio Negro,26500.46,1701101
50434,Aragominas,11788.93,1701309
50435,Araguacema,20257.9,1701903
50436,Araguaçu,52770.73,1702000
50437,Araguaína,26101.59,1702109
50438,Araguanã,12183.89,1702158
50439,Araguatins,12484.23,1702208
50440,Arapoema,26957.92,1702307
50441,Arraias,19777.41,1702406
50442,Augustinópolis,15236.49,1702554
50443,Aurora do Tocantins,12477.89,1702703
50444,Axixá do Tocantins,13657.91,1702901
50445,Babaçulândia,10525.09,1703008
50446,Bandeirantes do Tocantins,29027.0,1703057
50447,Barra do Ouro,12597.53,1703073
50448,Barrolândia,16984.96,1703107
50449,Bernardo Sayão,16924.62,1703206
50450,Bom Jesus do Tocantins,25187.47,1703305
50451,Brasilândia do Tocantins,19845.66,1703602
50452,Brejinho de Nazaré,30936.09,1703701
50453,Buriti do Tocantins,9534.31,1703800
50454,Cachoeirinha,12981.14,1703826
50455,Campos Lindos,33015.92,1703842
50456,Cariri do Tocantins,83212.92,1703867
50457,Carmolândia,16063.13,1703883
50458,Carrasco Bonito,10579.99,1703891
50459,Caseara,31356.48,1703909
50460,Centenário,14622.91,1704105
50461,Chapada de Areia,17142.48,1704600
50462,Chapada da Natividade,20639.26,1705102
50463,Colinas do Tocantins,22549.37,1705508
50464,Combinado,15205.38,1705557
50465,Conceição do Tocantins,14127.82,1705607
50466,Couto Magalhães,17436.75,1706001
50467,Cristalândia,17102.92,1706100
50468,Crixás do Tocantins,28119.22,1706258
50469,Darcinópolis,37455.65,1706506
50470,Dianópolis,20150.21,1707009
50471,Divinópolis do Tocantins,17772.88,1707108
50472,Dois Irmãos do Tocantins,15023.51,1707207
50473,Dueré,27107.03,1707306
50474,Esperantina,8965.48,1707405
50475,Fátima,20412.57,1707553
50476,Figueirópolis,34890.28,1707652
50477,Filadélfia,12580.49,1707702
50478,Formoso do Araguaia,19837.66,1708205
50479,Tabocão,77283.75,1708254
50480,Goianorte,15817.3,1708304
50481,Goiatins,12115.0,1709005
50482,Guaraí,26912.22,1709302
50483,Gurupi,26843.66,1709500
50484,Ipueiras,16418.5,1709807
50485,Itacajá,14658.87,1710508
50486,Itaguatins,11699.77,1710706
50487,Itapiratins,19694.05,1710904
50488,Itaporã do Tocantins,19167.4,1711100
50489,Jaú do Tocantins,16627.08,1711506
50490,Juarina,13953.19,1711803
50491,Lagoa da Confusão,39480.12,1711902
50492,Lagoa do Tocantins,10585.05,1711951
50493,Lajeado,21804.92,1712009
50494,Lavandeira,13388.6,1712157
50495,Lizarda,10371.32,1712405
50496,Luzinópolis,14690.67,1712454
50497,Marianópolis do Tocantins,28377.83,1712504
50498,Mateiros,69267.93,1712702
50499,Maurilândia do Tocantins,12238.93,1712801
50500,Miracema do Tocantins,33674.91,1713205
50501,Miranorte,21291.07,1713304
50502,Monte do Carmo,23266.79,1713601
50503,Monte Santo do Tocantins,16725.62,1713700
50504,Palmeiras do Tocantins,11086.33,1713809
50505,Muricilândia,13388.33,1713957
50506,Natividade,16937.14,1714203
50507,Nazaré,12476.52,1714302
50508,Nova Olinda,26406.72,1714880
50509,Nova Rosalândia,13278.29,1715002
50510,Novo Acordo,14203.52,1715101
50511,Novo Alegre,12580.15,1715150
50512,Novo Jardim,11326.95,1715259
50513,Oliveira de Fátima,18703.62,1715507
50514,Palmeirante,14709.62,1715705
50515,Palmeirópolis,16310.52,1715754
50516,Paraíso do Tocantins,27108.5,1716109
50517,Paranã,23264.74,1716208
50518,Pau D'Arco,14509.94,1716307
50519,Pedro Afonso,35213.35,1716505
50520,Peixe,64184.32,1716604
50521,Pequizeiro,14356.63,1716653
50522,Colméia,18508.36,1716703
50523,Pindorama do Tocantins,13128.89,1717008
50524,Piraquê,18802.31,1717206
50525,Pium,25681.11,1717503
50526,Ponte Alta do Bom Jesus,11586.25,1717800
50527,Ponte Alta do Tocantins,11610.39,1717909
50528,Porto Alegre do Tocantins,11101.94,1718006
50529,Porto Nacional,35249.55,1718204
50530,Praia Norte,9595.44,1718303
50531,Presidente Kennedy,14242.64,1718402
50532,Pugmil,23607.48,1718451
50533,Recursolândia,11114.33,1718501
50534,Riachinho,11170.88,1718550
50535,Rio da Conceição,10876.26,1718659
50536,Rio dos Bois,19326.53,1718709
50537,Rio Sono,12187.07,1718758
50538,Sampaio,9454.13,1718808
50539,Sandolândia,23243.14,1718840
50540,Santa Fé do Araguaia,16581.01,1718865
50541,Santa Maria do Tocantins,16910.71,1718881
50542,Santa Rita do Tocantins,51117.48,1718899
50543,Santa Rosa do Tocantins,30001.44,1718907
50544,Santa Tereza do Tocantins,12594.54,1719004
50545,Santa Terezinha do Tocantins,12939.88,1720002
50546,São Bento do Tocantins,10739.14,1720101
50547,São Félix do Tocantins,14673.39,1720150
50548,São Miguel do Tocantins,18256.22,1720200
50549,São Salvador do Tocantins,11806.21,1720259
50550,São Sebastião do Tocantins,10478.91,1720309
50551,São Valério,23925.77,1720499
50552,Silvanópolis,32152.54,1720655
50553,Sítio Novo do Tocantins,11686.3,1720804
50554,Sucupira,31455.32,1720853
50555,Taguatinga,14186.27,1720903
50556,Taipas do Tocantins,12970.39,1720937
50557,Talismã,32059.45,1720978
50558,Palmas,34933.66,1721000
50559,Tocantínia,17105.94,1721109
50560,Tocantinópolis,14228.7,1721208
50561,Tupirama,28500.85,1721257
50562,Tupiratins,11787.02,1721307
50563,Wanderlândia,11541.82,1722081
50564,Xambioá,24357.58,1722107
50565,Açailândia,20961.74,2100055
50566,Afonso Cunha,7075.68,2100105
50567,Água Doce do Maranhão,6892.72,2100154
50568,Alcântara,5690.89,2100204
50569,Aldeias Altas,7522.87,2100303
50570,Altamira do Maranhão,7232.84,2100402
50571,Alto Alegre do Maranhão,9711.43,2100436
50572,Alto Alegre do Pindaré,6457.08,2100477
50573,Alto Parnaíba,30305.5,2100501
50574,Amapá do Maranhão,7466.22,2100550
50575,Amarante do Maranhão,7408.64,2100600
50576,Anajatuba,6390.9,2100709
50577,Anapurus,7698.06,2100808
50578,Apicum-Açu,6830.98,2100832
50579,Araguanã,5162.19,2100873
50580,Araioses,5818.86,2100907
50581,Arame,7236.34,2100956
50582,Arari,8464.56,2101004
50583,Axixá,6488.18,2101103
50584,Bacabal,11978.0,2101202
50585,Bacabeira,14859.58,2101251
50586,Bacuri,6143.4,2101301
50587,Bacurituba,6322.45,2101350
50588,Balsas,36836.83,2101400
50589,Barão de Grajaú,10824.92,2101509
50590,Barra do Corda,8072.67,2101608
50591,Barreirinhas,7714.75,2101707
50592,Belágua,6339.69,2101731
50593,Bela Vista do Maranhão,7358.75,2101772
50594,Benedito Leite,7570.92,2101806
50595,Bequimão,5776.96,2101905
50596,Bernardo do Mearim,8485.59,2101939
50597,Boa Vista do Gurupi,6428.29,2101970
50598,Bom Jardim,7644.71,2102002
50599,Bom Jesus das Selvas,8183.84,2102036
50600,Bom Lugar,5758.79,2102077
50601,Brejo,7016.68,2102101
50602,Brejo de Areia,6403.4,2102150
50603,Buriti,6693.29,2102200
50604,Buriti Bravo,7254.13,2102309
50605,Buriticupu,7574.26,2102325
50606,Buritirana,6234.83,2102358
50607,Cachoeira Grande,5939.45,2102374
50608,Cajapió,5336.66,2102408
50609,Cajari,5655.55,2102507
50610,Campestre do Maranhão,13748.25,2102556
50611,Cândido Mendes,6732.44,2102606
50612,Cantanhede,5946.09,2102705
50613,Capinzal do Norte,15183.45,2102754
50614,Carolina,14525.44,2102804
50615,Carutapera,7006.72,2102903
50616,Caxias,11003.75,2103000
50617,Cedral,6451.07,2103109
50618,Central do Maranhão,5414.99,2103125
50619,Centro do Guilherme,6412.43,2103158
50620,Centro Novo do Maranhão,6389.81,2103174
50621,Chapadinha,9262.97,2103208
50622,Cidelândia,9867.16,2103257
50623,Codó,8425.12,2103307
50624,Coelho Neto,7359.25,2103406
50625,Colinas,9810.08,2103505
50626,Conceição do Lago-Açu,7592.17,2103554
50627,Coroatá,6805.57,2103604
50628,Cururupu,7054.86,2103703
50629,Davinópolis,33784.18,2103752
50630,Dom Pedro,10075.28,2103802
50631,Duque Bacelar,6695.67,2103901
50632,Esperantinópolis,8331.04,2104008
50633,Estreito,22463.64,2104057
50634,Feira Nova do Maranhão,9590.97,2104073
50635,Fernando Falcão,6663.98,2104081
50636,Formosa da Serra Negra,7631.71,2104099
50637,Fortaleza dos Nogueiras,12722.57,2104107
50638,Fortuna,7149.9,2104206
50639,Godofredo Viana,34589.36,2104305
50640,Gonçalves Dias,7096.76,2104404
50641,Governador Archer,6286.71,2104503
50642,Governador Edison Lobão,14545.11,2104552
50643,Governador Eugênio Barros,6104.35,2104602
50644,Governador Luiz Rocha,6767.81,2104628
50645,Governador Newton Bello,6599.35,2104651
50646,Governador Nunes Freire,8630.45,2104677
50647,Graça Aranha,6564.82,2104701
50648,Grajaú,10644.86,2104800
50649,Guimarães,6877.5,2104909
50650,Humberto de Campos,5627.48,2105005
50651,Icatu,5987.66,2105104
50652,Igarapé do Meio,13967.1,2105153
50653,Igarapé Grande,8254.54,2105203
50654,Imperatriz,28830.95,2105302
50655,Itaipava do Grajaú,5456.02,2105351
50656,Itapecuru Mirim,8113.88,2105401
50657,Itinga do Maranhão,12635.63,2105427
50658,Jatobá,6587.5,2105450
50659,Jenipapo dos Vieiras,5920.23,2105476
50660,João Lisboa,9070.72,2105500
50661,Joselândia,5277.69,2105609
50662,Junco do Maranhão,12709.49,2105658
50663,Lago da Pedra,8256.79,2105708
50664,Lago do Junco,6479.43,2105807
50665,Lago Verde,7184.71,2105906
50666,Lagoa do Mato,6614.74,2105922
50667,Lago dos Rodrigues,8441.63,2105948
50668,Lagoa Grande do Maranhão,6775.46,2105963
50669,Lajeado Novo,9808.65,2105989
50670,Lima Campos,12468.56,2106003
50671,Loreto,15924.27,2106102
50672,Luís Domingues,6646.02,2106201
50673,Magalhães de Almeida,5972.66,2106300
50674,Maracaçumé,8055.17,2106326
50675,Marajá do Sena,7849.74,2106359
50676,Maranhãozinho,6300.07,2106375
50677,Mata Roma,8651.35,2106409
50678,Matinha,7090.63,2106508
50679,Matões,5766.3,2106607
50680,Matões do Norte,4482.85,2106631
50681,Milagres do Maranhão,5900.17,2106672
50682,Mirador,8633.36,2106706
50683,Miranda do Norte,16991.46,2106755
50684,Mirinzal,6366.33,2106805
50685,Monção,7022.2,2106904
50686,Montes Altos,6865.97,2107001
50687,Morros,6963.23,2107100
50688,Nina Rodrigues,5330.22,2107209
50689,Nova Colinas,10528.41,2107258
50690,Nova Iorque,8204.45,2107308
50691,Nova Olinda do Maranhão,6752.8,2107357
50692,Olho d'Água das Cunhãs,7628.28,2107407
50693,Olinda Nova do Maranhão,6064.34,2107456
50694,Paço do Lumiar,8120.75,2107506
50695,Palmeirândia,6349.59,2107605
50696,Paraibano,7741.96,2107704
50697,Parnarama,6748.63,2107803
50698,Passagem Franca,8117.54,2107902
50699,Pastos Bons,10190.01,2108009
50700,Paulino Neves,6535.14,2108058
50701,Paulo Ramos,7726.97,2108108
50702,Pedreiras,14869.16,2108207
50703,Pedro do Rosário,5844.13,2108256
50704,Penalva,5650.61,2108306
50705,Peri Mirim,5416.39,2108405
50706,Peritoró,8766.94,2108454
50707,Pindaré-Mirim,8200.56,2108504
50708,Pinheiro,10756.45,2108603
50709,Pio XII,6566.47,2108702
50710,Pirapemas,6239.66,2108801
50711,Poção de Pedras,8541.35,2108900
50712,Porto Franco,21679.84,2109007
50713,Porto Rico do Maranhão,7478.59,2109056
50714,Presidente Dutra,12249.71,2109106
50715,Presidente Juscelino,6454.93,2109205
50716,Presidente Médici,6882.25,2109239
50717,Presidente Sarney,6827.44,2109270
50718,Presidente Vargas,6131.25,2109304
50719,Primeira Cruz,4676.32,2109403
50720,Raposa,8147.46,2109452
50721,Riachão,16609.84,2109502
50722,Ribamar Fiquene,12107.01,2109551
50723,Rosário,8699.48,2109601
50724,Sambaíba,33019.66,2109700
50725,Santa Filomena do Maranhão,6580.85,2109759
50726,Santa Helena,6389.39,2109809
50727,Santa Inês,13991.26,2109908
50728,Santa Luzia,7738.39,2110005
50729,Santa Luzia do Paruá,8313.66,2110039
50730,Santa Quitéria do Maranhão,7149.89,2110104
50731,Santa Rita,7432.85,2110203
50732,Santana do Maranhão,5004.8,2110237
50733,Santo Amaro do Maranhão,4987.25,2110278
50734,Santo Antônio dos Lopes,128357.72,2110302
50735,São Benedito do Rio Preto,6779.31,2110401
50736,São Bento,5998.04,2110500
50737,São Bernardo,9958.72,2110609
50738,São Domingos do Azeitão,23574.65,2110658
50739,São Domingos do Maranhão,8485.76,2110708
50740,São Félix de Balsas,9701.06,2110807
50741,São Francisco do Brejão,8445.75,2110856
50742,São Francisco do Maranhão,6242.68,2110906
50743,São João Batista,5959.29,2111003
50744,São João do Carú,5931.37,2111029
50745,São João do Paraíso,10771.65,2111052
50746,São João do Soter,5890.52,2111078
50747,São João dos Patos,10553.93,2111102
50748,São José de Ribamar,12007.36,2111201
50749,São José dos Basílios,6994.82,2111250
50750,São Luís,29135.32,2111300
50751,São Luís Gonzaga do Maranhão,7414.26,2111409
50752,São Mateus do Maranhão,7748.17,2111508
50753,São Pedro da Água Branca,8413.46,2111532
50754,São Pedro dos Crentes,11378.61,2111573
50755,São Raimundo das Mangabeiras,27249.41,2111607
50756,São Raimundo do Doca Bezerra,6911.24,2111631
50757,São Roberto,6098.4,2111672
50758,São Vicente Ferrer,5953.99,2111706
50759,Satubinha,5599.73,2111722
50760,Senador Alexandre Costa,7975.33,2111748
50761,Senador La Rocque,10238.41,2111763
50762,Serrano do Maranhão,5225.08,2111789
50763,Sítio Novo,9270.75,2111805
50764,Sucupira do Norte,7495.94,2111904
50765,Sucupira do Riachão,7313.22,2111953
50766,Tasso Fragoso,141680.46,2112001
50767,Timbiras,5856.67,2112100
50768,Timon,11229.91,2112209
50769,Trizidela do Vale,15127.53,2112233
50770,Tufilândia,8462.82,2112274
50771,Tuntum,7774.69,2112308
50772,Turiaçu,6771.22,2112407
50773,Turilândia,6345.97,2112456
50774,Tutóia,7040.53,2112506
50775,Urbano Santos,5934.05,2112605
50776,Vargem Grande,6073.74,2112704
50777,Viana,7755.36,2112803
50778,Vila Nova dos Martírios,8789.23,2112852
50779,Vitória do Mearim,7447.39,2112902
50780,Vitorino Freire,8042.76,2113009
50781,Zé Doca,8565.7,2114007
50782,Acauã,7816.06,2200053
50783,Agricolândia,7950.03,2200103
50784,Água Branca,12438.8,2200202
50785,Alagoinha do Piauí,7714.63,2200251
50786,Alegrete do Piauí,8601.13,2200277
50787,Alto Longá,7536.66,2200301
50788,Altos,11243.64,2200400
50789,Alvorada do Gurguéia,11538.11,2200459
50790,Amarante,8861.46,2200509
50791,Angical do Piauí,10139.15,2200608
50792,Anísio de Abreu,8313.93,2200707
50793,Antônio Almeida,27303.86,2200806
50794,Aroazes,8545.52,2200905
50795,Aroeiras do Itaim,8824.81,2200954
50796,Arraial,8346.6,2201002
50797,Assunção do Piauí,7079.56,2201051
50798,Avelino Lopes,7447.59,2201101
50799,Baixa Grande do Ribeiro,74544.93,2201150
50800,Barra D'Alcântara,9338.95,2201176
50801,Barras,9344.35,2201200
50802,Barreiras do Piauí,8675.38,2201309
50803,Barro Duro,10965.54,2201408
