Name,CodMun,PIB per Capita,Quantidade de Leitos - Pneumologia,Quantidade de Leitos - Complementares,Quantidade de Leitos - Internacao,Quantidade de Profissionais de Saude,Quantidade de Ventiladores e Respiradores,Ventiladores e Respiradores em uso,Existem Favelas (s/n),Área (km²),Populacao (2019),Densidade Demográfica (hab/km²),Quantidade de Leitos - Pneumologia (por 100 mil hab)
Olinda Nova do Maranhão-MA,210745,4387,,,50.00,151,,,,197.63,14701.00,74.38,
Paço do Lumiar-MA,210750,5111,,,17.00,770,7.00,5.00,1.00,124.75,122197.00,979.51,
Palmeirândia-MA,210760,4760,,1.00,38.00,194,,,0.00,525.58,19722.00,37.52,
Paraibano-MA,210770,4540,,,48.00,192,,,0.00,530.51,21386.00,40.31,
Parnarama-MA,210780,4302,,,51.00,433,,,1.00,3439.21,34907.00,10.15,
Passagem Franca-MA,210790,4526,,,116.00,227,,,,1358.32,19019.00,14.00,
Pastos Bons-MA,210800,6105,,,23.00,202,,,,1635.30,19472.00,11.91,
Paulino Neves-MA,210805,4178,,1.00,20.00,167,,,0.00,979.17,16035.00,16.38,
Paulo Ramos-MA,210810,5608,,,39.00,147,,,1.00,1053.41,21040.00,19.97,
Pedreiras-MA,210820,8759,,,114.00,694,1.00,1.00,1.00,288.43,39229.00,136.01,
Pedro do Rosário-MA,210825,4237,,,34.00,233,,,,1749.88,25144.00,14.37,
Penalva-MA,210830,3654,,,63.00,366,,,1.00,738.25,38470.00,52.11,
Peri Mirim-MA,210840,3915,,,27.00,112,,,,405.30,14318.00,35.33,
Peritoró-MA,210845,5247,,8.00,56.00,449,5.00,5.00,0.00,824.72,23196.00,28.13,
Pindaré-Mirim-MA,210850,5601,,1.00,40.00,218,,,1.00,244.81,32941.00,134.55,
Pinheiro-MA,210860,6972,,25.00,248.00,1136,5.00,5.00,0.00,1512.96,83387.00,55.12,
Pio XII-MA,210870,5022,,,35.00,214,,,,545.14,21485.00,39.41,
Pirapemas-MA,210880,4051,,1.00,19.00,202,1.00,1.00,0.00,688.76,18625.00,27.04,
Poção de Pedras-MA,210890,5698,,,37.00,174,1.00,1.00,0.00,979.20,17873.00,18.25,
Porto Franco-MA,210900,21815,,4.00,79.00,327,2.00,2.00,,1417.49,23885.00,16.85,
Porto Rico do Maranhão-MA,210905,4571,,,28.00,90,,,1.00,213.01,5975.00,28.05,
Presidente Dutra-MA,210910,8366,,12.00,194.00,886,31.00,21.00,0.00,771.57,47804.00,61.96,
Presidente Juscelino-MA,210920,5970,,,15.00,103,,,,354.69,12734.00,35.90,
Presidente Médici-MA,210923,5126,,,,76,,,,437.69,7015.00,16.03,
Presidente Sarney-MA,210927,6556,,1.00,15.00,162,,,,724.15,18918.00,26.12,
Presidente Vargas-MA,210930,4160,,,22.00,175,,,1.00,459.36,11193.00,24.37,
Primeira Cruz-MA,210940,3725,,1.00,19.00,121,,,,1367.67,15315.00,11.20,
Raposa-MA,210945,6269,,,48.00,238,,,1.00,64.35,30761.00,478.00,
Riachão-MA,210950,12517,,,51.00,134,2.00,1.00,0.00,6372.99,20195.00,3.17,
Ribamar Fiquene-MA,210955,6835,,,20.00,90,,,,750.55,7791.00,10.38,
Rosário-MA,210960,5294,,,123.00,347,,,0.00,685.03,42740.00,62.39,
Sambaíba-MA,210970,33120,,,17.00,63,,,,2478.69,5671.00,2.29,
Santa Filomena do Maranhão-MA,210975,5027,,,17.00,75,,,0.00,602.34,7773.00,12.90,
