Name,CodMun,PIB per Capita,Quantidade de Leitos - Pneumologia,Quantidade de Leitos - Complementares,Quantidade de Leitos - Internacao,Quantidade de Profissionais de Saude,Quantidade de Ventiladores e Respiradores,Ventiladores e Respiradores em uso,Existem Favelas (s/n),Área (km²),Populacao (2019),Densidade Demográfica (hab/km²),Quantidade de Leitos - Pneumologia (por 100 mil hab)
Pilões-PB,251160,7192,,,,64,,,1.00,64.45,6635.00,102.95,
Pilõezinhos-PB,251170,6711,,,,49,,,,43.90,4976.00,113.35,
Pirpirituba-PB,251180,5792,,,,68,,,,79.84,10579.00,132.50,
Pitimbu-PB,251190,7105,,,,221,,,1.00,136.43,19065.00,139.74,
Pocinhos-PB,251200,10060,,,57.00,221,,,0.00,628.08,18564.00,29.56,
Poço Dantas-PB,251203,6143,,,,43,,,,97.25,3888.00,39.98,
Poço de José de Moura-PB,251207,6796,,,,57,,,,100.97,4307.00,42.66,
Pombal-PB,251210,8234,,6.00,94.00,509,14.00,8.00,,888.80,32801.00,36.90,
Prata-PB,251220,8001,,,,61,,,0.00,192.01,4209.00,21.92,
Princesa Isabel-PB,251230,6812,,1.00,55.00,444,6.00,6.00,0.00,367.97,23345.00,63.44,
Puxinanã-PB,251240,5727,,,,97,,,0.00,72.68,13680.00,188.22,
Queimadas-PB,251250,8583,,1.00,36.00,446,4.00,4.00,0.00,401.77,43967.00,109.43,
Quixaba-PB,251260,7744,,,,27,,,,156.68,1956.00,12.48,
Remígio-PB,251270,6831,,,,165,,,1.00,178.00,19621.00,110.23,
Riachão-PB,251274,6317,,,,53,,,,90.15,3588.00,39.80,
Riachão do Bacamarte-PB,251275,6668,,,,40,,,,38.37,4521.00,117.83,
Riachão do Poço-PB,251276,6967,,,,41,,,0.00,39.91,4509.00,112.99,
Riacho de Santo Antônio-PB,251278,8438,,,,43,2.00,2.00,0.00,91.32,1948.00,21.33,
Riacho dos Cavalos-PB,251280,5786,,,8.00,65,,,1.00,264.02,8526.00,32.29,
Rio Tinto-PB,251290,8145,,,,202,2.00,2.00,,464.88,24176.00,52.00,
Salgadinho-PB,251300,5399,,,,35,,,0.00,184.24,3885.00,21.09,
Salgado de São Félix-PB,251310,5951,,,,130,,,0.00,201.85,12140.00,60.14,
Santa Cecília-PB,251315,5994,,,,73,,,0.00,227.87,6558.00,28.78,
Santa Cruz-PB,251320,5873,,,13.00,65,,,,210.16,6583.00,31.32,
Santa Helena-PB,251330,6009,,,,68,,,,210.32,5889.00,28.00,
Santa Inês-PB,251335,6019,,,10.00,43,,,,324.42,3595.00,11.08,
Santa Luzia-PB,251340,8556,,,36.00,257,1.00,1.00,1.00,455.70,15382.00,33.75,
Santa Rita-PB,251370,14243,,62.00,163.00,1266,89.00,85.00,1.00,726.84,136586.00,187.92,
Santa Teresinha-PB,251380,7085,,,,59,1.00,1.00,0.00,357.95,4573.00,12.78,
Santana de Mangueira-PB,251350,6086,,,,50,1.00,1.00,,402.15,5162.00,12.84,
Santana dos Garrotes-PB,251360,5966,,,,81,1.00,,1.00,353.81,7031.00,19.87,
Santo André-PB,251385,7653,,,6.00,44,,,0.00,225.17,2521.00,11.20,
São Bentinho-PB,251392,6967,,,,59,,,,195.96,4529.00,23.11,
São Bento-PB,251390,7930,,,47.00,351,1.00,1.00,0.00,248.20,34031.00,137.11,
São Domingos-PB,251396,6299,,,,30,,,0.00,169.10,3073.00,18.17,
São Domingos do Cariri-PB,251394,6545,,,,34,,,,218.80,2615.00,11.95,
São Francisco-PB,251398,6750,,,,44,,,,95.06,3392.00,35.68,
São João do Cariri-PB,251400,7432,,,,55,,,,653.60,4199.00,6.42,
São João do Rio do Peixe-PB,250070,7099,,,28.00,205,,,,474.43,18034.00,38.01,
São João do Tigre-PB,251410,5039,,,,38,,,,816.11,4422.00,5.42,
São José da Lagoa Tapada-PB,251420,5672,,,3.00,72,1.00,,,341.80,7630.00,22.32,
São José de Caiana-PB,251430,5317,,1.00,15.00,53,,,,176.33,6359.00,36.06,
São José de Espinharas-PB,251440,6812,,,,64,,,0.00,725.65,4682.00,6.45,
São José de Piranhas-PB,251450,6840,,,17.00,178,,,,677.30,20251.00,29.90,
São José de Princesa-PB,251455,4545,,,,36,,,,158.02,4003.00,25.33,
São José do Bonfim-PB,251460,5139,,,,38,,,0.00,134.72,3557.00,26.40,
São José do Brejo do Cruz-PB,251465,7777,,,,22,,,,253.02,1801.00,7.12,
São José do Sabugi-PB,251470,7520,,,4.00,61,1.00,1.00,,206.91,4141.00,20.01,
São José dos Cordeiros-PB,251480,5408,,,,31,,,,417.74,3628.00,8.68,
São José dos Ramos-PB,251445,5903,,,,80,,,0.00,98.23,5957.00,60.64,
São Mamede-PB,251490,7500,,,26.00,95,1.00,1.00,0.00,530.73,7724.00,14.55,
São Miguel de Taipu-PB,251500,6368,,,,64,,,,92.53,7368.00,79.63,
São Sebastião de Lagoa de Roça-PB,251510,5700,,,,101,,,,49.92,11661.00,233.58,
São Sebastião do Umbuzeiro-PB,251520,6116,,,,35,,,,460.57,3489.00,7.58,
São Vicente do Seridó-PB,251540,4837,,,24.00,101,,,,276.47,10775.00,38.97,
Sapé-PB,251530,7770,,,78.00,495,2.00,2.00,1.00,315.53,52625.00,166.78,
Serra Branca-PB,251550,6513,,,58.00,156,1.00,1.00,,686.91,13699.00,19.94,
Serra da Raiz-PB,251560,7202,,,,33,,,,29.08,3148.00,108.25,
Serra Grande-PB,251570,11437,,,12.00,51,,,,83.47,2909.00,34.85,
Serra Redonda-PB,251580,6422,,,,59,,,0.00,55.91,7041.00,125.95,
Serraria-PB,251590,9069,,,7.00,87,1.00,1.00,0.00,65.30,6099.00,93.40,
Sertãozinho-PB,251593,7241,,,,53,,,0.00,32.80,5024.00,153.18,
Sobrado-PB,251597,7706,,,,51,,,,61.74,7783.00,126.06,
Solânea-PB,251600,7140,,,34.00,253,3.00,3.00,1.00,232.09,26407.00,113.78,
Soledade-PB,251610,8939,,,22.00,161,3.00,3.00,0.00,560.04,14989.00,26.76,
Sossêgo-PB,251615,6519,,,,36,,,,154.75,3555.00,22.97,
Sousa-PB,251620,11870,6.00,23.00,217.00,902,19.00,19.00,0.00,738.54,69444.00,94.03,8.64
Sumé-PB,251630,7161,,,41.00,202,10.00,1.00,0.00,838.07,16966.00,20.24,
Tacima-PB,251640,5293,,,,79,,,1.00,246.66,10911.00,44.24,
Taperoá-PB,251650,6165,,2.00,52.00,208,4.00,4.00,0.00,662.90,15376.00,23.19,
Tavares-PB,251660,5572,,,23.00,131,,,1.00,237.33,14726.00,62.05,
Teixeira-PB,251670,7112,,,39.00,131,,,,160.90,15161.00,94.23,
Tenório-PB,251675,7571,,,,40,,,0.00,105.27,3058.00,29.05,
Triunfo-PB,251680,5741,,,,100,,,,219.87,9455.00,43.00,
Uiraúna-PB,251690,8022,,,47.00,193,,,,294.50,15242.00,51.76,
Umbuzeiro-PB,251700,6224,,,,112,2.00,2.00,0.00,181.33,9907.00,54.64,
Várzea-PB,251710,8567,,,,50,,,0.00,190.45,2810.00,14.75,
Vieirópolis-PB,251720,5659,,,,59,,,,146.78,5348.00,36.44,
Vista Serrana-PB,250550,6304,,,,52,,,,61.36,3798.00,61.90,
Zabelê-PB,251740,6114,,,,33,,,,109.39,2240.00,20.48,
Abreu e Lima-PE,260005,13294,,32.00,294.00,1002,23.00,21.00,1.00,130.26,99990.00,767.59,
Afogados da Ingazeira-PE,260010,9108,,,181.00,672,5.00,5.00,0.00,377.69,37259.00,98.65,
Afrânio-PE,260020,6649,,,45.00,274,2.00,2.00,0.00,1490.59,19635.00,13.17,
Agrestina-PE,260030,7050,,,123.00,310,1.00,1.00,0.00,201.44,24885.00,123.53,
Água Preta-PE,260040,5170,,,50.00,258,1.00,1.00,1.00,533.33,36771.00,68.95,
Águas Belas-PE,260050,5764,,,30.00,347,,,0.00,885.98,43443.00,49.03,
Alagoinha-PE,260060,6977,,,11.00,154,,,0.00,217.83,14636.00,67.19,
Aliança-PE,260070,6113,,,26.00,262,,,1.00,272.79,38386.00,140.72,
Altinho-PE,260080,5175,,,18.00,162,1.00,1.00,0.00,454.48,22972.00,50.55,
Amaraji-PE,260090,6787,,,31.00,188,,,1.00,234.96,22829.00,97.16,
Angelim-PE,260100,6568,,,12.00,126,1.00,,0.00,118.04,11150.00,94.46,
Araçoiaba-PE,260105,4986,,,3.00,158,,,0.00,92.28,20524.00,222.41,
Araripina-PE,260110,8471,,,211.00,590,7.00,7.00,0.00,1892.59,84418.00,44.60,
Arcoverde-PE,260120,10741,,13.00,144.00,1420,8.00,8.00,0.00,350.90,74338.00,211.85,
Barra de Guabiraba-PE,260130,5164,,,11.00,123,,,1.00,114.65,14385.00,125.47,
Barreiros-PE,260140,8116,,6.00,129.00,437,1.00,1.00,0.00,233.37,42659.00,182.79,
Belém de Maria-PE,260150,5333,,,9.00,98,1.00,1.00,,73.74,12073.00,163.72,
Belém do São Francisco-PE,260160,6409,,4.00,24.00,192,,,1.00,1830.79,20729.00,11.32,
Belo Jardim-PE,260170,17077,,,95.00,632,4.00,4.00,1.00,647.69,76439.00,118.02,
Betânia-PE,260180,4765,,,10.00,104,,,,1244.07,12719.00,10.22,
Bezerros-PE,260190,8785,,10.00,141.00,724,2.00,2.00,0.00,490.81,60798.00,123.87,
Bodocó-PE,260200,5150,,,16.00,324,,,1.00,1616.49,38146.00,23.60,
Bom Conselho-PE,260210,7166,,,46.00,462,1.00,1.00,0.00,792.18,48554.00,61.29,
Bom Jardim-PE,260220,5574,,,33.00,253,1.00,1.00,0.00,218.43,39184.00,179.39,
Bonito-PE,260230,7090,,,52.00,278,,,1.00,395.61,38134.00,96.39,
Brejão-PE,260240,8856,,,14.00,97,,,,159.79,8993.00,56.28,
Brejinho-PE,260250,5535,,,7.00,78,,,0.00,106.28,7487.00,70.45,
Brejo da Madre de Deus-PE,260260,5090,,1.00,31.00,332,1.00,1.00,1.00,762.38,50742.00,66.56,
Buenos Aires-PE,260270,5391,,,17.00,113,1.00,1.00,,93.19,13155.00,141.17,
Buíque-PE,260280,5402,,,76.00,316,1.00,1.00,0.00,1347.65,58378.00,43.32,
Cabo de Santo Agostinho-PE,260290,37530,,44.00,421.00,3025,47.00,44.00,1.00,446.58,207048.00,463.63,
Cabrobó-PE,260300,9924,,,74.00,386,,,,1657.94,34221.00,20.64,
Cachoeirinha-PE,260310,7185,,,16.00,159,,,0.00,179.26,20380.00,113.69,
Caetés-PE,260320,5124,,,20.00,194,1.00,1.00,0.00,329.48,28739.00,87.23,
Calçado-PE,260330,6228,,,11.00,112,,,0.00,121.95,11053.00,90.64,
Calumbi-PE,260340,6041,,,17.00,67,,,,179.31,5750.00,32.07,
Camaragibe-PE,260345,7364,,5.00,284.00,1468,5.00,5.00,1.00,51.19,157828.00,3082.94,
Camocim de São Félix-PE,260350,6293,,,14.00,133,,,0.00,72.48,18765.00,258.91,
Camutanga-PE,260360,21911,,,7.00,107,1.00,1.00,,37.52,8551.00,227.92,
Canhotinho-PE,260370,5468,,,32.00,199,1.00,,1.00,423.08,24804.00,58.63,
Capoeiras-PE,260380,6287,,,25.00,153,1.00,1.00,0.00,336.31,20048.00,59.61,
Carnaíba-PE,260390,5989,,,15.00,208,,,0.00,427.80,19551.00,45.70,
Carnaubeira da Penha-PE,260392,4814,,,11.00,176,,,,1004.66,12932.00,12.87,
Carpina-PE,260400,12815,,3.00,116.00,750,4.00,4.00,0.00,144.93,83641.00,577.11,
Caruaru-PE,260410,15529,2.00,162.00,891.00,7128,206.00,179.00,1.00,920.61,361118.00,392.26,0.55
Casinhas-PE,260415,4861,,,28.00,141,,,,115.87,14341.00,123.77,
Catende-PE,260420,5506,,,27.00,184,,,1.00,207.24,42892.00,206.96,
Cedro-PE,260430,5849,,,18.00,124,,,,171.64,11807.00,68.79,
Chã de Alegria-PE,260440,5747,,,19.00,112,1.00,1.00,1.00,48.46,13518.00,278.97,
Chã Grande-PE,260450,7059,,,40.00,196,1.00,1.00,1.00,84.85,21698.00,255.73,
Condado-PE,260460,6523,,,21.00,169,,,1.00,89.64,26421.00,294.73,
Correntes-PE,260470,5836,,,23.00,123,,,0.00,328.65,18207.00,55.40,
Cortês-PE,260480,7413,,,39.00,150,,,1.00,101.31,12578.00,124.15,
Cumaru-PE,260490,5815,,,19.00,132,1.00,1.00,0.00,292.23,10906.00,37.32,
Cupira-PE,260500,8017,,,20.00,216,,,0.00,105.56,24107.00,228.37,
Custódia-PE,260510,8003,,3.00,76.00,285,,,0.00,1404.12,37111.00,26.43,
Dormentes-PE,260515,8237,,,27.00,198,,,0.00,1537.64,18908.00,12.30,
Escada-PE,260520,10448,,,83.00,471,,,1.00,346.96,68875.00,198.51,
Exu-PE,260530,5863,,,33.00,286,,,0.00,1337.49,31825.00,23.79,
Feira Nova-PE,260540,5977,,,17.00,185,2.00,2.00,,107.72,22131.00,205.44,
Fernando de Noronha-PE,260545,26673,,,10.00,97,3.00,3.00,0.00,17.02,3061.00,179.88,
Ferreiros-PE,260550,7965,,4.00,7.00,88,,,,89.35,12123.00,135.68,
Flores-PE,260560,4796,,,22.00,150,,,0.00,995.55,22624.00,22.73,
Floresta-PE,260570,11392,,4.00,71.00,246,,,0.00,3644.15,32873.00,9.02,
Frei Miguelinho-PE,260580,4962,,,11.00,127,,,,212.71,15457.00,72.67,
Gameleira-PE,260590,5682,,,23.00,189,,,1.00,255.96,31052.00,121.32,
Garanhuns-PE,260600,13228,,34.00,333.00,1859,53.00,44.00,1.00,458.55,139788.00,304.85,
Glória do Goitá-PE,260610,8967,,,24.00,190,,,1.00,231.83,30604.00,132.01,
Goiana-PE,260620,19772,,,141.00,1128,11.00,11.00,1.00,501.88,79758.00,158.92,
Granito-PE,260630,6032,,1.00,19.00,85,,,,521.94,7486.00,14.34,
Gravatá-PE,260640,10337,,,98.00,768,1.00,1.00,1.00,505.14,84074.00,166.44,
Iati-PE,260650,5491,,,22.00,147,1.00,1.00,1.00,635.13,19197.00,30.23,
Ibimirim-PE,260660,6598,,,19.00,228,1.00,1.00,0.00,1954.70,29235.00,14.96,
Ibirajuba-PE,260670,5329,,,16.00,64,1.00,1.00,0.00,189.59,7762.00,40.94,
Igarassu-PE,260680,17516,,,342.00,1281,3.00,3.00,0.00,305.56,117019.00,382.97,
Iguaracy-PE,260690,4948,,,16.00,93,,,0.00,838.13,12228.00,14.59,
Ilha de Itamaracá-PE,260760,7488,,,14.00,377,1.00,1.00,1.00,66.68,26258.00,393.77,
Inajá-PE,260700,5262,,,13.00,169,,,,1182.55,23247.00,19.66,
Ingazeira-PE,260710,5969,,,4.00,59,1.00,1.00,0.00,243.67,4548.00,18.66,
Ipojuca-PE,260720,95666,,,32.00,1374,13.00,13.00,1.00,532.64,96204.00,180.62,
Ipubi-PE,260730,6910,,,38.00,291,,,0.00,861.41,30854.00,35.82,
Itacuruba-PE,260740,9264,,,14.00,78,,,1.00,430.03,4918.00,11.44,
Itaíba-PE,260750,6089,,,21.00,176,,,0.00,1083.72,26349.00,24.31,
Itambé-PE,260765,7439,,,42.00,343,2.00,2.00,0.00,304.81,36447.00,119.57,
Itapetim-PE,260770,4805,,,25.00,130,,,0.00,404.85,13616.00,33.63,
Itapissuma-PE,260775,44429,,,1.00,239,2.00,2.00,1.00,74.23,26651.00,359.01,
Itaquitinga-PE,260780,7019,,,14.00,137,,,0.00,103.42,16955.00,163.94,
Jaboatão dos Guararapes-PE,260790,17691,,92.00,726.00,5632,132.00,127.00,1.00,258.57,702298.00,2716.13,
Jaqueira-PE,260795,5769,,,32.00,130,,,0.00,87.21,11656.00,133.66,
Jataúba-PE,260800,5547,,,13.00,138,,,,672.18,17150.00,25.51,
Jatobá-PE,260805,6513,,,23.00,241,,,0.00,277.86,14796.00,53.25,
João Alfredo-PE,260810,6254,,,23.00,212,,,0.00,138.27,33822.00,244.61,
Joaquim Nabuco-PE,260820,5414,,,14.00,115,,,1.00,121.90,16023.00,131.44,
Jucati-PE,260825,6330,,,6.00,84,,,1.00,120.60,11424.00,94.72,
Jupi-PE,260830,7190,,,9.00,137,,,0.00,104.99,14836.00,141.31,
Jurema-PE,260840,5337,,,18.00,120,2.00,2.00,0.00,148.25,15378.00,103.73,
Lagoa de Itaenga-PE,260850,9460,,,20.00,196,1.00,1.00,0.00,57.28,21429.00,374.10,
Lagoa do Carro-PE,260845,7352,,,13.00,163,1.00,1.00,1.00,69.67,18071.00,259.40,
Lagoa do Ouro-PE,260860,5495,,,26.00,130,3.00,3.00,0.00,198.76,13145.00,66.14,
Lagoa dos Gatos-PE,260870,4967,,,17.00,93,,,0.00,222.87,16290.00,73.09,
Lagoa Grande-PE,260875,10877,,,27.00,263,,,0.00,1852.34,25601.00,13.82,
Lajedo-PE,260880,8421,,,21.00,219,2.00,2.00,1.00,189.09,40288.00,213.06,
Limoeiro-PE,260890,9526,,20.00,126.00,908,16.00,16.00,0.00,273.74,56250.00,205.49,
Macaparana-PE,260900,7493,,,52.00,242,2.00,2.00,1.00,108.05,25376.00,234.86,
Machados-PE,260910,6968,,,9.00,130,2.00,2.00,,60.04,16088.00,267.97,
Manari-PE,260915,4440,,,16.00,138,,,0.00,381.27,21434.00,56.22,
Maraial-PE,260920,5444,,,13.00,75,,,1.00,199.86,11345.00,56.76,
Mirandiba-PE,260930,6971,,,34.00,156,,,1.00,821.67,15390.00,18.73,
Moreilândia-PE,261430,6048,,,22.00,104,,,0.00,404.57,11270.00,27.86,
Moreno-PE,260940,8180,,,67.00,452,3.00,3.00,1.00,196.07,62784.00,320.21,
Nazaré da Mata-PE,260950,10245,,1.00,40.00,367,2.00,2.00,0.00,150.26,32471.00,216.09,
Olinda-PE,260960,12409,,122.00,489.00,2884,127.00,125.00,1.00,41.66,392482.00,9421.30,
Orobó-PE,260970,8484,,,20.00,157,2.00,2.00,,138.66,23884.00,172.25,
Orocó-PE,260980,9804,,,11.00,113,,,0.00,554.76,14991.00,27.02,
Ouricuri-PE,260990,6414,,10.00,98.00,726,15.00,15.00,,2422.88,69459.00,28.67,
Palmares-PE,261000,12027,,65.00,274.00,930,45.00,45.00,1.00,339.29,63250.00,186.42,
Palmeirina-PE,261010,6097,,,10.00,83,7.00,7.00,,158.02,7693.00,48.68,
Panelas-PE,261020,5188,,,26.00,193,1.00,1.00,0.00,370.94,26474.00,71.37,
Paranatama-PE,261030,5539,,,20.00,128,,,0.00,230.89,11523.00,49.91,
Parnamirim-PE,261040,6827,,,29.00,168,,,,2595.92,22010.00,8.48,
Passira-PE,261050,5654,,,25.00,202,,,,326.76,28933.00,88.55,
Paudalho-PE,261060,8483,,2.00,141.00,494,2.00,2.00,0.00,277.51,56506.00,203.62,
Paulista-PE,261070,11686,,91.00,519.00,3010,109.00,106.00,1.00,97.36,331774.00,3407.56,
Pedra-PE,261080,6858,,1.00,23.00,200,1.00,1.00,,803.07,22617.00,28.16,
Pesqueira-PE,261090,8500,,,167.00,616,1.00,1.00,1.00,995.53,67395.00,67.70,
Petrolândia-PE,261100,12963,2.00,2.00,119.00,293,1.00,1.00,0.00,1056.59,36548.00,34.59,5.47
Petrolina-PE,261110,15334,3.00,135.00,726.00,5745,150.00,143.00,1.00,4558.40,349145.00,76.59,0.86
Poção-PE,261120,5905,,,14.00,117,,,0.00,246.75,11302.00,45.80,
Pombos-PE,261130,9393,,,21.00,177,,,1.00,204.05,27091.00,132.77,
Primavera-PE,261140,9404,,,4.00,82,1.00,1.00,1.00,110.19,14966.00,135.83,
Quipapá-PE,261150,5691,,,50.00,169,1.00,1.00,1.00,230.62,26037.00,112.90,
Quixaba-PE,261153,5457,,,,108,,,0.00,210.70,6813.00,32.33,
Recife-PE,261160,29037,107.00,1534.00,8328.00,40025,1745.00,1624.00,1.00,218.50,1645727.00,7532.00,6.50
Riacho das Almas-PE,261170,6652,,1.00,30.00,148,1.00,1.00,0.00,314.00,20546.00,65.43,
Ribeirão-PE,261180,7171,,,7.00,288,1.00,1.00,0.00,287.90,47415.00,164.69,
Rio Formoso-PE,261190,9442,,,16.00,157,1.00,1.00,1.00,227.46,23535.00,103.47,
Sairé-PE,261200,9441,,,20.00,101,,,,191.01,9932.00,52.00,
Salgadinho-PE,261210,4374,,,5.00,61,,,0.00,88.82,10919.00,122.94,
Salgueiro-PE,261220,11762,,17.00,232.00,995,5.00,4.00,1.00,1686.81,60930.00,36.12,
Saloá-PE,261230,5924,,,19.00,146,,,0.00,252.08,15843.00,62.85,
Sanharó-PE,261240,6125,,,14.00,128,,,1.00,268.69,26462.00,98.49,
Santa Cruz-PE,261245,5442,,1.00,24.00,143,,,,1255.93,15398.00,12.26,
Santa Cruz da Baixa Verde-PE,261247,4729,,1.00,15.00,95,,,0.00,114.93,12592.00,109.56,
Santa Cruz do Capibaribe-PE,261250,11506,,,76.00,663,1.00,1.00,1.00,335.27,107937.00,321.94,
Santa Filomena-PE,261255,4528,,1.00,17.00,70,,,0.00,1005.04,14477.00,14.40,
Santa Maria da Boa Vista-PE,261260,10259,,,43.00,271,,,1.00,3001.16,41931.00,13.97,
Santa Maria do Cambucá-PE,261270,5284,,,,94,,,,92.15,14137.00,153.42,
Santa Terezinha-PE,261280,4714,,,13.00,123,,,0.00,195.59,11815.00,60.41,
São Benedito do Sul-PE,261290,4641,,,28.00,78,,,0.00,160.48,15895.00,99.05,
São Bento do Una-PE,261300,11502,,,46.00,274,3.00,3.00,0.00,719.16,59504.00,82.74,
São Caitano-PE,261310,6863,,,53.00,192,1.00,1.00,1.00,382.46,37245.00,97.38,
São João-PE,261320,6783,,,20.00,197,1.00,1.00,1.00,258.33,22793.00,88.23,
São Joaquim do Monte-PE,261330,5671,,,34.00,198,,,0.00,231.80,21356.00,92.13,
São José da Coroa Grande-PE,261340,9233,,,22.00,121,3.00,2.00,1.00,69.34,21298.00,307.16,
São José do Belmonte-PE,261350,6047,,,37.00,237,,,0.00,1474.08,33959.00,23.04,
São José do Egito-PE,261360,7311,,,73.00,375,2.00,2.00,0.00,798.87,33951.00,42.50,
São Lourenço da Mata-PE,261370,7585,,10.00,97.00,679,15.00,15.00,1.00,262.16,113230.00,431.92,
São Vicente Ferrer-PE,261380,9202,,,29.00,132,3.00,3.00,0.00,113.98,18018.00,158.07,
Serra Talhada-PE,261390,12947,1.00,20.00,441.00,1133,26.00,24.00,0.00,2979.99,86350.00,28.98,1.16
Serrita-PE,261400,5590,,,32.00,180,1.00,1.00,,1514.37,19165.00,12.66,
Sertânia-PE,261410,6393,,,83.00,312,1.00,1.00,0.00,2421.51,35907.00,14.83,
Sirinhaém-PE,261420,9919,,,26.00,208,1.00,1.00,1.00,369.07,45865.00,124.27,
Solidão-PE,261440,5717,,,13.00,86,,,0.00,138.40,6007.00,43.40,
Surubim-PE,261450,9625,,,180.00,494,4.00,4.00,0.00,252.85,65089.00,257.42,
Tabira-PE,261460,6836,,,55.00,237,2.00,2.00,0.00,388.00,28534.00,73.54,
Tacaimbó-PE,261470,6337,,,,87,,,0.00,227.60,12874.00,56.56,
Tacaratu-PE,261480,4951,,,17.00,172,,,0.00,1264.53,25765.00,20.38,
Tamandaré-PE,261485,9453,,,16.00,180,1.00,1.00,1.00,214.31,23388.00,109.13,
Taquaritinga do Norte-PE,261500,7241,,,56.00,183,2.00,2.00,0.00,475.18,28775.00,60.56,
Terezinha-PE,261510,5413,,,8.00,89,,,0.00,151.45,7169.00,47.34,
Terra Nova-PE,261520,5358,,,11.00,89,,,0.00,321.43,10096.00,31.41,
Timbaúba-PE,261530,10654,,,137.00,436,2.00,2.00,0.00,292.28,53022.00,181.41,
Toritama-PE,261540,14494,,,28.00,197,,,1.00,25.70,45219.00,1759.22,
Tracunhaém-PE,261550,6289,,,11.00,89,,,0.00,118.39,13769.00,116.30,
Trindade-PE,261560,9534,,,81.00,192,1.00,1.00,0.00,229.54,30521.00,132.96,
Triunfo-PE,261570,6598,,,13.00,121,,,,191.52,15254.00,79.65,
Tupanatinga-PE,261580,5220,,,19.00,154,,,,884.41,27304.00,30.87,
Tuparetama-PE,261590,7029,,,39.00,76,,,0.00,178.57,8202.00,45.93,
Venturosa-PE,261600,6299,,,24.00,166,,,0.00,320.73,18482.00,57.62,
Verdejante-PE,261610,5350,,,15.00,88,,,0.00,476.04,9534.00,20.03,
Vertente do Lério-PE,261618,8622,,,,79,,,,73.63,7618.00,103.46,
Vertentes-PE,261620,6509,,,50.00,147,1.00,1.00,,196.32,20731.00,105.60,
Vicência-PE,261630,9126,,,30.00,230,,,0.00,228.02,32643.00,143.16,
Vitória de Santo Antão-PE,261640,18091,,20.00,385.00,1320,18.00,18.00,1.00,371.80,138757.00,373.20,
Xexéu-PE,261650,5324,,,14.00,147,,,1.00,110.81,14725.00,132.88,
Água Branca-AL,270010,5172,,,25.00,256,,,1.00,454.62,20196.00,44.42,
Anadia-AL,270020,6495,,,25.00,173,,,1.00,189.47,17545.00,92.60,
Arapiraca-AL,270030,12984,2.00,145.00,970.00,3778,56.00,55.00,0.00,356.18,231747.00,650.65,0.86
Atalaia-AL,270040,7627,,,44.00,356,,,1.00,528.77,47185.00,89.24,
Barra de Santo Antônio-AL,270050,7197,,,,157,,,1.00,138.43,15932.00,115.09,
Barra de São Miguel-AL,270060,14019,,,,88,,,1.00,76.61,8322.00,108.62,
Batalha-AL,270070,6312,,,35.00,187,1.00,1.00,,320.92,18232.00,56.81,
Belém-AL,270080,7044,,,,76,,,,48.63,4344.00,89.33,
Belo Monte-AL,270090,8081,,,,74,,,,334.14,6704.00,20.06,
Boca da Mata-AL,270100,10064,,,14.00,236,,,0.00,186.53,27281.00,146.26,
Branquinha-AL,270110,4601,,,,90,,,0.00,166.32,10494.00,63.09,
Cacimbinhas-AL,270120,5978,,,3.00,122,,,0.00,272.98,10858.00,39.78,
Cajueiro-AL,270130,5992,,1.00,26.00,217,,,1.00,124.26,21264.00,171.12,
Campestre-AL,270135,7252,,,,65,,,,66.39,6936.00,104.48,
Campo Alegre-AL,270140,5491,,,40.00,453,1.00,1.00,0.00,295.10,57063.00,193.37,
Campo Grande-AL,270150,5781,,,,116,,,0.00,167.32,9558.00,57.12,
Canapi-AL,270160,4222,,,,260,,,1.00,574.56,17722.00,30.84,
Capela-AL,270170,8466,,,53.00,199,1.00,1.00,0.00,242.62,17053.00,70.29,
Carneiros-AL,270180,4755,,,,87,,,1.00,113.06,9081.00,80.32,
Chã Preta-AL,270190,5649,,,,82,,,1.00,172.85,7311.00,42.30,
Coité do Nóia-AL,270200,6018,,,,111,,,0.00,88.51,10693.00,120.81,
Colônia Leopoldina-AL,270210,6318,,,33.00,205,,,1.00,207.89,21698.00,104.37,
Coqueiro Seco-AL,270220,7396,,,,77,,,1.00,39.73,5845.00,147.12,
Coruripe-AL,270230,17852,3.00,38.00,274.00,647,27.00,27.00,1.00,918.21,56933.00,62.00,5.27
Craíbas-AL,270235,4967,,,8.00,243,,,0.00,271.33,24219.00,89.26,
Delmiro Gouveia-AL,270240,9370,,2.00,44.00,637,1.00,1.00,1.00,607.81,52016.00,85.58,
Dois Riachos-AL,270250,4952,,,,108,,,,140.47,11075.00,78.84,
Estrela de Alagoas-AL,270255,4389,,,,160,,,0.00,259.77,18205.00,70.08,
Feira Grande-AL,270260,5962,,,,179,,,,172.75,22166.00,128.32,
Feliz Deserto-AL,270270,21265,,,,61,,,0.00,91.84,4754.00,51.76,
Flexeiras-AL,270280,5898,,,15.00,123,,,0.00,333.22,12790.00,38.38,
Girau do Ponciano-AL,270290,5528,,,48.00,334,,,0.00,500.62,40917.00,81.73,
Ibateguara-AL,270300,6057,,,3.00,132,,,0.00,265.31,15616.00,58.86,
Igaci-AL,270310,5889,,,14.00,221,,,0.00,334.45,25631.00,76.64,
Igreja Nova-AL,270320,12089,,,,205,2.00,2.00,,426.98,24499.00,57.38,
