municipio,PIB,IDHM,densidade,diferenca,estado,Casos_per_capita,Mortes_per_capita,Relacao_casos_mes,Relacao_obitos_mes,Diferenca_aprovacao,Diferenca_reprovacao
São Pedro da Aldeia,23326.65,0.712,313.94,24.98845754299565,Rio de Janeiro,0.0185784294957693,0.0008614418622458,0.0031681917378153,0.0001818599486963,7.1000000000000085,-3.0
São Pedro da Cipa,13837.63,0.66,13.78,17.272727272727273,Mato Grosso,0.0600803892532261,0.0025386079966151,0.0055003173259995,0.0,12.900000000000006,0.0
São Pedro da Água Branca,8413.46,0.605,17.61,56.30252100840335,Maranhão,0.0408195429472025,7.880220646178094e-05,0.0,0.0,0.0,0.0
São Pedro de Alcântara,15041.97,0.734,41.7,20.95238095238095,Santa Catarina,0.0906749098402885,0.0006869311351537,0.0024042589730379,0.0001717327837884,7.5,-3.499999999999999
São Pedro do Iguaçu,31218.46,0.683,19.13,-6.043956043956042,Paraná,0.0393420383245718,0.000169577751399,0.0161098863829065,0.0,-2.200000000000003,0.0
São Pedro do Ivaí,27889.48,0.717,34.03,35.489667565139264,Paraná,0.024314725434842,0.0013659958109461,0.0045533193698206,0.0001821327747928,1.1999999999999886,-1.3
São Pedro do Piauí,8081.99,0.595,27.57,9.942703067071111,Piauí,0.0461829123224407,0.0004898187670561,0.0040584983556084,6.997410957945561e-05,5.400000000000006,-1.1
São Pedro do Suaçuí,12720.02,0.622,17.03,10.752688172043008,Minas Gerais,0.015821578345406,0.0001906214258482,0.0015249714067861,0.0,4.599999999999994,-1.5
São Pedro do Sul,24322.33,0.709,18.54,23.333333333333336,Rio Grande do Sul,0.0237683664649956,0.0004321521175453,0.0074700580318557,6.173601679219657e-05,9.400000000000006,-14.7
São Pedro do Turvo,22233.55,0.703,10.48,46.78787878787879,São Paulo,0.024002087138012,0.0003913383772501,0.0032611531437516,0.0002608922515001,-9.5,14.9
São Pedro dos Crentes,11378.61,0.6,4.77,18.934426229508205,Maranhão,0.0578406169665809,0.0004284490145672,0.0,0.0,-7.400000000000006,0.0
São Pedro dos Ferros,14631.97,0.659,19.32,20.58823529411765,Minas Gerais,0.0073255365634237,0.0002570363706464,0.0,0.0,2.9000000000000057,0.0
São Rafael,9696.24,0.611,17.48,4.391891891891891,Rio Grande do Norte,0.0382833455254815,0.0008534503779565,0.0046330163374786,0.0001219214825652,23.700000000000003,-21.5
São Raimundo Nonato,14228.88,0.661,14.37,14.532019704433496,Piauí,0.0760587726879861,0.0007490636704119,0.0039469893402477,0.0001152405646787,5.199999999999989,-2.3
São Raimundo das Mangabeiras,27249.41,0.61,5.36,23.232323232323232,Maranhão,0.0933326266694933,0.0008479966080135,0.0001059995760016,0.0002119991520033,-5.5,3.2
São Raimundo do Doca Bezerra,6911.24,0.516,12.49,52.79605263157895,Maranhão,0.0143211762459423,0.0003818980332251,0.0,0.0,-7.200000000000003,0.0
São Roberto,6098.4,0.516,29.54,61.9047619047619,Maranhão,0.0419705313290668,0.0007441583568983,0.0002976633427593,0.0002976633427593,-7.599999999999994,-4.2
São Romão,12314.1,0.64,5.07,15.476190476190476,Minas Gerais,0.0074572424414363,0.0001621139661181,0.0029180513901272,0.0,-7.0,-0.9
São Roque,34699.1,0.768,297.11,18.523533605423957,São Paulo,0.022765228091764,0.0003625736134306,0.0074162784565351,4.394831677946735e-05,-0.7999999999999972,1.2
São Roque de Minas,33840.02,0.672,3.36,47.59615384615385,Minas Gerais,0.0069493688838462,0.0,0.0019855339668132,0.0,-1.8999999999999917,0.0
São Roque do Canaã,14346.18,0.7,36.26,20.774647887323944,Espírito Santo,0.0844945630285944,0.0009665726943213,0.0164317358034635,0.0001610954490535,0.0,0.0
São Salvador do Tocantins,11806.21,0.605,2.17,39.25925925925925,Tocantins,0.0126541207008436,0.0,0.0012978585334198,0.0,6.200000000000003,-6.2
São Sebastião,40181.39,0.772,222.23,32.071048468287074,São Paulo,0.0294335805799055,0.0006181164306585,0.0042593841312654,0.0001236232861317,-2.799999999999997,2.8
São Sebastião,16515.04,0.549,108.38,12.291666666666664,Alagoas,0.0255329116889201,0.0005270555165144,0.0003220894823143,2.928086202857812e-05,3.799999999999997,-3.8
São Sebastião da Amoreira,24990.7,0.715,38.83,63.4920634920635,Paraná,0.0308370044052863,0.0013554727211114,0.0091494408675025,0.0001129560600926,0.1000000000000085,-2.2
São Sebastião da Bela Vista,81626.52,0.692,32.93,61.1888111888112,Minas Gerais,0.0221656976744186,0.0007267441860465,0.0065406976744186,0.0001816860465116,-5.0,-1.7
São Sebastião da Boa Vista,7698.46,0.558,16.32,14.154048716260704,Pará,0.0166291291291291,0.0004129129129129,3.7537537537537536e-05,0.0,19.5,-11.3
São Sebastião da Grama,24086.11,0.701,48.27,21.04529616724739,São Paulo,0.0198653751436545,0.0004104416351994,0.0014775898867181,0.0,1.2999999999999972,-0.1
São Sebastião da Vargem Alegre,17481.37,0.66,40.84,6.25,Minas Gerais,0.0379115397406052,0.0003325573661456,0.0133022946458264,0.0,1.0,0.0
São Sebastião de Lagoa de Roça,8122.42,0.594,233.58,17.997165800661314,Paraíba,0.0298430666323642,0.0005145356315924,0.0026584340965611,0.0001715118771974,3.9000000000000057,0.0
