,codigo,abstencao 2020,abstencao 2019,diferenca
0,1300706,100.0,21.38364779874214,78.61635220125785
1,1301100,88.37719298245614,30.909090909090907,57.46810207336523
2,1300300,86.71875,32.05128205128205,54.66746794871795
3,1302801,86.29032258064517,35.8974358974359,50.39288668320927
4,1304237,84.65608465608466,57.98319327731093,26.672891378773727
5,1301308,84.42906574394463,26.865671641791046,57.56339410215359
6,1300805,83.16831683168317,12.871287128712872,70.29702970297029
7,1303502,83.07692307692308,27.941176470588236,55.13574660633485
8,1304260,81.61764705882352,44.11764705882353,37.49999999999999
9,1302553,81.48148148148148,37.34939759036144,44.13208389112004
10,1301506,80.55555555555556,16.129032258064516,64.42652329749104
11,1302702,77.9783393501805,36.04651162790697,41.93182772227353
12,1303205,77.55905511811024,21.428571428571427,56.130483689538806
13,1302306,77.37226277372264,48.30508474576271,29.067178027959926
14,1300631,77.19298245614034,32.0,45.19298245614034
15,1304203,77.08333333333334,27.610208816705335,49.473124516628005
16,1303007,76.30522088353415,26.20481927710843,50.10040160642572
17,1300839,75.73529411764706,40.54054054054054,35.19475357710652
18,1100403,75.42372881355932,36.84210526315789,38.58162355040143
19,1301159,75.14124293785311,33.33333333333333,41.80790960451978
20,1303106,75.0733137829912,35.333333333333336,39.73998044965787
21,1300680,74.65277777777779,32.71604938271605,41.936728395061735
22,1304401,74.32432432432432,20.652173913043477,53.672150411280846
23,1301605,74.27184466019418,22.78481012658228,51.4870345336119
24,1301001,73.23420074349443,26.582278481012654,46.651922262481776
25,5200134,72.64150943396226,15.126050420168067,57.515459013794185
26,1302504,72.47191011235955,18.34862385321101,54.12328625914854
27,1400209,72.22222222222221,17.543859649122805,54.678362573099406
28,1300409,72.02380952380952,29.807692307692307,42.21611721611721
29,1303700,71.9047619047619,35.406698564593306,36.49806334016859
30,2307635,71.11801242236024,30.081300813008134,41.0367116093521
31,1100098,70.98445595854922,16.94915254237288,54.03530341617634
32,1703701,70.83333333333334,12.5,58.33333333333334
33,1300508,70.8185053380783,22.78481012658228,48.03369521149602
34,1304302,70.65868263473054,43.91891891891892,26.73976371581162
35,3514809,70.52631578947368,28.346456692913385,42.1798590965603
36,1300029,70.24793388429752,32.3943661971831,37.85356768711442
37,1300086,70.0,28.125,41.875
38,1303569,69.95515695067265,19.879518072289155,50.07563887838349
39,2600401,69.62025316455697,27.710843373493976,41.909409791063
40,1300607,69.33962264150944,26.101694915254235,43.2379277262552
41,2605202,69.21397379912663,24.350649350649352,44.863324448477286
42,5208905,68.77828054298642,35.22205206738131,33.55622847560511
43,2306108,68.65671641791045,39.48275862068966,29.173957797220787
44,5101407,68.53932584269663,44.21052631578947,24.328799526907154
45,1100114,68.51119894598156,25.291181364392678,43.220017581588884
46,1303304,68.42105263157895,34.96503496503497,33.45601766654398
47,2304350,68.08510638297872,29.6875,38.39760638297872
48,1100304,67.9022746419545,19.67930029154519,48.22297435040932
49,1100189,67.77251184834124,19.12442396313364,48.6480878852076
50,2304285,67.62452107279694,34.38914027149321,33.23538080130373
51,1303601,67.56756756756756,30.263157894736842,37.30440967283072
52,1302900,67.48878923766816,23.50597609561753,43.98281314205063
53,1304005,67.45098039215686,39.59731543624161,27.853664955915256
54,1100148,67.44186046511628,20.149253731343283,47.292606733773
55,5213103,66.7610953729934,18.673647469458988,48.08744790353441
56,1301902,66.68839634941331,26.36363636363636,40.32475998577695
57,2602308,66.60377358490565,25.0,41.60377358490565
58,5219308,66.31892697466468,18.947368421052634,47.37155855361205
59,2301950,66.13924050632912,40.549828178694156,25.58941232763496
60,5209101,65.65217391304347,21.18380062305296,44.46837328999051
61,1716505,65.37467700258398,10.880829015544041,54.49384798703994
62,2925600,65.34653465346535,15.625,49.721534653465355
63,1303403,65.11169513797634,25.562817719680464,39.548877418295874
64,1100049,65.03496503496503,19.363636363636363,45.671328671328666
65,1303536,64.76964769647697,34.375,30.394647696476966
66,1101492,64.65517241379311,25.24271844660194,39.41245396719117
67,2603207,64.48087431693989,14.244186046511627,50.23668827042826
68,5218805,64.48040885860307,22.041420118343193,42.43898874025987
69,1100056,64.4,21.666666666666668,42.733333333333334
70,1506708,64.39393939393939,22.516556291390728,41.87738310254866
71,1303908,64.35643564356435,33.56401384083045,30.792421802733905
72,1100320,64.31924882629107,30.501930501930502,33.81731832436057
73,2313351,64.11149825783971,14.114114114114114,49.9973841437256
74,5108055,64.04494382022472,14.563106796116504,49.481837024108216
75,1600105,63.934426229508205,40.0,23.934426229508205
76,2610202,63.92785571142284,35.483870967741936,28.443984743680907
77,1301209,63.83720930232558,14.25287356321839,49.58433573910719
78,5000203,63.74999999999999,22.972972972972975,40.77702702702702
79,1301852,63.63636363636363,24.444444444444443,39.19191919191919
80,3200169,63.63636363636363,6.779661016949152,56.85670261941448
81,1714203,63.63636363636363,8.60215053763441,55.034213098729225
82,2110500,63.60544217687075,21.568627450980394,42.03681472589036
83,2604205,63.58695652173913,21.280991735537192,42.30596478620194
84,1500503,63.565891472868216,19.58041958041958,43.985471892448636
85,5101902,63.51351351351351,25.581395348837212,37.9321181646763
86,1507300,63.42592592592593,21.83406113537118,41.59186479055475
87,5217609,63.39210747271201,21.234939759036145,42.15716771367587
88,5104104,63.1578947368421,33.33333333333333,29.824561403508774
89,1301951,63.1578947368421,37.333333333333336,25.824561403508767
90,2104677,63.125,19.53125,43.59375
91,2107001,62.857142857142854,19.860627177700348,42.99651567944251
92,1505031,62.5,20.0,42.5
93,2803203,62.365591397849464,17.82178217821782,44.54380921963164
