,2019,2020
,0,0
falta,1.0,1.0
NU_ANO,1.0,1.0
TP_ST_CONCLUSAO,0.20915760035564063,0.21337971505817757
TP_ESCOLA,0.1595413228437673,0.17931877516258302
TP_DEPENDENCIA_ADM_ESC,0.1510019001672396,0.279442156065949
Q002,0.13723814037916843,0.1853259825353642
Q001,0.12781097600773683,0.17116537361379994
TP_ESTADO_CIVIL,0.12708368050708485,0.12917037345207302
Q022,0.1094672345045599,0.14387778696479034
IN_TREINEIRO,0.10770778495238419,0.11440630904668114
Q009,0.10645465419970405,0.1320578452665161
Q006,0.10597505693559045,0.1657007182560297
Q008,0.10326197341998304,0.14428631294952915
Q004,0.1021744029595709,0.1465057080245871
Q003,0.10053134023792168,0.14667677429570145
Q010,0.09889310304800306,0.13182193009848886
Q019,0.08889527801832008,0.12034878563728893
Q024,0.08478948860788742,0.1275046860477318
Q013,0.08113826710168347,0.10351810156519539
SG_UF_ESC,0.07461521189069853,0.1571767492358008
Q018,0.0706955218804276,0.09570943529226945
Q021,0.06458032690610749,0.08217018689977049
Q023,0.059904561256431385,0.07915371739273847
SG_UF_PROVA,0.05485778241660502,0.08168621319018307
Q016,0.04984979280486325,0.07202521085337056
Q025,0.04932417664775769,0.05738849241745058
Q020,0.04814695653149543,0.06078780899053712
Q014,0.04502838012203355,0.058290272905321294
Q007,0.04022975892092194,0.04674196750538241
Q012,0.036877900106183685,0.04858244584164512
Q015,0.03047271720410601,0.03538336470312974
Q017,0.0230367018426695,0.034618202531382966
TP_LOCALIZACAO_ESC,0.018165980002342787,0.03927082217037171
Q011,0.018110232621189198,0.01898455082866262
TP_ENSINO,0.015411462134645717,0.02450775940934327
TP_SIT_FUNC_ESC,0.006073733850076758,0.00882635331377912
TP_NACIONALIDADE,0.005902016059947657,0.008793236381996748
TP_SEXO,0.0016161937002579555,0.00789247708630693
