,codigo,abstencao 2020,abstencao 2019,diferenca
0,3514957,100.0,20.0,80.0
1,1300706,100.0,16.52173913043478,83.47826086956522
2,4120150,100.0,18.181818181818183,81.81818181818181
3,3167509,100.0,16.666666666666664,83.33333333333334
4,3141306,100.0,15.384615384615385,84.61538461538461
5,2402402,100.0,31.11111111111111,68.88888888888889
6,3170305,100.0,41.66666666666667,58.33333333333333
7,2413201,100.0,8.333333333333332,91.66666666666667
8,2207850,100.0,11.11111111111111,88.88888888888889
9,3201100,100.0,21.052631578947366,78.94736842105263
10,3116209,100.0,25.0,75.0
11,2919009,100.0,14.285714285714285,85.71428571428572
12,1600212,100.0,25.0,75.0
13,4300851,100.0,41.66666666666667,58.33333333333333
14,4119657,100.0,60.0,40.0
15,4312500,100.0,4.651162790697675,95.34883720930233
16,3551207,100.0,14.285714285714285,85.71428571428572
17,2205607,100.0,2.7777777777777777,97.22222222222223
18,2205581,100.0,16.666666666666664,83.33333333333334
19,3549300,100.0,23.076923076923077,76.92307692307692
20,3507209,100.0,16.666666666666664,83.33333333333334
21,1715259,100.0,20.0,80.0
22,3117603,100.0,16.666666666666664,83.33333333333334
23,3555208,100.0,12.5,87.5
24,5107743,100.0,33.33333333333333,66.66666666666667
25,3507753,100.0,61.111111111111114,38.888888888888886
26,3158409,100.0,18.181818181818183,81.81818181818181
27,4311122,100.0,33.33333333333333,66.66666666666667
28,3557154,100.0,22.22222222222222,77.77777777777777
29,5216007,100.0,21.428571428571427,78.57142857142857
30,3106804,100.0,10.0,90.0
31,1501758,100.0,5.88235294117647,94.11764705882354
32,4101150,100.0,8.333333333333332,91.66666666666667
33,3105707,100.0,11.11111111111111,88.88888888888889
34,3556958,100.0,60.0,40.0
35,3149606,100.0,43.75,56.25
36,3153806,100.0,20.0,80.0
37,2931400,100.0,28.57142857142857,71.42857142857143
38,3555703,100.0,16.666666666666664,83.33333333333334
39,4316428,100.0,8.333333333333332,91.66666666666667
40,4103024,100.0,20.689655172413794,79.3103448275862
41,3158805,100.0,26.47058823529412,73.52941176470588
42,4307831,100.0,25.0,75.0
43,2409506,100.0,42.857142857142854,57.142857142857146
44,5107156,100.0,10.0,90.0
45,4103404,100.0,10.0,90.0
46,4307203,100.0,7.142857142857142,92.85714285714286
47,3159506,100.0,44.44444444444444,55.55555555555556
48,3159704,100.0,19.047619047619047,80.95238095238095
49,5107248,100.0,9.523809523809524,90.47619047619048
50,4306759,100.0,28.57142857142857,71.42857142857143
51,4218509,100.0,27.77777777777778,72.22222222222223
52,1712009,100.0,23.809523809523807,76.19047619047619
53,4311239,100.0,16.666666666666664,83.33333333333334
54,3123403,100.0,40.0,60.0
55,3529658,100.0,13.333333333333334,86.66666666666667
56,4125456,100.0,18.181818181818183,81.81818181818181
57,3545100,100.0,86.95652173913044,13.043478260869563
58,3517307,100.0,10.344827586206897,89.65517241379311
59,1101450,100.0,25.0,75.0
60,3544707,100.0,88.88888888888889,11.111111111111114
61,3519402,100.0,40.0,60.0
62,3122801,100.0,26.666666666666668,73.33333333333333
63,4200507,100.0,25.0,75.0
64,4322186,100.0,29.411764705882355,70.58823529411765
65,3525409,100.0,25.0,75.0
66,3520806,100.0,50.0,50.0
67,3527900,100.0,23.076923076923077,76.92307692307692
68,3126604,100.0,7.6923076923076925,92.3076923076923
69,3549201,100.0,42.857142857142854,57.142857142857146
70,3527405,100.0,57.77777777777777,42.22222222222223
71,3521606,100.0,12.5,87.5
72,3525607,100.0,55.55555555555556,44.44444444444444
73,2702801,100.0,33.33333333333333,66.66666666666667
74,3124609,100.0,22.22222222222222,77.77777777777777
75,3515194,100.0,50.0,50.0
76,3529807,100.0,21.875,78.125
77,4314159,100.0,16.666666666666664,83.33333333333334
78,3514924,100.0,61.111111111111114,38.888888888888886
79,4123204,100.0,41.66666666666667,58.33333333333333
80,3118502,100.0,16.666666666666664,83.33333333333334
81,1718659,100.0,68.75,31.25
82,3536000,100.0,47.61904761904761,52.38095238095239
83,5204201,100.0,23.076923076923077,76.92307692307692
84,4107520,100.0,35.714285714285715,64.28571428571428
85,4205159,100.0,20.0,80.0
86,4322251,100.0,15.384615384615385,84.61538461538461
87,4322301,100.0,12.5,87.5
88,2205250,100.0,15.789473684210526,84.21052631578948
89,3511201,100.0,55.55555555555556,44.44444444444444
90,3533304,100.0,50.0,50.0
91,3547403,100.0,36.36363636363637,63.63636363636363
92,3127305,100.0,31.428571428571427,68.57142857142857
93,4124020,100.0,35.294117647058826,64.70588235294117
94,4124202,100.0,6.666666666666667,93.33333333333333
95,4211850,100.0,10.0,90.0
96,5200605,96.15384615384616,9.375,86.77884615384616
97,1302207,95.83333333333334,30.612244897959183,65.22108843537416
98,5214903,95.65217391304348,7.142857142857142,88.50931677018635
99,3532827,95.65217391304348,57.14285714285714,38.509316770186345
100,2609204,94.11764705882352,20.588235294117645,73.52941176470588
101,1703867,93.75,18.75,75.0
102,5209952,92.85714285714286,13.043478260869565,79.8136645962733
103,1300300,92.71070615034168,32.55813953488372,60.15256661545796
104,1301100,92.6509186351706,32.142857142857146,60.50806149231345
105,5206503,92.5925925925926,6.666666666666667,85.92592592592592
106,5216908,92.3076923076923,7.142857142857142,85.16483516483517
107,2513158,92.3076923076923,21.875,70.4326923076923
108,1707553,92.3076923076923,9.67741935483871,82.6302729528536
109,2802700,91.66666666666666,25.806451612903224,65.86021505376343
110,2924900,91.22807017543859,36.36363636363637,54.86443381180222
111,5204250,90.9090909090909,17.647058823529413,73.26203208556149
112,2112852,90.9090909090909,21.21212121212121,69.69696969696969
