municipio;estado;regiao;Presente;Total_Alunos;populacaoTCU2019;casosAcumulado;obitosAcumulado;casosNovos_Semana;obitosNovos_Semana;Casos_per_capita;Mortes_per_capita;Relacao_Presenca;Relacao_casos_mes;Relacao_obitos_mes;diferenca;codigo
Casa Branca;São Paulo;Sudeste;49.0;113.0;30380.0;3293.0;104;0;0;0.10839368005266622;0.0034233048057932852;0.4336283185840708;0.0;0.0;31.462342966767743;3510807.0
Santos;São Paulo;Sudeste;1365.0;2271.0;433311.0;62272.0;2265;44;1;0.14371202208113804;0.005227192478381578;0.6010568031704095;0.00010154369494427789;2.3078112487335884e-06;21.11399837197903;3548500.0
Ouro Verde;São Paulo;Sudeste;15.0;30.0;8562.0;1019.0;28;0;0;0.1190142490072413;0.003270263957019388;0.5;0.0;0.0;25.42242703533025;3534807.0
Campina Grande;Paraíba;Nordeste;2123.0;2625.0;409731.0;47544.0;1164;39;0;0.11603710727282046;0.002840888290122056;0.8087619047619048;9.518440147316166e-05;0.0;11.085714285714284;2504009.0
Pelotas;Rio Grande do Sul;Sul;1037.0;1427.0;342405.0;49927.0;1198;46;3;0.1458127071742527;0.0034987806836932873;0.7266993693062369;0.00013434383259590253;8.761554299732773e-06;17.052139629418264;4314407.0
São Domingos;Santa Catarina;Sul;13.0;19.0;9445.0;1391.0;23;0;0;0.14727368978295394;0.002435150873478031;0.6842105263157895;0.0;0.0;34.24864864864865;4216107.0
Pradópolis;São Paulo;Sudeste;32.0;71.0;21496.0;2000.0;38;0;0;0.09304056568663938;0.0017677707480461481;0.4507042253521127;0.0;0.0;24.792591163418876;3540903.0
Joinville;Santa Catarina;Sul;1401.0;2578.0;590466.0;118716.0;2044;32;0;0.20105476013860238;0.0034616726449956474;0.54344453064391;5.4194483678992525e-05;0.0;23.99523381458436;4209102.0
Salgueiro;Pernambuco;Nordeste;266.0;467.0;60930.0;8133.0;119;4;0;0.13348104382077794;0.00195306088954538;0.569593147751606;6.564910553093715e-05;0.0;29.118783696825812;2612208.0
Breu Branco;Pará;Norte;57.0;128.0;66046.0;955.0;54;0;0;0.014459619053387033;0.000817611967416649;0.4453125;0.0;0.0;29.562014248704667;1501782.0
Dois Vizinhos;Paraná;Sul;121.0;205.0;40641.0;7022.0;99;1;0;0.17278118156541425;0.0024359636819960137;0.5902439024390244;2.4605693757535495e-05;0.0;27.19469102818237;4107207.0
Uruçuí;Piauí;Nordeste;91.0;118.0;21558.0;4077.0;64;0;0;0.18911772891733927;0.0029687355042211706;0.7711864406779662;0.0;0.0;15.473948524795984;2211209.0
Mogi Mirim;São Paulo;Sudeste;235.0;405.0;93189.0;12218.0;356;14;0;0.1311098949446823;0.003820193370462179;0.5802469135802469;0.0001502323235575014;0.0;25.73165381964028;3530805.0
Santa Maria;Rio Grande do Sul;Sul;1113.0;1397.0;282123.0;41819.0;831;17;0;0.14822967287317942;0.0029455237609127935;0.7967072297780959;6.0257405457903115e-05;0.0;10.111167790889551;4316907.0
Santa Inês;Maranhão;Nordeste;353.0;526.0;89044.0;9284.0;220;1;0;0.1042630609586272;0.0024706886483087014;0.6711026615969582;1.1230402946857734e-05;0.0;21.7097336857816;2109908.0
Belém;Pará;Norte;6587.0;9057.0;1492745.0;106969.0;5150;20;0;0.07165925861416383;0.0034500199297267786;0.7272827647123772;1.3398135649424383e-05;0.0;16.81819037353231;1501402.0
São João de Pirabas;Pará;Norte;34.0;62.0;23045.0;336.0;43;0;0;0.014580169234107182;0.0018659145150791928;0.5483870967741935;0.0;0.0;29.697372796807443;1507474.0
Piripiri;Piauí;Nordeste;236.0;345.0;63742.0;11100.0;202;13;0;0.1741394998588058;0.0031690251325656553;0.6840579710144927;0.0002039471619967996;0.0;19.016883310921862;2208403.0
