municipio;estado;regiao;Presente;Total_Alunos;populacaoTCU2019;casosAcumulado;obitosAcumulado;casosNovos_Semana;obitosNovos_Semana;Casos_per_capita;Mortes_per_capita;Relacao_Presenca;Relacao_casos_mes;Relacao_obitos_mes;diferenca;codigo
Machado;Minas Gerais;Sudeste;170.0;226.0;42133.0;4710.0;97;4;0;0.11178885908907507;0.0023022334037452827;0.7522123893805309;9.493745994825909e-05;0.0;5.156119552512937;3139003.0
Igaci;Alagoas;Nordeste;31.0;89.0;25631.0;1446.0;28;0;0;0.05641605867894347;0.0010924271390113534;0.34831460674157305;0.0;0.0;42.4794636955906;2703106.0
Messias;Alagoas;Nordeste;29.0;57.0;17856.0;1207.0;29;0;0;0.06759632616487456;0.0016241039426523297;0.5087719298245614;0.0;0.0;29.122807017543856;2705200.0
Viçosa do Ceará;Ceará;Nordeste;345.0;903.0;60889.0;5251.0;159;0;0;0.08623889372464649;0.002611309103450541;0.38205980066445183;0.0;0.0;37.63790179009491;2314102.0
Caarapó;Mato Grosso do Sul;Centro-Oeste;54.0;120.0;30174.0;4160.0;57;0;0;0.13786703784715318;0.0018890435474249354;0.45;0.0;0.0;40.82089552238807;5002407.0
Montanhas;Rio Grande do Norte;Nordeste;4.0;18.0;11251.0;695.0;14;0;0;0.06177228690783042;0.0012443338369922674;0.2222222222222222;0.0;0.0;62.3931623931624;2407708.0
Uruaçu;Goiás;Centro-Oeste;181.0;304.0;40532.0;6674.0;152;9;1;0.1646600217112405;0.00375012335932103;0.5953947368421053;0.00022204677785453468;2.467186420605941e-05;27.202950558213715;5221601.0
Almenara;Minas Gerais;Sudeste;138.0;189.0;41896.0;4556.0;53;0;0;0.10874546496085545;0.0012650372350582395;0.7301587301587301;0.0;0.0;15.830280830280827;3101706.0
Nova Colinas;Maranhão;Nordeste;20.0;38.0;5384.0;433.0;5;0;0;0.08042347696879644;0.0009286775631500742;0.5263157894736842;0.0;0.0;39.14924297043979;2107258.0
Paço do Lumiar;Maranhão;Nordeste;257.0;382.0;122197.0;1581.0;230;0;0;0.01293812450387489;0.001882206600816714;0.6727748691099477;0.0;0.0;19.65260427441557;2107506.0
Carmo do Cajuru;Minas Gerais;Sudeste;17.0;37.0;22478.0;1541.0;56;0;0;0.06855592134531542;0.0024913248509653885;0.4594594594594595;0.0;0.0;41.054054054054056;3114204.0
Independência;Ceará;Nordeste;173.0;302.0;26178.0;2212.0;58;0;0;0.08449843379937352;0.0022156008862403544;0.5728476821192053;0.0;0.0;32.40252811294427;2305605.0
Bodó;Rio Grande do Norte;Nordeste;4.0;6.0;2223.0;203.0;1;0;0;0.09131803868645974;1.0;0.6666666666666666;0.0;0.0;0.0;2401651.0
São Carlos;São Paulo;Sudeste;877.0;1176.0;251983.0;27373.0;534;1;0;0.10863034411051539;0.002119190580316926;0.7457482993197279;3.968521685986753e-06;0.0;11.238431107751252;3548906.0
Barra;Bahia;Nordeste;56.0;96.0;53578.0;2277.0;66;2;0;0.04249878681548397;0.001231848893202434;0.5833333333333334;3.732875433946769e-05;0.0;24.45355191256831;2902708.0
Boa Vista da Aparecida;Paraná;Sul;11.0;21.0;7591.0;1165.0;35;1;0;0.15347121591358187;0.004610723224871559;0.5238095238095238;0.00013173494928204451;0.0;22.12885154061624;4103057.0
Abaeté;Minas Gerais;Sudeste;47.0;66.0;23237.0;1679.0;44;0;0;0.07225545466282222;0.00189353186728063;0.7121212121212122;0.0;0.0;12.441724941724942;3100203.0
Conselheiro Lafaiete;Minas Gerais;Sudeste;361.0;512.0;128589.0;16025.0;284;16;0;0.12462185723506676;0.0022085870486589056;0.705078125;0.0001244274393610651;0.0;15.64883595173042;3118304.0
Pacoti;Ceará;Nordeste;58.0;119.0;12261.0;1454.0;26;0;0;0.11858739091428105;0.002120544816899111;0.48739495798319327;0.0;0.0;13.855924049008912;2309805.0
Santana do Araguaia;Pará;Norte;30.0;81.0;72817.0;3314.0;39;3;0;0.04551135037147919;0.0005355892168037683;0.37037037037037035;4.11991705233668e-05;0.0;41.95455960161843;1506708.0
Castanhal;Pará;Norte;734.0;1084.0;200793.0;9786.0;488;43;0;0.048736758751550105;0.0024303636082931178;0.6771217712177122;0.0002141508917143526;0.0;19.98986082622597;1502400.0
Fortaleza dos Nogueiras;Maranhão;Nordeste;62.0;92.0;12631.0;1401.0;26;1;1;0.11091758372258728;0.0020584276779352386;0.6739130434782609;7.917029530520149e-05;7.917029530520149e-05;19.36366253959113;2104107.0
São José do Rio Pardo;São Paulo;Sudeste;162.0;240.0;54946.0;4143.0;152;1;0;0.07540130309758672;0.002766352418738398;0.675;1.8199686965384195e-05;0.0;13.79032258064516;3549706.0
Teixeira;Paraíba;Nordeste;20.0;31.0;15161.0;1118.0;38;0;0;0.07374183760965636;0.0025064309742101444;0.6451612903225806;0.0;0.0;-1.3582342954159543;2516706.0
Matriz de Camaragibe;Alagoas;Nordeste;33.0;62.0;24642.0;1523.0;44;0;0;0.06180504829153478;0.0017855693531369206;0.532258064516129;0.0;0.0;26.084538375973302;2705101.0
Iracema;Ceará;Nordeste;79.0;195.0;14297.0;2529.0;35;0;0;0.1768902566972092;0.002448066027838008;0.40512820512820513;0.0;0.0;22.845985891837422;2306009.0
Mossâmedes;Goiás;Centro-Oeste;23.0;43.0;4290.0;339.0;7;0;0;0.07902097902097902;0.0016317016317016317;0.5348837209302325;0.0;0.0;29.120323559150656;5213905.0
Entre-Ijuís;Rio Grande do Sul;Sul;4.0;12.0;8475.0;1547.0;29;0;0;0.18253687315634218;0.0034218289085545723;0.3333333333333333;0.0;0.0;52.38095238095237;4306932.0
Sardoá;Minas Gerais;Sudeste;10.0;14.0;6300.0;492.0;10;0;0;0.07809523809523809;0.0015873015873015873;0.7142857142857143;0.0;0.0;19.19642857142857;3165503.0
Iperó;São Paulo;Sudeste;17.0;66.0;37133.0;3165.0;55;0;0;0.08523415829585544;0.0014811623084587833;0.25757575757575757;0.0;0.0;43.20794148380356;3521002.0
Araranguá;Santa Catarina;Sul;190.0;275.0;68228.0;11358.0;255;0;0;0.16647124347775108;0.0037374684880107875;0.6909090909090909;0.0;0.0;19.261363636363637;4201406.0
Quaraí;Rio Grande do Sul;Sul;39.0;66.0;22687.0;2371.0;59;0;0;0.10450919028518535;0.0026006082778683827;0.5909090909090909;0.0;0.0;35.1948051948052;4315305.0
Reriutaba;Ceará;Nordeste;219.0;303.0;18491.0;3570.0;32;3;0;0.1930668974095506;0.00173057162944135;0.7227722772277227;0.00016224109026012656;0.0;11.43612732608766;2311702.0
São Francisco do Sul;Santa Catarina;Sul;100.0;189.0;52721.0;8240.0;175;10;0;0.15629445571973216;0.0033193604066690694;0.5291005291005291;0.0001896777375239468;0.0;31.05221124089049;4216206.0
Ponta Grossa;Paraná;Sul;995.0;1573.0;351736.0;53938.0;1395;112;3;0.15334796551959423;0.003966042713853572;0.6325492689129053;0.000318420633657061;8.529124115814134e-06;17.04810341173978;4119905.0
Uruoca;Ceará;Nordeste;73.0;175.0;13840.0;1750.0;31;0;0;0.12644508670520233;0.002239884393063584;0.41714285714285715;0.0;0.0;50.658595641646485;2313906.0
São Gonçalo do Amarante;Ceará;Nordeste;444.0;831.0;48422.0;7750.0;212;2;0;0.16005121638924455;0.004378175209615464;0.5342960288808665;4.130353971335344e-05;0.0;11.117818253163732;2312403.0
União dos Palmares;Alagoas;Nordeste;134.0;225.0;65611.0;2713.0;86;0;0;0.04134977366600113;0.0013107558183841125;0.5955555555555555;0.0;0.0;22.93032015065913;2709301.0
Toledo;Paraná;Sul;467.0;692.0;140635.0;27662.0;467;20;2;0.19669356845735414;0.0033206527535819676;0.6748554913294798;0.0001422121093611121;1.422121093611121e-05;19.158282967987216;4127700.0
Porto União;Santa Catarina;Sul;117.0;205.0;35398.0;4951.0;93;0;0;0.13986665913328436;0.002627267077236002;0.5707317073170731;0.0;0.0;27.709437963944858;4213609.0
Canindé de São Francisco;Sergipe;Nordeste;35.0;73.0;29900.0;2541.0;48;1;0;0.08498327759197324;0.001605351170568562;0.4794520547945205;3.3444816053511705e-05;0.0;24.03281649856992;2801207.0
Surubim;Pernambuco;Nordeste;228.0;324.0;65089.0;4708.0;93;2;0;0.07233173039991396;0.0014288128562429904;0.7037037037037037;3.0727158198773985e-05;0.0;19.51973951973952;2614501.0
Itauçu;Goiás;Centro-Oeste;15.0;40.0;8938.0;1540.0;38;0;0;0.17229805325576192;0.004251510405012307;0.375;0.0;0.0;49.82394366197183;5211404.0
Palmeira das Missões;Rio Grande do Sul;Sul;94.0;137.0;33303.0;4477.0;101;1;0;0.13443233342341532;0.0030327598114284;0.6861313868613139;3.002732486562772e-05;0.0;24.095194647201943;4313706.0
Ipameri;Goiás;Centro-Oeste;87.0;174.0;26985.0;2733.0;97;0;0;0.10127848804891607;0.0035945895868074854;0.5;0.0;0.0;32.417582417582416;5210109.0
Muzambinho;Minas Gerais;Sudeste;104.0;143.0;20569.0;1935.0;36;2;0;0.09407360591180904;0.0017502066216150518;0.7272727272727273;9.723370120083621e-05;0.0;15.88377140101278;3144102.0
São Roque;São Paulo;Sudeste;254.0;409.0;91016.0;7026.0;104;2;0;0.0771952184231344;0.001142656236266151;0.6210268948655256;2.1974158389733675e-05;0.0;18.523533605423957;3550605.0
Salinas;Minas Gerais;Sudeste;177.0;242.0;41527.0;3953.0;52;1;0;0.09519108050184218;0.0012521973655693886;0.731404958677686;2.408071856864209e-05;0.0;18.31520033476305;3157005.0
Cachoeiras de Macacu;Rio de Janeiro;Sudeste;106.0;191.0;58937.0;3477.0;111;1;1;0.058995198262551535;0.0018833669850857695;0.5549738219895288;1.6967270135907833e-05;1.6967270135907833e-05;27.07523190893094;3300803.0
Paudalho;Pernambuco;Nordeste;142.0;262.0;56506.0;2949.0;110;8;0;0.0521891480550738;0.0019466959260963437;0.5419847328244275;0.00014157788553427955;0.0;30.68524764778981;2610608.0
Oriximiná;Pará;Norte;151.0;302.0;73096.0;8376.0;171;8;0;0.11458903359964978;0.0023393892962679215;0.5;0.00010944511327569225;0.0;35.15625;1505304.0
Barão de Monte Alto;Minas Gerais;Sudeste;7.0;21.0;5397.0;355.0;13;0;0;0.06577728367611636;0.002408745599407078;0.3333333333333333;0.0;0.0;41.66666666666666;3105509.0
Primavera do Leste;Mato Grosso;Centro-Oeste;198.0;340.0;62019.0;14831.0;333;3;0;0.23913639368580597;0.005369322304455086;0.5823529411764706;4.837227301310889e-05;0.0;23.531087648734708;5107040.0
Nhamundá;Amazonas;Norte;59.0;288.0;21173.0;1909.0;37;1;0;0.09016199877202097;0.0017475086194681905;0.2048611111111111;4.7229962688329476e-05;0.0;53.525188323917135;1303007.0
Cassilândia;Mato Grosso do Sul;Centro-Oeste;51.0;73.0;21939.0;3114.0;103;5;0;0.14193901271707918;0.004694835680751174;0.6986301369863014;0.00022790464469665892;0.0;14.704623287671232;5002902.0
São Domingos do Norte;Espírito Santo;Sudeste;11.0;37.0;8638.0;1616.0;23;3;0;0.18708034267191478;0.0026626533919888863;0.2972972972972973;0.00034730261634637646;0.0;55.77751664708187;3204658.0
Parelhas;Rio Grande do Norte;Nordeste;92.0;116.0;21477.0;2833.0;29;1;0;0.13190855333612703;0.001350281696698794;0.7931034482758621;4.6561437817199795e-05;0.0;12.617906293490028;2408904.0
Paraíso do Tocantins;Tocantins;Norte;171.0;297.0;51252.0;8430.0;188;1;0;0.16448138609225005;0.003668149535627878;0.5757575757575758;1.9511433700148287e-05;0.0;31.217345872518283;1716109.0
Itapevi;São Paulo;Sudeste;305.0;621.0;237700.0;12837.0;703;3;0;0.05400504838031132;0.0029575094657130836;0.49114331723027377;1.2620950778291965e-05;0.0;28.56754250631912;3522505.0
Chupinguaia;Rondônia;Norte;6.0;61.0;11182.0;1636.0;25;0;0;0.14630656412090862;0.002235736004292613;0.09836065573770492;0.0;0.0;59.8609041231992;1100924.0
Descalvado;São Paulo;Sudeste;57.0;110.0;33718.0;4252.0;87;0;0;0.1261047511714811;0.002580224212586749;0.5181818181818182;0.0;0.0;29.710480602200345;3513702.0
Moju;Pará;Norte;107.0;193.0;82094.0;2256.0;69;0;0;0.027480692864277536;0.0008404999147318927;0.5544041450777202;0.0;0.0;27.09383206757044;1504703.0
Tauá;Ceará;Nordeste;267.0;600.0;58859.0;8994.0;187;11;0;0.15280585806758526;0.0031770842182164156;0.445;0.0001868873069539068;0.0;27.715108834827152;2313302.0
Pires do Rio;Goiás;Centro-Oeste;112.0;180.0;31458.0;4184.0;138;2;0;0.1330027338038019;0.004386801449551783;0.6222222222222222;6.357683260219975e-05;0.0;20.92995169082125;5217401.0
Itacoatiara;Amazonas;Norte;306.0;1060.0;101337.0;10806.0;316;2;0;0.10663429941679742;0.0031183082191104925;0.28867924528301886;1.9736127969053752e-05;0.0;44.16734596496809;1301902.0
Amargosa;Bahia;Nordeste;125.0;147.0;37241.0;3240.0;57;1;0;0.08700088612013641;0.0015305711447061035;0.8503401360544217;2.6852125345721114e-05;0.0;3.17111459968603;2901007.0
Praia Norte;Tocantins;Norte;12.0;52.0;8432.0;362.0;9;0;0;0.04293168880455408;0.0010673624288425048;0.23076923076923078;0.0;0.0;49.8960498960499;1718303.0
Curralinhos;Piauí;Nordeste;1.0;2.0;4443.0;476.0;2;3;0;0.10713481881611524;0.00045014629754670267;0.5;0.0006752194463200541;0.0;25.0;2203255.0
Eldorado do Carajás;Pará;Norte;27.0;62.0;33808.0;669.0;30;1;0;0.019788215806909606;0.0008873639375295788;0.43548387096774194;2.9578797917652626e-05;0.0;40.451612903225815;1502954.0
Barrinha;São Paulo;Sudeste;37.0;74.0;32812.0;1710.0;71;0;0;0.052115079848835795;0.002163842496647568;0.5;0.0;0.0;14.55696202531646;3505609.0
São Geraldo do Araguaia;Pará;Norte;40.0;66.0;24847.0;1850.0;50;0;0;0.07445566869239748;0.0020123153700647967;0.6060606060606061;0.0;0.0;17.866161616161612;1507458.0
Unaí;Minas Gerais;Sudeste;211.0;355.0;84378.0;15341.0;276;12;0;0.18181279480433288;0.003270994809073455;0.5943661971830986;0.00014221716561188937;0.0;24.38307262932433;3170404.0
Governador Dix-Sept Rosado;Rio Grande do Norte;Nordeste;15.0;26.0;13037.0;1418.0;19;0;0;0.10876735445271152;0.0014573905039502954;0.5769230769230769;0.0;0.0;25.64102564102564;2404309.0
Bariri;São Paulo;Sudeste;110.0;156.0;35264.0;3215.0;133;0;0;0.09116946460980037;0.003771551724137931;0.7051282051282052;0.0;0.0;14.20940170940171;3505203.0
Videira;Santa Catarina;Sul;165.0;280.0;53065.0;11642.0;125;0;0;0.21939131254122302;0.002355601620653915;0.5892857142857143;0.0;0.0;24.50892857142857;4219309.0
Nova Veneza;Goiás;Centro-Oeste;10.0;48.0;9853.0;1420.0;26;0;0;0.1441185425758652;0.0026387902161778137;0.20833333333333334;0.0;0.0;44.74885844748857;5215009.0
Icó;Ceará;Nordeste;359.0;658.0;68018.0;7491.0;128;1;0;0.1101326119556588;0.001881854803140345;0.5455927051671733;1.4701990649533946e-05;0.0;28.561748591562928;2305407.0
Conceição;Paraíba;Nordeste;59.0;110.0;18982.0;896.0;29;0;0;0.04720261300179117;0.0015277631440311875;0.5363636363636364;0.0;0.0;34.458874458874455;2504405.0
Alfenas;Minas Gerais;Sudeste;241.0;357.0;79996.0;11068.0;207;4;0;0.1383569178458923;0.0025876293814690735;0.6750700280112045;5.000250012500625e-05;0.0;19.87617476897301;3101607.0
Macaúbas;Bahia;Nordeste;124.0;177.0;49826.0;2417.0;24;0;0;0.04850881066110063;0.00048167623329185567;0.7005649717514124;0.0;0.0;9.943502824858758;2919801.0
Ji-Paraná;Rondônia;Norte;347.0;849.0;128969.0;20689.0;614;4;0;0.1604183951182067;0.004760833998867945;0.408716136631331;3.1015205204351436e-05;0.0;40.83855769596109;1100122.0
Acarape;Ceará;Nordeste;59.0;83.0;14929.0;2831.0;31;2;0;0.1896309196865162;0.0020764954116149776;0.7108433734939759;0.00013396744591064372;0.0;14.492585727525483;2300150.0
Coronel Murta;Minas Gerais;Sudeste;5.0;12.0;9222.0;381.0;8;0;0;0.0413142485361093;0.0008674907829104315;0.4166666666666667;0.0;0.0;45.56737588652483;3119500.0
Bom Despacho;Minas Gerais;Sudeste;122.0;187.0;50605.0;6151.0;110;9;0;0.12154925402628199;0.0021736982511609527;0.6524064171122995;0.00017784803873135066;0.0;14.618015532586307;3107406.0
Bom Sucesso;Minas Gerais;Sudeste;35.0;48.0;17603.0;1290.0;28;1;0;0.07328296313128443;0.001590637959438732;0.7291666666666666;5.6808498551383284e-05;0.0;25.53488372093023;3108008.0
Tarauacá;Acre;Norte;91.0;152.0;42567.0;6591.0;47;0;0;0.15483825498625697;0.0011041417060163976;0.5986842105263158;0.0;0.0;24.00254668930391;1200609.0
Groaíras;Ceará;Nordeste;59.0;144.0;11068.0;1815.0;33;0;0;0.16398626671485364;0.0029815684857246116;0.4097222222222222;0.0;0.0;36.19313210848644;2304905.0
Mundo Novo;Mato Grosso do Sul;Centro-Oeste;31.0;54.0;18366.0;2408.0;38;1;0;0.13111183709027552;0.002069040618534248;0.5740740740740741;5.4448437329848636e-05;0.0;47.5110526138166;5005681.0
Pacajus;Ceará;Nordeste;437.0;889.0;72203.0;5953.0;124;0;0;0.08244809772447129;0.0017173801642591028;0.4915635545556805;0.0;0.0;29.072033018284667;2309607.0
Porto de Moz;Pará;Norte;48.0;98.0;41135.0;1494.0;39;0;0;0.03631943600340343;0.000948097726996475;0.4897959183673469;0.0;0.0;33.47654851414251;1505908.0
Tapera;Rio Grande do Sul;Sul;14.0;22.0;10584.0;1753.0;46;4;0;0.16562736205593348;0.004346182917611489;0.6363636363636364;0.0003779289493575208;0.0;20.23460410557185;4321006.0
Alagoinha;Paraíba;Nordeste;44.0;80.0;14489.0;2116.0;25;0;0;0.14604182483263164;0.0017254468907447029;0.55;0.0;0.0;17.578304550528596;2500502.0
Jaguariúna;São Paulo;Sudeste;92.0;179.0;57488.0;6708.0;111;1;0;0.11668522126356805;0.0019308377400500975;0.5139664804469274;1.7394934595045922e-05;0.0;30.956293131777848;3524709.0
Chapadinha;Maranhão;Nordeste;194.0;265.0;79675.0;6225.0;128;0;0;0.07812990272983998;0.0016065265139629747;0.7320754716981132;0.0;0.0;15.428816466552316;2103208.0
Timóteo;Minas Gerais;Sudeste;305.0;396.0;89842.0;12247.0;340;0;0;0.13631709000244874;0.0037844215400369536;0.7702020202020202;0.0;0.0;13.381478334749362;3168705.0
Florestal;Minas Gerais;Sudeste;138.0;158.0;7461.0;288.0;13;0;0;0.038600723763570564;0.0017423937809945048;0.8734177215189873;0.0;0.0;7.921385742838107;3126000.0
Embu-Guaçu;São Paulo;Sudeste;152.0;289.0;69385.0;5164.0;216;1;0;0.07442530806370252;0.003113064783454637;0.5259515570934256;1.4412336960438136e-05;0.0;35.27613141937031;3515103.0
Pato Branco;Paraná;Sul;397.0;520.0;82881.0;13953.0;308;9;1;0.16834980272921418;0.003716171378241093;0.7634615384615384;0.0001085894233901618;1.2065491487795756e-05;7.370660313138188;4118501.0
Rancharia;São Paulo;Sudeste;84.0;141.0;29707.0;4184.0;93;1;0;0.14084222573804153;0.0031305752852862963;0.5957446808510638;3.366209984178813e-05;0.0;27.788169277530976;3542206.0
Vargem Grande Paulista;São Paulo;Sudeste;122.0;208.0;52597.0;3338.0;111;24;0;0.06346369564804076;0.002110386523946233;0.5865384615384616;0.0004562997889613476;0.0;24.17443667443668;3556453.0
Diamante;Paraíba;Nordeste;23.0;37.0;6552.0;803.0;11;0;0;0.12255799755799755;0.001678876678876679;0.6216216216216216;0.0;0.0;25.139425139425143;2505600.0
Godofredo Viana;Maranhão;Nordeste;6.0;17.0;11819.0;172.0;5;0;0;0.01455283864963195;0.00042304763516371943;0.35294117647058826;0.0;0.0;38.0392156862745;2104305.0
Augusto de Lima;Minas Gerais;Sudeste;4.0;6.0;4869.0;316.0;11;0;0;0.06490039022386528;0.002259190798932019;0.6666666666666666;0.0;0.0;19.696969696969692;3104809.0
Cachoeira do Arari;Pará;Norte;27.0;58.0;23767.0;610.0;25;0;0;0.02566583918879118;0.001051878655278327;0.46551724137931033;0.0;0.0;31.44827586206896;1502004.0
Cariacica;Espírito Santo;Sudeste;888.0;1437.0;381285.0;46869.0;1447;57;0;0.12292379715960502;0.003795061436982834;0.6179540709812108;0.00014949447263857743;0.0;21.051308230346063;3201308.0
Coronel Macedo;São Paulo;Sudeste;5.0;16.0;4681.0;664.0;25;0;0;0.14185003204443494;0.005340739158299509;0.3125;0.0;0.0;42.943548387096776;3512605.0
Ferraz de Vasconcelos;São Paulo;Sudeste;270.0;458.0;194276.0;10434.0;498;4;0;0.05370709711956186;0.0025633634622907616;0.5895196506550219;2.0589264757355514e-05;0.0;18.842152581556647;3515707.0
João Monlevade;Minas Gerais;Sudeste;243.0;344.0;79910.0;10790.0;252;3;0;0.13502690526842698;0.00315354774120886;0.7063953488372093;3.754223501439119e-05;0.0;21.257334361214618;3136207.0
Virgem da Lapa;Minas Gerais;Sudeste;8.0;24.0;13752.0;616.0;6;2;0;0.0447934845840605;0.0004363001745200698;0.3333333333333333;0.00014543339150668993;0.0;55.19125683060109;3171600.0
Tuntum;Maranhão;Nordeste;52.0;93.0;41832.0;2275.0;22;0;0;0.054384203480589026;0.0005259131765155861;0.5591397849462365;0.0;0.0;23.118279569892472;2112308.0
São Gabriel;Rio Grande do Sul;Sul;118.0;174.0;62105.0;8639.0;283;0;0;0.13910313179293132;0.004556798969487159;0.6781609195402298;0.0;0.0;22.138631687242796;4318309.0
Espigão D'Oeste;Rondônia;Norte;73.0;229.0;32374.0;3867.0;77;4;0;0.11944770494841539;0.0023784518440724037;0.31877729257641924;0.00012355593995181318;0.0;51.45560407569142;1100098.0
Cocal;Piauí;Nordeste;63.0;117.0;27787.0;1495.0;47;0;0;0.05380213769028683;0.0016914384424371108;0.5384615384615384;0.0;0.0;36.68639053254438;2202703.0
Fernandópolis;São Paulo;Sudeste;154.0;266.0;69116.0;12744.0;357;0;0;0.1843856704670409;0.0051652294692979914;0.5789473684210527;0.0;0.0;23.782967352155215;3515509.0
Balsas;Maranhão;Nordeste;320.0;502.0;94887.0;14532.0;210;47;0;0.1531505896487401;0.0022131588099528914;0.6374501992031872;0.0004953260193704091;0.0;18.668330528975243;2101400.0
Touros;Rio Grande do Norte;Nordeste;41.0;55.0;33287.0;1482.0;32;3;0;0.04452188542073482;0.0009613362573977829;0.7454545454545455;9.012527413104215e-05;0.0;5.97402597402597;2414407.0
Quatá;São Paulo;Sudeste;23.0;52.0;14109.0;1698.0;30;0;0;0.12034871358707208;0.00212630236019562;0.4423076923076923;0.0;0.0;38.04771178188901;3541703.0
Campo Alegre de Lourdes;Bahia;Nordeste;20.0;29.0;28798.0;1086.0;37;3;0;0.03771095214945482;0.0012848114452392527;0.6896551724137931;0.00010417390096534482;0.0;6.03448275862069;2905909.0
Itabaianinha;Sergipe;Nordeste;103.0;307.0;41928.0;2986.0;71;0;0;0.07121732493798894;0.0016933791261209692;0.3355048859934853;0.0;0.0;47.69951140065146;2803005.0
Alagoa Nova;Paraíba;Nordeste;41.0;58.0;20849.0;1919.0;34;2;0;0.09204278382656242;0.0016307736582090269;0.7068965517241379;9.592786224758981e-05;0.0;14.216005204944691;2500403.0
Verê;Paraná;Sul;24.0;34.0;7257.0;1186.0;23;0;0;0.1634284139451564;0.0031693537274355794;0.7058823529411765;0.0;0.0;13.8562091503268;4128609.0
Restinga Sêca;Rio Grande do Sul;Sul;12.0;20.0;15789.0;1797.0;39;0;0;0.11381341440243208;0.002470074102223067;0.6;0.0;0.0;17.083333333333336;4315503.0
Jussara;Goiás;Centro-Oeste;115.0;185.0;18478.0;3040.0;61;0;0;0.1645199696936898;0.003301223076090486;0.6216216216216216;0.0;0.0;20.716510903426794;5212204.0
São Sebastião;São Paulo;Sudeste;183.0;409.0;88980.0;8112.0;172;0;0;0.09116655428186109;0.0019330186558777253;0.4474327628361858;0.0;0.0;28.419824724075017;3550704.0
Tailândia;Pará;Norte;85.0;198.0;106339.0;7396.0;120;3;0;0.06955115244642135;0.0011284665080544298;0.4292929292929293;2.8211662701360742e-05;0.0;33.42940977902417;1507953.0
Cajazeirinhas;Paraíba;Nordeste;9.0;22.0;3193.0;212.0;1;0;0;0.06639523958659568;1.0;0.4090909090909091;0.0;0.0;31.50470219435737;2503753.0
Pedro do Rosário;Maranhão;Nordeste;6.0;17.0;25144.0;113.0;8;0;0;0.004494113903913458;0.0003181673560292714;0.35294117647058826;0.0;0.0;40.31563845050215;2108256.0
Estação;Rio Grande do Sul;Sul;11.0;17.0;5958.0;948.0;21;0;0;0.15911379657603222;0.003524672708962739;0.6470588235294118;0.0;0.0;29.044117647058822;4307559.0
Poços de Caldas;Minas Gerais;Sudeste;394.0;646.0;167397.0;14513.0;506;0;0;0.08669808897411542;0.0030227542906981607;0.6099071207430341;0.0;0.0;21.512325592768285;3151800.0
Iranduba;Amazonas;Norte;72.0;211.0;48296.0;8977.0;168;0;0;0.1858746065926785;0.003478548948153056;0.3412322274881517;0.0;0.0;41.84576949924685;1301852.0
Guapimirim;Rio de Janeiro;Sudeste;76.0;135.0;60517.0;5391.0;196;8;0;0.08908240659649355;0.0032387593568749275;0.562962962962963;0.00013219425946428277;0.0;24.03157255616272;3301850.0
Garça;São Paulo;Sudeste;114.0;215.0;44390.0;5606.0;141;0;0;0.1262897048884884;0.003176391079071863;0.5302325581395348;0.0;0.0;23.774129806961543;3516705.0
São José;Santa Catarina;Sul;752.0;1098.0;246586.0;36750.0;617;30;0;0.14903522503305136;0.0025021696284460593;0.6848816029143898;0.000121661408190246;0.0;17.59733845122657;4216602.0
Cacimbas;Paraíba;Nordeste;10.0;13.0;7173.0;274.0;8;0;0;0.03819880105952879;0.0011152934615920815;0.7692307692307693;0.0;0.0;-12.63736263736264;2503555.0
Barreiros;Pernambuco;Nordeste;145.0;261.0;42659.0;816.0;67;0;0;0.019128437141048782;0.001570594716238074;0.5555555555555556;0.0;0.0;32.52391464311994;2601409.0
Três Ranchos;Goiás;Centro-Oeste;5.0;16.0;2833.0;276.0;13;0;0;0.09742322626191316;0.004588775150017649;0.3125;0.0;0.0;43.75;5221304.0
Passa Sete;Rio Grande do Sul;Sul;11.0;13.0;5702.0;286.0;6;0;0;0.05015783935461242;0.001052262364082778;0.8461538461538461;0.0;0.0;-0.615384615384615;4314068.0
Peixe-Boi;Pará;Norte;16.0;25.0;8077.0;342.0;4;0;0;0.04234245388139161;0.0004952333787297264;0.64;0.0;0.0;29.939393939393938;1505601.0
Morrinhos;Goiás;Centro-Oeste;156.0;313.0;46136.0;9542.0;162;0;0;0.20682330501127102;0.003511357724986995;0.4984025559105431;0.0;0.0;34.13027335992679;5213806.0
Barra do Corda;Maranhão;Nordeste;161.0;292.0;88212.0;5830.0;74;0;0;0.06609078129959643;0.000838888133133814;0.5513698630136986;0.0;0.0;25.25272520917465;2101608.0
General Salgado;São Paulo;Sudeste;18.0;38.0;10869.0;1120.0;41;0;0;0.10304535835863465;0.0037721961542000184;0.47368421052631576;0.0;0.0;36.5025466893039;3516903.0
Patrocínio;Minas Gerais;Sudeste;243.0;380.0;90757.0;9593.0;247;0;0;0.10569983582533579;0.0027215531584340604;0.6394736842105263;0.0;0.0;22.03177347887172;3148103.0
São Pedro dos Crentes;Maranhão;Nordeste;9.0;20.0;4668.0;461.0;2;0;0;0.09875749785775492;0.0004284490145672665;0.45;0.0;0.0;18.934426229508205;2111573.0
Ipeúna;São Paulo;Sudeste;20.0;28.0;7546.0;767.0;21;3;0;0.1016432547044792;0.0027829313543599257;0.7142857142857143;0.00039756162205141797;0.0;-6.984126984126988;3521101.0
