NO_MUNICIPIO_ESC;Presente;Total_Alunos;regiao;estado;municipio;data;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Casos_per_capita;Mortes_per_capita;Relacao_Presenca
Tupanciretã;23;38;Sul;RS;Tupanciretã;2021-11-21;23948.0;2806.0;0;51;0;0.1171705361616836;0.002129614164022;0.6052631578947368
Joaquim Pires;36;62;Nordeste;PI;Joaquim Pires;2021-11-21;14354.0;1636.0;0;31;0;0.1139751985509265;0.0021596767451581;0.5806451612903226
Oeiras do Pará;51;76;Norte;PA;Oeiras do Pará;2021-11-21;32512.0;1588.0;0;48;0;0.0488435039370078;0.0014763779527559;0.6710526315789473
Bom Repouso;9;25;Sudeste;MG;Bom Repouso;2021-11-21;10547.0;1253.0;0;28;0;0.118801554944534;0.0026547833507158;0.36
Porto Belo;37;71;Sul;SC;Porto Belo;2021-11-21;21388.0;3157.0;0;65;0;0.1476061342809052;0.0030390873386945;0.5211267605633803
São Gabriel da Palha;66;118;Sudeste;ES;São Gabriel da Palha;2021-11-21;37947.0;7328.0;0;86;0;0.193111444910006;0.0022663188130814;0.559322033898305
Simonésia;18;31;Sudeste;MG;Simonésia;2021-11-21;19633.0;1450.0;0;43;0;0.0738552437223042;0.0021901899862476;0.5806451612903226
Araputanga;26;43;Centro-Oeste;MT;Araputanga;2021-11-21;16822.0;2201.0;0;56;0;0.1308405659255736;0.0033289739626679;0.6046511627906976
Coribe;29;49;Nordeste;BA;Coribe;2021-11-21;14194.0;1179.0;2;17;0;0.0830632661688037;0.0011976891644356;0.5918367346938775
Arraias;35;67;Norte;TO;Arraias;2021-11-21;10567.0;1163.0;0;13;0;0.1100596195703605;0.0012302451026781;0.5223880597014925
Capela do Alto Alegre;20;28;Nordeste;BA;Capela do Alto Alegre;2021-11-21;11637.0;978.0;2;18;0;0.0840422789378705;0.0015467904098994;0.7142857142857143
Urucará;57;181;Norte;AM;Urucará;2021-11-21;16256.0;2545.0;0;54;0;0.1565575787401575;0.0033218503937007;0.3149171270718232
Formiga;231;370;Sudeste;MG;Formiga;2021-11-21;67683.0;11499.0;1;268;0;0.1698949514649173;0.0039596353589527;0.6243243243243243
João Lisboa;68;110;Nordeste;MA;João Lisboa;2021-11-21;23632.0;787.0;0;61;0;0.0333023019634394;0.0025812457684495;0.6181818181818182
Amambai;101;157;Centro-Oeste;MS;Amambai;2021-11-21;39396.0;3470.0;0;86;0;0.088080008122652;0.0021829627373337;0.643312101910828
Tangará;29;52;Nordeste;RN;Tangará;2021-11-21;15727.0;721.0;0;16;0;0.0458447256310803;0.0010173586825205;0.5576923076923077
Francisco Beltrão;322;462;Sul;PR;Francisco Beltrão;2021-11-21;91093.0;16798.0;5;279;0;0.1844049487886006;0.0030628039476139;0.696969696969697
Barra D'Alcântara;9;16;Nordeste;PI;Barra D'Alcântara;2021-11-21;3951.0;155.0;0;4;0;0.0392305745380916;0.0010124019235636;0.5625
Upanema;20;30;Nordeste;RN;Upanema;2021-11-21;14659.0;1368.0;0;19;0;0.0933215089705982;0.001296132069036;0.6666666666666666
Caldas;6;7;Sudeste;MG;Caldas;2021-11-21;14480.0;1040.0;0;39;0;0.0718232044198895;0.0026933701657458;0.8571428571428571
Santa Quitéria do Maranhão;53;81;Nordeste;MA;Santa Quitéria do Maranhão;2021-11-21;25642.0;510.0;0;20;0;0.01988924420872;0.0007799703611262;0.654320987654321
Ipiaú;109;131;Nordeste;BA;Ipiaú;2021-11-21;45873.0;3367.0;0;84;0;0.0733982952935277;0.0018311425021254;0.8320610687022901
Espumoso;26;40;Sul;RS;Espumoso;2021-11-21;15588.0;2454.0;0;51;0;0.157428791377983;0.0032717474980754;0.65
Tomé-Açu;138;224;Norte;PA;Tomé-Açu;2021-11-21;63447.0;2888.0;0;89;0;0.0455183066181222;0.0014027455986886;0.6160714285714286
Capanema;237;322;Norte;PA;Capanema;2021-11-21;69027.0;3987.0;0;126;0;0.0577600069538006;0.0018253726802555;0.7360248447204969
Lago Verde;15;33;Nordeste;MA;Lago Verde;2021-11-21;16257.0;930.0;0;26;0;0.057206126591622;0.0015993110660023;0.45454545454545453
Santo Estêvão;144;201;Nordeste;BA;Santo Estêvão;2021-11-21;52850.0;4617.0;0;65;0;0.087360454115421;0.0012298959318826;0.7164179104477612
Itapiúna;68;251;Nordeste;CE;Itapiúna;2021-11-21;20382.0;2226.0;0;38;0;0.1092140123638504;0.0018643901481699;0.27091633466135456
Guarapuava;472;764;Sul;PR;Guarapuava;2021-11-21;181504.0;22845.0;4;612;0;0.1258649947108603;0.00337182651622;0.6178010471204188
Uruana;21;133;Centro-Oeste;GO;Uruana;2021-11-21;13843.0;1987.0;0;41;0;0.143538250379253;0.0029617857400852;0.15789473684210525
Itapuranga;85;143;Centro-Oeste;GO;Itapuranga;2021-11-21;25768.0;4213.0;0;83;0;0.1634973610679913;0.0032210493635516;0.5944055944055944
Utinga;37;52;Nordeste;BA;Utinga;2021-11-21;19178.0;1693.0;0;17;0;0.088278235478152;0.0008864323704244;0.7115384615384616
Presidente Figueiredo;92;283;Norte;AM;Presidente Figueiredo;2021-11-21;36279.0;6284.0;0;108;0;0.173213153615039;0.0029769288017861;0.3250883392226148
Paranã;13;31;Norte;TO;Paranã;2021-11-21;10449.0;720.0;0;13;0;0.0689061154177433;0.0012441381950425;0.41935483870967744
Igreja Nova;17;44;Nordeste;AL;Igreja Nova;2021-11-21;24499.0;1608.0;0;22;0;0.0656353320543695;0.0008979958365647;0.38636363636363635
Veríssimo;4;6;Sudeste;MG;Veríssimo;2021-11-21;3999.0;179.0;0;10;0;0.0447611902975743;0.002500625156289;0.6666666666666666
Saltinho;9;27;Sudeste;SP;Saltinho;2021-11-21;8286.0;1133.0;0;20;0;0.1367366642529568;0.0024137098720733;0.3333333333333333
Conceição do Canindé;12;21;Nordeste;PI;Conceição do Canindé;2021-11-21;4803.0;424.0;0;7;0;0.088278159483656;0.0014574224443056;0.5714285714285714
Governador Celso Ramos;23;35;Sul;SC;Governador Celso Ramos;2021-11-21;14471.0;2900.0;0;30;0;0.2004008016032064;0.0020731117407228;0.6571428571428571
Doverlândia;23;52;Centro-Oeste;GO;Doverlândia;2021-11-21;7322.0;854.0;0;20;0;0.1166347992351816;0.0027314941272876;0.4423076923076923
Caldeirão Grande;9;42;Nordeste;BA;Caldeirão Grande;2021-11-21;13327.0;574.0;0;6;0;0.0430704584677721;0.0004502138515795;0.21428571428571427
Contenda;26;53;Sul;PR;Contenda;2021-11-21;18584.0;2681.0;0;73;0;0.1442638829100301;0.0039281102023245;0.49056603773584906
Corumbaíba;18;30;Centro-Oeste;GO;Corumbaíba;2021-11-21;9723.0;1344.0;0;37;0;0.1382289416846652;0.003805409852926;0.6
Estrela;58;101;Sul;RS;Estrela;2021-11-21;34116.0;4093.0;1;74;0;0.1199730331809121;0.0021690702309766;0.5742574257425742
Mandaguaçu;52;106;Sul;PR;Mandaguaçu;2021-11-21;22819.0;4192.0;3;86;0;0.1837065603225382;0.0037687891669223;0.49056603773584906
Maruim;47;74;Nordeste;SE;Maruim;2021-11-21;17213.0;1161.0;0;41;0;0.067449021088712;0.0023819206413757;0.6351351351351351
Pompéu;40;67;Sudeste;MG;Pompéu;2021-11-21;31812.0;3612.0;0;52;0;0.1135420596001508;0.0016346032943543;0.5970149253731343
Sítio do Mato;13;28;Nordeste;BA;Sítio do Mato;2021-11-21;13012.0;231.0;0;10;0;0.0177528435290501;0.0007685213648939;0.4642857142857143
Álvares Machado;69;105;Sudeste;SP;Álvares Machado;2021-11-21;24915.0;2501.0;0;78;0;0.1003812964077864;0.0031306441902468;0.6571428571428571
Mandaguari;63;138;Sul;PR;Mandaguari;2021-11-21;34400.0;5206.0;0;131;0;0.1513372093023255;0.0038081395348837;0.45652173913043476
Matões;62;90;Nordeste;MA;Matões;2021-11-21;33782.0;1039.0;0;13;0;0.0307560239180628;0.0003848203185128;0.6888888888888889
Luz;32;56;Sudeste;MG;Luz;2021-11-21;18215.0;2206.0;0;37;0;0.1211089761185835;0.0020312928904748;0.5714285714285714
Ibiapina;160;317;Nordeste;CE;Ibiapina;2021-11-21;24997.0;1977.0;0;33;0;0.0790894907388886;0.0013201584190102;0.5047318611987381
Adustina;40;48;Nordeste;BA;Adustina;2021-11-21;17040.0;1097.0;0;27;0;0.0643779342723004;0.0015845070422535;0.8333333333333334
Divinésia;2;4;Sudeste;MG;Divinésia;2021-11-21;3417.0;427.0;0;8;0;0.1249634182031021;0.0023412350014632;0.5
Jeremoabo;73;102;Nordeste;BA;Jeremoabo;2021-11-21;40463.0;2257.0;0;47;0;0.055779353977708;0.0011615550008649;0.7156862745098039
Marialva;54;86;Sul;PR;Marialva;2021-11-21;35496.0;6581.0;2;136;0;0.1854011719630381;0.003831417624521;0.627906976744186
Morro do Chapéu do Piauí;9;17;Nordeste;PI;Morro do Chapéu do Piauí;2021-11-21;6796.0;1001.0;0;6;0;0.1472925250147145;0.0008828722778104;0.5294117647058824
Aimorés;25;52;Sudeste;MG;Aimorés;2021-11-21;25167.0;2175.0;1;78;0;0.0864226963881273;0.0030992966980569;0.4807692307692308
Jaru;130;414;Norte;RO;Jaru;2021-11-21;51775.0;8230.0;0;185;0;0.1589570255915016;0.0035731530661516;0.3140096618357488
Lagoa do Mato;13;23;Nordeste;MA;Lagoa do Mato;2021-11-21;11250.0;2574.0;0;19;0;0.2288;0.0016888888888888;0.5652173913043478
Limoeiro de Anadia;38;75;Nordeste;AL;Limoeiro de Anadia;2021-11-21;28635.0;1559.0;0;34;0;0.0544438624061463;0.0011873581281648;0.5066666666666667
Santaluz;75;110;Nordeste;BA;Santaluz;2021-11-21;37348.0;3421.0;1;52;0;0.0915979436649887;0.0013923101638641;0.6818181818181818
Maracaçumé;35;52;Nordeste;MA;Maracaçumé;2021-11-21;21395.0;543.0;0;8;0;0.0253797616265482;0.0003739191399859;0.6730769230769231
Iraquara;51;79;Nordeste;BA;Iraquara;2021-11-21;25216.0;1798.0;0;19;0;0.0713039340101522;0.0007534898477157;0.6455696202531646
Vieiras;10;15;Sudeste;MG;Vieiras;2021-11-21;3608.0;372.0;0;6;0;0.1031042128603104;0.0016629711751662;0.6666666666666666
Uauá;27;39;Nordeste;BA;Uauá;2021-11-21;24240.0;3046.0;0;56;0;0.1256600660066006;0.0023102310231023;0.6923076923076923
Assis Chateaubriand;108;146;Sul;PR;Assis Chateaubriand;2021-11-21;33362.0;5474.0;0;135;0;0.1640788921527486;0.0040465199928061;0.7397260273972602
Resende Costa;36;47;Sudeste;MG;Resende Costa;2021-11-21;11500.0;722.0;0;23;0;0.0627826086956521;0.002;0.7659574468085106
Realeza;51;72;Sul;PR;Realeza;2021-11-21;16922.0;2577.0;0;42;0;0.1522869637158728;0.0024819761257534;0.7083333333333334
Buritinópolis;5;9;Centro-Oeste;GO;Buritinópolis;2021-11-21;3292.0;247.0;0;3;0;0.0750303766707169;0.0009113001215066;0.5555555555555556
Curitibanos;120;194;Sul;SC;Curitibanos;2021-11-21;39745.0;5750.0;0;198;0;0.144672285822116;0.0049817587117876;0.6185567010309279
Bertioga;98;192;Sudeste;SP;Bertioga;2021-11-21;63249.0;6654.0;0;171;0;0.1052032443200683;0.0027036000569178;0.5104166666666666
Chopinzinho;41;86;Sul;PR;Chopinzinho;2021-11-21;19254.0;2660.0;0;52;0;0.1381531110418614;0.002700737509089;0.47674418604651164
Itaguaru;23;40;Centro-Oeste;GO;Itaguaru;2021-11-21;5237.0;592.0;0;17;0;0.1130418178346381;0.0032461332824135;0.575
Tabaporã;15;38;Centro-Oeste;MT;Tabaporã;2021-11-21;9489.0;1600.0;0;26;0;0.1686162925492675;0.0027400147539255;0.39473684210526316
Cruzeta;16;19;Nordeste;RN;Cruzeta;2021-11-21;7998.0;1214.0;0;13;0;0.1517879469867467;0.0016254063515878;0.8421052631578947
Uruburetama;252;369;Nordeste;CE;Uruburetama;2021-11-21;21850.0;1853.0;0;59;0;0.0848054919908466;0.0027002288329519;0.6829268292682927
Pereira Barreto;49;81;Sudeste;SP;Pereira Barreto;2021-11-21;25669.0;2737.0;0;104;0;0.1066266703026997;0.0040515797265183;0.6049382716049383
Cupira;67;105;Nordeste;PE;Cupira;2021-11-21;24107.0;2521.0;0;52;0;0.1045754345210934;0.0021570498195544;0.638095238095238
Exu;33;84;Nordeste;PE;Exu;2021-11-21;31825.0;4571.0;0;58;0;0.1436292223095051;0.0018224666142969;0.39285714285714285
Igaracy;32;59;Nordeste;PB;Igaracy;2021-11-21;6117.0;458.0;0;7;0;0.074873303907144;0.001144351806441;0.5423728813559322
Coelho Neto;122;202;Nordeste;MA;Coelho Neto;2021-11-21;49435.0;1631.0;0;50;0;0.0329928188530393;0.001011429149388;0.6039603960396039
São José da Lapa;58;116;Sudeste;MG;São José da Lapa;2021-11-21;23766.0;2644.0;0;45;0;0.1112513674997896;0.0018934612471598;0.5
Igarapé-Açu;75;119;Norte;PA;Igarapé-Açu;2021-11-21;38807.0;2654.0;0;73;0;0.0683897235034916;0.0018811039245496;0.6302521008403361
Rio Piracicaba;12;21;Sudeste;MG;Rio Piracicaba;2021-11-21;14339.0;2439.0;0;28;0;0.1700955436222888;0.0019527163679475;0.5714285714285714
Bela Vista de Minas;10;16;Sudeste;MG;Bela Vista de Minas;2021-11-21;10255.0;1026.0;0;25;0;0.1000487567040468;0.0024378352023403;0.625
Várzea Alegre;293;503;Nordeste;CE;Várzea Alegre;2021-11-21;40721.0;4405.0;15;82;0;0.1081751430465853;0.0020137030033643;0.5825049701789264
Munhoz de Melo;4;9;Sul;PR;Munhoz de Melo;2021-11-21;3984.0;519.0;0;9;0;0.1302710843373494;0.0022590361445783;0.4444444444444444
Maranhãozinho;8;23;Nordeste;MA;Maranhãozinho;2021-11-21;16265.0;739.0;0;9;0;0.0454349830925299;0.0005533353827236;0.34782608695652173
Agudo;38;50;Sul;RS;Agudo;2021-11-21;16461.0;1990.0;0;32;0;0.1208918048721219;0.0019439888220642;0.76
Chapadão do Sul;91;147;Centro-Oeste;MS;Chapadão do Sul;2021-11-21;25218.0;5306.0;0;80;0;0.2104052660797842;0.0031723372194464;0.6190476190476191
São Geraldo;17;30;Sudeste;MG;São Geraldo;2021-11-21;12366.0;1046.0;0;28;0;0.0845867701762898;0.002264273006631;0.5666666666666667
Cabedelo;170;239;Nordeste;PB;Cabedelo;2021-11-21;67736.0;9938.0;8;203;0;0.1467166646982402;0.0029969292547537;0.7112970711297071
Tangará da Serra;354;579;Centro-Oeste;MT;Tangará da Serra;2021-11-21;103750.0;17848.0;0;360;0;0.1720289156626506;0.0034698795180722;0.6113989637305699
Cantagalo;57;103;Sudeste;MG;Cantagalo;2021-11-21;4525.0;264.0;0;7;0;0.058342541436464;0.0015469613259668;0.5533980582524272
Canaã dos Carajás;105;166;Norte;PA;Canaã dos Carajás;2021-11-21;37085.0;9118.0;11;126;0;0.2458676014561143;0.0033976001078603;0.6325301204819277
Caieiras;193;320;Sudeste;SP;Caieiras;2021-11-21;101470.0;9751.0;0;335;0;0.0960973686803981;0.0033014684143096;0.603125
Cerquilho;109;180;Sudeste;SP;Cerquilho;2021-11-21;48949.0;6577.0;0;160;0;0.1343643383930213;0.0032687082473594;0.6055555555555555
Riacho dos Machados;8;20;Sudeste;MG;Riacho dos Machados;2021-11-21;9481.0;602.0;0;8;0;0.0634954118763843;0.0008437928488556;0.4
Conchal;19;46;Sudeste;SP;Conchal;2021-11-21;28050.0;2914.0;0;84;0;0.103885918003565;0.0029946524064171;0.41304347826086957
Santa Luzia do Pará;28;53;Norte;PA;Santa Luzia do Pará;2021-11-21;19848.0;1650.0;0;25;0;0.0831318016928657;0.0012595727529222;0.5283018867924528
Guaribas;4;17;Nordeste;PI;Guaribas;2021-11-21;4562.0;108.0;0;2;0;0.0236738272687417;0.0004384042086804;0.23529411764705882
Conceição das Alagoas;23;77;Sudeste;MG;Conceição das Alagoas;2021-11-21;27893.0;4831.0;0;141;0;0.1731975764528734;0.0050550317283906;0.2987012987012987
Luís Eduardo Magalhães;208;311;Nordeste;BA;Luís Eduardo Magalhães;2021-11-21;87519.0;13394.0;1;151;0;0.1530410539425724;0.0017253396405351;0.6688102893890675
Tanguá;31;63;Sudeste;RJ;Tanguá;2021-11-21;34309.0;4622.0;0;133;0;0.1347168381474248;0.0038765338540907;0.49206349206349204
Poço Verde;15;22;Nordeste;SE;Poço Verde;2021-11-21;23728.0;2195.0;0;50;0;0.0925067430883344;0.0021072151045178;0.6818181818181818
Pé de Serra;31;40;Nordeste;BA;Pé de Serra;2021-11-21;13578.0;1695.0;0;9;0;0.1248342907644719;0.0006628369421122;0.775
Inconfidentes;70;97;Sudeste;MG;Inconfidentes;2021-11-21;7328.0;563.0;0;12;0;0.0768286026200873;0.0016375545851528;0.7216494845360825
São Miguel das Matas;15;22;Nordeste;BA;São Miguel das Matas;2021-11-21;11675.0;894.0;0;8;0;0.0765738758029978;0.0006852248394004;0.6818181818181818
Candelária;50;68;Sul;RS;Candelária;2021-11-21;31365.0;4009.0;0;78;0;0.1278176311174876;0.0024868483978957;0.7352941176470589
Soledade;88;138;Nordeste;PB;Soledade;2021-11-21;14989.0;1380.0;3;15;0;0.0920675161785309;0.0010007338715057;0.6376811594202898
Coqueiral;13;21;Sudeste;MG;Coqueiral;2021-11-21;9159.0;779.0;0;24;0;0.0850529533791898;0.0026203734032099;0.6190476190476191
Água Doce do Maranhão;36;79;Nordeste;MA;Água Doce do Maranhão;2021-11-21;12571.0;684.0;0;10;0;0.0544109458276986;0.0007954816641476;0.45569620253164556
Paulínia;309;527;Sudeste;SP;Paulínia;2021-11-21;109424.0;15697.0;0;306;0;0.1434511624506506;0.0027964614709752;0.5863377609108159
Ipaporanga;47;116;Nordeste;CE;Ipaporanga;2021-11-21;11593.0;1465.0;0;17;0;0.1263693608211852;0.0014664021392219;0.4051724137931034
Pirangi;20;35;Sudeste;SP;Pirangi;2021-11-21;11417.0;1782.0;0;66;0;0.1560830340719979;0.0057808531137777;0.5714285714285714
Campos Belos;68;166;Centro-Oeste;GO;Campos Belos;2021-11-21;19887.0;2912.0;0;30;0;0.1464273143259415;0.0015085231558304;0.40963855421686746
Rio Espera;13;20;Sudeste;MG;Rio Espera;2021-11-21;5474.0;373.0;0;11;0;0.0681402995981001;0.0020094994519546;0.65
Pindaí;39;69;Nordeste;BA;Pindaí;2021-11-21;16260.0;904.0;0;11;0;0.0555965559655596;0.0006765067650676;0.5652173913043478
Olho d'Água do Casado;11;78;Nordeste;AL;Olho d'Água do Casado;2021-11-21;9373.0;142.0;0;6;0;0.0151498986450442;0.0006401365624666;0.14102564102564102
Cachoeira Paulista;63;107;Sudeste;SP;Cachoeira Paulista;2021-11-21;33327.0;2770.0;0;46;0;0.0831157920004801;0.0013802622498274;0.5887850467289719
Jaciara;55;98;Centro-Oeste;MT;Jaciara;2021-11-21;27776.0;3538.0;0;116;0;0.1273761520737327;0.0041762672811059;0.5612244897959183
Quatro Barras;94;141;Sul;PR;Quatro Barras;2021-11-21;23559.0;3841.0;1;106;0;0.1630374803684366;0.0044993420773377;0.6666666666666666
Sirinhaém;27;138;Nordeste;PE;Sirinhaém;2021-11-21;45865.0;1020.0;0;55;0;0.0222391802027689;0.0011991714815218;0.1956521739130435
Pio XII;57;91;Nordeste;MA;Pio XII;2021-11-21;21485.0;2347.0;0;31;0;0.1092390039562485;0.0014428671165929;0.6263736263736264
Livramento;14;21;Nordeste;PB;Livramento;2021-11-21;7256.0;1060.0;0;6;0;0.1460859977949283;0.0008269018743109;0.6666666666666666
Itambé do Mato Dentro;3;4;Sudeste;MG;Itambé do Mato Dentro;2021-11-21;2081.0;110.0;0;5;0;0.0528592023065833;0.0024026910139356;0.75
Jaborandi;17;32;Nordeste;BA;Jaborandi;2021-11-21;8385.0;751.0;0;10;0;0.0895646988670244;0.0011926058437686;0.53125
Porto Murtinho;4;12;Centro-Oeste;MS;Porto Murtinho;2021-11-21;17131.0;1464.0;0;38;0;0.0854591092172085;0.0022182009223045;0.3333333333333333
Salgado;39;68;Nordeste;SE;Salgado;2021-11-21;19998.0;1688.0;0;44;0;0.0844084408440844;0.0022002200220022;0.5735294117647058
Campina Grande do Sul;77;144;Sul;PR;Campina Grande do Sul;2021-11-21;43288.0;6075.0;1;170;0;0.1403391240066531;0.0039271853631491;0.5347222222222222
Machadinho D'Oeste;30;88;Norte;RO;Machadinho D'Oeste;2021-11-21;39991.0;7066.0;0;116;0;0.1766897551949188;0.0029006526468455;0.3409090909090909
Orleans;56;102;Sul;SC;Orleans;2021-11-21;22912.0;5525.0;0;91;0;0.2411400139664804;0.0039717178770949;0.5490196078431373
Paramoti;37;121;Nordeste;CE;Paramoti;2021-11-21;12226.0;1020.0;0;19;0;0.0834287583837722;0.0015540651071486;0.30578512396694213
Jacuípe;17;40;Nordeste;AL;Jacuípe;2021-11-21;7021.0;187.0;0;4;0;0.0266343825665859;0.000569719413189;0.425
Japorã;5;10;Centro-Oeste;MS;Japorã;2021-11-21;9110.0;223.0;0;8;0;0.0244785949506037;0.0008781558726673;0.5
José da Penha;10;15;Nordeste;RN;José da Penha;2021-11-21;5951.0;683.0;0;10;0;0.1147706267854142;0.0016803898504453;0.6666666666666666
Guamiranga;8;17;Sul;PR;Guamiranga;2021-11-21;8739.0;1301.0;1;21;0;0.1488728687492848;0.002403020940611;0.47058823529411764
Betânia;17;49;Nordeste;PE;Betânia;2021-11-21;12719.0;533.0;0;17;0;0.0419058102052048;0.0013365830647063;0.3469387755102041
São Miguel dos Campos;164;237;Nordeste;AL;São Miguel dos Campos;2021-11-21;61251.0;3867.0;1;98;0;0.0631336631238673;0.0015999738779775;0.6919831223628692
Itagibá;15;18;Nordeste;BA;Itagibá;2021-11-21;14579.0;1246.0;0;29;0;0.0854653954317854;0.0019891624939982;0.8333333333333334
São José da Laje;50;87;Nordeste;AL;São José da Laje;2021-11-21;23927.0;1199.0;0;29;0;0.0501107535420236;0.0012120198938437;0.5747126436781609
Alexandria;22;36;Nordeste;RN;Alexandria;2021-11-21;13577.0;1908.0;0;32;0;0.1405317816896221;0.00235692715622;0.6111111111111112
Salto do Lontra;27;38;Sul;PR;Salto do Lontra;2021-11-21;14785.0;1844.0;1;31;0;0.1247210010145417;0.0020967196482921;0.7105263157894737
Alumínio;56;109;Sudeste;SP;Alumínio;2021-11-21;18628.0;1635.0;0;53;0;0.0877710972729224;0.0028451792999785;0.5137614678899083
Pitangui;51;68;Sudeste;MG;Pitangui;2021-11-21;27989.0;2549.0;0;101;0;0.0910714923720033;0.003608560505913;0.75
Porto Grande;44;87;Norte;AP;Porto Grande;2021-11-21;21971.0;2105.0;0;27;0;0.0958081106913659;0.0012288926311956;0.5057471264367817
Pratápolis;3;11;Sudeste;MG;Pratápolis;2021-11-21;8603.0;659.0;0;25;0;0.0766011856329187;0.0029059630361501;0.2727272727272727
Colíder;72;147;Centro-Oeste;MT;Colíder;2021-11-21;33438.0;5842.0;0;148;0;0.1747114061845804;0.0044261020395956;0.4897959183673469
Tapejara;63;112;Sul;PR;Tapejara;2021-11-21;16205.0;2083.0;0;36;0;0.1285405738969454;0.0022215365627892;0.5625
Tenente Ananias;12;20;Nordeste;RN;Tenente Ananias;2021-11-21;10786.0;1282.0;0;22;0;0.1188577786018913;0.0020396810680511;0.6
São João do Oriente;17;29;Sudeste;MG;São João do Oriente;2021-11-21;7498.0;826.0;0;24;0;0.1101627100560149;0.0032008535609495;0.5862068965517241
São Leopoldo;396;695;Sul;RS;São Leopoldo;2021-11-21;236835.0;29731.0;7;786;0;0.1255346549285367;0.0033187662296535;0.5697841726618705
Cametá;408;559;Norte;PA;Cametá;2021-11-21;137890.0;10007.0;0;278;0;0.0725723402712306;0.0020160997896874;0.7298747763864043
Aparecida do Rio Doce;4;9;Centro-Oeste;GO;Aparecida do Rio Doce;2021-11-21;2474.0;270.0;0;4;0;0.1091350040420371;0.0016168148746968;0.4444444444444444
Ituporanga;37;87;Sul;SC;Ituporanga;2021-11-21;25086.0;4091.0;0;69;0;0.1630790082117515;0.0027505381487682;0.42528735632183906
Porto Xavier;20;25;Sul;RS;Porto Xavier;2021-11-21;10246.0;1765.0;0;54;0;0.1722623462814757;0.0052703494046457;0.8
Ruy Barbosa;95;149;Nordeste;RN;Ruy Barbosa;2021-11-21;3600.0;116.0;0;1;0;0.0322222222222222;1.0;0.6375838926174496
Guaraci;12;29;Sudeste;SP;Guaraci;2021-11-21;11188.0;1389.0;0;27;0;0.1241508759385055;0.0024132999642474;0.41379310344827586
Rio Tinto;43;81;Nordeste;PB;Rio Tinto;2021-11-21;24176.0;2758.0;2;56;0;0.1140800794176042;0.0023163467902051;0.5308641975308642
Itamarandiba;56;82;Sudeste;MG;Itamarandiba;2021-11-21;34735.0;2318.0;0;28;0;0.0667338419461638;0.0008061033539657;0.6829268292682927
Alvorada do Norte;27;69;Centro-Oeste;GO;Alvorada do Norte;2021-11-21;8660.0;911.0;0;16;0;0.1051963048498845;0.0018475750577367;0.391304347826087
Tanquinho;6;11;Nordeste;BA;Tanquinho;2021-11-21;7918.0;834.0;0;17;0;0.1053296286941146;0.002147006819904;0.5454545454545454
Planalto da Serra;3;5;Centro-Oeste;MT;Planalto da Serra;2021-11-21;2662.0;388.0;0;9;0;0.1457550713749061;0.003380916604057;0.6
Holambra;56;93;Sudeste;SP;Holambra;2021-11-21;14930.0;2093.0;0;14;0;0.1401875418620227;0.0009377093101138;0.6021505376344086
Poço das Trincheiras;9;32;Nordeste;AL;Poço das Trincheiras;2021-11-21;14386.0;558.0;0;11;0;0.0387877102738773;0.0007646322813846;0.28125
Pontal;84;148;Sudeste;SP;Pontal;2021-11-21;49961.0;5148.0;0;165;0;0.103040371489762;0.0033025760092872;0.5675675675675675
Ipumirim;17;28;Sul;SC;Ipumirim;2021-11-21;7593.0;888.0;0;10;0;0.1169498222046621;0.0013170025023047;0.6071428571428571
Nepomuceno;80;115;Sudeste;MG;Nepomuceno;2021-11-21;26769.0;2784.0;0;44;0;0.1040008965594531;0.001643692330681;0.6956521739130435
Bacuri;36;75;Nordeste;MA;Bacuri;2021-11-21;18582.0;630.0;0;4;0;0.0339037778495318;0.0002152620815843;0.48
Pires Ferreira;38;89;Nordeste;CE;Pires Ferreira;2021-11-21;10951.0;1194.0;0;7;0;0.1090311387087937;0.000639211030956;0.42696629213483145
Assunção;2;3;Nordeste;PB;Assunção;2021-11-21;3990.0;423.0;0;5;0;0.1060150375939849;0.0012531328320802;0.6666666666666666
Pirapozinho;83;137;Sudeste;SP;Pirapozinho;2021-11-21;27527.0;3056.0;0;73;0;0.1110182729683583;0.0026519417299378;0.6058394160583942
Vargem Grande;64;99;Nordeste;MA;Vargem Grande;2021-11-21;56510.0;2174.0;0;34;0;0.0384710670677756;0.0006016634224031;0.6464646464646465
Nossa Senhora das Dores;63;122;Nordeste;SE;Nossa Senhora das Dores;2021-11-21;26629.0;2135.0;0;50;0;0.0801757482443952;0.0018776521837094;0.5163934426229508
Brejinho;22;46;Nordeste;RN;Brejinho;2021-11-21;12699.0;1543.0;0;17;0;0.1215056303645956;0.001338688085676;0.4782608695652174
Artur Nogueira;76;133;Sudeste;SP;Artur Nogueira;2021-11-21;54408.0;5592.0;1;145;0;0.1027790030877812;0.0026650492574621;0.5714285714285714
Fernandes Tourinho;4;9;Sudeste;MG;Fernandes Tourinho;2021-11-21;3431.0;124.0;0;12;0;0.0361410667443893;0.0034975225881667;0.4444444444444444
Monte Alegre do Piauí;8;14;Nordeste;PI;Monte Alegre do Piauí;2021-11-21;10613.0;1191.0;0;17;0;0.1122208612079525;0.0016018091020446;0.5714285714285714
