NO_MUNICIPIO_ESC;Presente;Total_Alunos;regiao;estado;municipio;data;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Casos_per_capita;Mortes_per_capita;Relacao_Presenca
Apuiarés;110;149;Nordeste;CE;Apuiarés;2021-11-21;14600.0;1387.0;0;25;0;0.095;0.0017123287671232;0.738255033557047
Prado;45;93;Nordeste;BA;Prado;2021-11-21;28174.0;2313.0;1;58;0;0.0820969688365159;0.0020586356214949;0.4838709677419355
Recife;7741;10735;Nordeste;PE;Recife;2021-11-21;1645727.0;160274.0;43;5598;3;0.0973879628881339;0.0034015362207705;0.7210992081974849
Montes Claros;1476;2014;Sudeste;MG;Montes Claros;2021-11-21;409341.0;44412.0;0;986;0;0.1084963392379458;0.0024087496732553;0.7328699106256207
Anápolis;1277;2310;Centro-Oeste;GO;Anápolis;2021-11-21;386923.0;52591.0;0;1778;0;0.1359211005807357;0.0045952295417951;0.5528138528138529
Paracatu;277;423;Sudeste;MG;Paracatu;2021-11-21;93158.0;13530.0;0;268;0;0.1452371240258485;0.0028768329075334;0.6548463356973995
São Paulo;23586;38277;Sudeste;SP;São Paulo;2021-11-21;12252023.0;974139.0;23;39114;0;0.0795084207726348;0.0031924523811292;0.6161924915745748
Timon;574;865;Nordeste;MA;Timon;2021-11-21;169107.0;6139.0;0;329;0;0.0363024593896172;0.0019455137871288;0.6635838150289017
Glória;26;31;Nordeste;BA;Glória;2021-11-21;15221.0;1212.0;0;26;0;0.0796268313514223;0.0017081663491229;0.8387096774193549
Caicó;377;470;Nordeste;RN;Caicó;2021-11-21;67952.0;13016.0;7;165;1;0.1915469743348246;0.0024281846008947;0.8021276595744681
Bacabeira;77;112;Nordeste;MA;Bacabeira;2021-11-21;17055.0;398.0;0;10;0;0.0233362650249193;0.000586338317209;0.6875
Petrolina;1472;2186;Nordeste;PE;Petrolina;2021-11-21;349145.0;32213.0;72;512;0;0.0922625270303169;0.0014664394449297;0.6733760292772186
Linhares;578;901;Sudeste;ES;Linhares;2021-11-21;173555.0;30307.0;23;444;0;0.1746247587220189;0.00255826683184;0.6415094339622641
Marília;477;849;Sudeste;SP;Marília;2021-11-21;238882.0;31743.0;1;978;0;0.1328815063504156;0.0040940715499702;0.5618374558303887
Santarém;942;1500;Norte;PA;Santarém;2021-11-21;304589.0;22028.0;34;977;1;0.0723204055300749;0.0032076010624152;0.628
Magé;356;715;Sudeste;RJ;Magé;2021-11-21;245071.0;15325.0;0;669;0;0.0625328986293767;0.0027298211538696;0.4979020979020979
Juazeiro do Norte;1682;3185;Nordeste;CE;Juazeiro do Norte;2021-11-21;274207.0;31200.0;-4;653;0;0.1137826532510111;0.002381412582465;0.5281004709576138
Jataí;519;804;Centro-Oeste;GO;Jataí;2021-11-21;100882.0;14948.0;0;411;0;0.1481731131420867;0.0040740667314287;0.6455223880597015
Acopiara;266;447;Nordeste;CE;Acopiara;2021-11-21;54270.0;4109.0;0;151;0;0.0757140224801916;0.0027823843744241;0.5950782997762863
Teresina;4398;5776;Nordeste;PI;Teresina;2021-11-21;864845.0;109038.0;89;2590;1;0.1260780833559771;0.0029947562858084;0.7614265927977839
Manaus;7638;17120;Norte;AM;Manaus;2021-11-21;2182763.0;205138.0;17;9493;0;0.0939808856939576;0.0043490750026457;0.4461448598130841
Senador Pompeu;169;267;Nordeste;CE;Senador Pompeu;2021-11-21;25496.0;2319.0;0;63;0;0.0909554439912143;0.0024709758393473;0.6329588014981273
São José dos Campos;2400;3704;Sudeste;SP;São José dos Campos;2021-11-21;721944.0;93215.0;20;1958;0;0.1291166627882495;0.0027121217158117;0.6479481641468683
Mossoró;1248;1620;Nordeste;RN;Mossoró;2021-11-21;297378.0;30783.0;0;586;0;0.1035147186409216;0.0019705559927096;0.7703703703703704
Barcarena;240;408;Norte;PA;Barcarena;2021-11-21;124680.0;12049.0;0;241;0;0.0966393968559512;0.0019329483477702;0.5882352941176471
Rio Grande;654;953;Sul;RS;Rio Grande;2021-11-21;211005.0;24804.0;12;583;0;0.1175517167839624;0.0027629677021871;0.6862539349422875
Iguatu;615;1135;Nordeste;CE;Iguatu;2021-11-21;102498.0;12137.0;1;233;0;0.1184120665769088;0.0022732150871236;0.5418502202643172
Trindade;421;982;Nordeste;PE;Trindade;2021-11-21;30521.0;2070.0;-2;59;0;0.0678221552373775;0.0019330952458962;0.4287169042769857
Macaé;736;1192;Sudeste;RJ;Macaé;2021-11-21;256672.0;37780.0;1;809;0;0.1471917466650043;0.0031518825582845;0.6174496644295302
Nossa Senhora do Socorro;250;653;Nordeste;SE;Nossa Senhora do Socorro;2021-11-21;183628.0;18117.0;1;577;0;0.0986614241836757;0.0031422223190363;0.38284839203675347
Natal;3533;4519;Nordeste;RN;Natal;2021-11-21;884122.0;103165.0;56;2725;1;0.1166863849106797;0.0030821538204003;0.7818101349856162
Maracanaú;1060;2837;Nordeste;CE;Maracanaú;2021-11-21;227886.0;21731.0;-2;780;0;0.095359083050297;0.0034227640135857;0.3736341205498766
Itaperuna;244;453;Sudeste;RJ;Itaperuna;2021-11-21;103224.0;15850.0;0;289;0;0.153549562117337;0.0027997364953886;0.5386313465783664
Diadema;844;1516;Sudeste;SP;Diadema;2021-11-21;423884.0;26660.0;0;1454;0;0.0628945654943333;0.0034301837295109;0.5567282321899736
Rondonópolis;631;996;Centro-Oeste;MT;Rondonópolis;2021-11-21;232491.0;38479.0;0;942;0;0.1655074820100563;0.0040517697459256;0.6335341365461847
Dom Pedro;52;102;Nordeste;MA;Dom Pedro;2021-11-21;23350.0;1517.0;0;36;0;0.0649678800856531;0.0015417558886509;0.5098039215686274
Vitória de Santo Antão;458;731;Nordeste;PE;Vitória de Santo Antão;2021-11-21;138757.0;7434.0;1;329;0;0.0535756754614181;0.0023710515505524;0.6265389876880985
São Gonçalo;1755;2749;Sudeste;RJ;São Gonçalo;2021-11-21;1084839.0;75295.0;5;3330;0;0.0694066124097677;0.0030695799100142;0.6384139687158967
São Luiz Gonzaga;113;178;Sul;RS;São Luiz Gonzaga;2021-11-21;33468.0;4582.0;3;103;0;0.136906896139596;0.0030775666308115;0.6348314606741573
Mutum;43;68;Sudeste;MG;Mutum;2021-11-21;26979.0;2370.0;0;41;0;0.0878461025241854;0.0015197005078023;0.6323529411764706
Caiana;4;12;Sudeste;MG;Caiana;2021-11-21;5496.0;198.0;0;7;0;0.0360262008733624;0.0012736535662299;0.3333333333333333
Puxinanã;29;59;Nordeste;PB;Puxinanã;2021-11-21;13680.0;902.0;0;8;0;0.0659356725146198;0.0005847953216374;0.4915254237288136
Esperança;122;168;Nordeste;PB;Esperança;2021-11-21;33007.0;5682.0;3;90;0;0.1721453025115884;0.0027266943375647;0.7261904761904762
Apodi;190;250;Nordeste;RN;Apodi;2021-11-21;35845.0;6678.0;0;97;0;0.1863021341888687;0.0027060956897754;0.76
Araruama;304;498;Sudeste;RJ;Araruama;2021-11-21;132400.0;7744.0;0;492;0;0.0584894259818731;0.0037160120845921;0.6104417670682731
